source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,12h_prior,,,2026-05-30T18:00:00Z,2026-05-31T04:00:00Z,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,30.0,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,24h_prior,,,2026-05-30T06:00:00Z,2026-05-30T16:00:00Z,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,6h_prior,,,2026-05-31T00:00:00Z,2026-05-31T10:00:00Z,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,event_day_open,,,2026-05-31T06:00:00Z,2026-05-31T16:00:00Z,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,12h_prior,,,2026-05-31T18:00:00Z,2026-06-01T04:00:00Z,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,30.7,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,24h_prior,,,2026-05-31T06:00:00Z,2026-05-31T16:00:00Z,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,31.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,6h_prior,,,2026-06-01T00:00:00Z,2026-06-01T10:00:00Z,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,30.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,event_day_open,,,2026-06-01T06:00:00Z,2026-06-01T16:00:00Z,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,31.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,12h_prior,,,2026-06-01T18:00:00Z,2026-06-02T04:00:00Z,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,24h_prior,,,2026-06-01T06:00:00Z,2026-06-01T16:00:00Z,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,6h_prior,,,2026-06-02T00:00:00Z,2026-06-02T10:00:00Z,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.3,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,event_day_open,,,2026-06-02T06:00:00Z,2026-06-02T16:00:00Z,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-04,12h_prior,,,2026-06-02T18:00:00Z,2026-06-03T04:00:00Z,24,24,24,0,2026-06-04 00:00:00+08:00,2026-06-04 23:00:00+08:00,32.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-04,24h_prior,,,2026-06-02T06:00:00Z,2026-06-02T16:00:00Z,24,24,24,0,2026-06-04 00:00:00+08:00,2026-06-04 23:00:00+08:00,33.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-04,6h_prior,,,2026-06-03T00:00:00Z,2026-06-03T10:00:00Z,24,24,24,0,2026-06-04 00:00:00+08:00,2026-06-04 23:00:00+08:00,33.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-04,event_day_open,,,2026-06-03T06:00:00Z,2026-06-03T16:00:00Z,24,24,24,0,2026-06-04 00:00:00+08:00,2026-06-04 23:00:00+08:00,33.3,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,12h_prior,,,2026-06-03T18:00:00Z,2026-06-04T04:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,33.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,24h_prior,,,2026-06-03T06:00:00Z,2026-06-03T16:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,33.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
