target_date,decision_rule,forecast_daily_max_c,forecast_issue_time_utc,decision_time_utc,unique_local_hours,source_period,forecast_value_source,daily_forecast_column,daily_forecast_corroborated,information_time_verified,hko_daily_max_c,residual_c,has_certified_market,chronology_block,development_fold,outcome_may_influence_model_choice,used_in_final_fit_before_holdout,used_to_refit_before_external_test
2026-03-16,24h_prior,21.6,2026-03-14T06:00:00Z,2026-03-14T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,24.0,2.3999999999999986,True,warmup_training,,True,True,False
2026-03-17,6h_prior,22.9,2026-03-16T00:00:00Z,2026-03-16T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,24.0,1.1000000000000014,True,warmup_training,,True,True,False
2026-03-18,12h_prior,25.0,2026-03-16T18:00:00Z,2026-03-17T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.8,2.8000000000000007,True,warmup_training,,True,True,False
2026-03-18,6h_prior,25.6,2026-03-17T00:00:00Z,2026-03-17T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.8,2.1999999999999993,True,warmup_training,,True,True,False
2026-03-21,12h_prior,22.8,2026-03-19T18:00:00Z,2026-03-20T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,22.3,-0.5,True,warmup_training,,True,True,False
2026-03-22,12h_prior,24.3,2026-03-20T18:00:00Z,2026-03-21T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.4,1.0999999999999979,True,warmup_training,,True,True,False
2026-03-22,event_day_open,24.4,2026-03-21T06:00:00Z,2026-03-21T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.4,1.0,True,warmup_training,,True,True,False
2026-03-23,12h_prior,25.5,2026-03-21T18:00:00Z,2026-03-22T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.4,1.8999999999999986,True,warmup_training,,True,True,False
2026-03-23,24h_prior,25.5,2026-03-21T06:00:00Z,2026-03-21T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.4,1.8999999999999986,True,warmup_training,,True,True,False
2026-03-23,event_day_open,26.2,2026-03-22T06:00:00Z,2026-03-22T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.4,1.1999999999999993,True,warmup_training,,True,True,False
2026-03-24,24h_prior,25.6,2026-03-22T06:00:00Z,2026-03-22T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.9,1.2999999999999972,True,warmup_training,,True,True,False
2026-03-24,event_day_open,25.4,2026-03-23T06:00:00Z,2026-03-23T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.9,1.5,True,warmup_training,,True,True,False
2026-03-25,24h_prior,27.6,2026-03-23T06:00:00Z,2026-03-23T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.0,2.3999999999999986,True,warmup_training,,True,True,False
2026-03-26,event_day_open,25.6,2026-03-25T06:00:00Z,2026-03-25T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.4,2.799999999999997,True,warmup_training,,True,True,False
2026-03-27,24h_prior,25.5,2026-03-25T06:00:00Z,2026-03-25T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.2,0.6999999999999993,True,warmup_training,,True,True,False
2026-03-27,event_day_open,26.3,2026-03-26T06:00:00Z,2026-03-26T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.2,-0.10000000000000142,True,warmup_training,,True,True,False
2026-03-28,24h_prior,26.0,2026-03-26T06:00:00Z,2026-03-26T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.4,1.3999999999999986,True,warmup_training,,True,True,False
2026-03-28,6h_prior,26.4,2026-03-27T00:00:00Z,2026-03-27T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.4,1.0,True,warmup_training,,True,True,False
