event_date,hko_tmax_C,hko_tmax_min_C,hko_tmax_max_C,n_source_rows,hko_source_files,hko_value_conflict
2026-03-01,21.1,21.1,21.1,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-02,23.9,23.9,23.9,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-03,22.8,22.8,22.8,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-04,17.5,17.5,17.5,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-05,23.2,23.2,23.2,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-06,23.6,23.6,23.6,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-07,22.3,22.3,22.3,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-08,22.4,22.4,22.4,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-09,22.8,22.8,22.8,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-10,19.6,19.6,19.6,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-11,20.7,20.7,20.7,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-12,24.5,24.5,24.5,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-03-13,21.8,21.8,21.8,4,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv,False
2026-03-14,24.3,24.3,24.3,4,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv,False
2026-03-15,25.0,25.0,25.0,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
