metric,decision_rule,value,rank,lower_better
binary_mean_brier,24h_prior,0.06867808983799704,4,True
binary_mean_brier,12h_prior,0.06515850736278446,1,True
binary_mean_brier,6h_prior,0.0657189876171352,2,True
binary_mean_brier,event_day_open,0.06597364004010695,3,True
binary_mean_log_score,24h_prior,0.21845493564325666,4,True
binary_mean_log_score,12h_prior,0.20996959080454833,2,True
binary_mean_log_score,6h_prior,0.21062421653358696,3,True
binary_mean_log_score,event_day_open,0.20755880322316544,1,True
normalised_categorical_log_score,24h_prior,1.4902894995671536,4,True
normalised_categorical_log_score,12h_prior,1.4744322319736654,2,True
normalised_categorical_log_score,6h_prior,1.479046567464237,3,True
normalised_categorical_log_score,event_day_open,1.4430324720841037,1,True
normalised_multiclass_brier,24h_prior,0.7279499244506591,4,True
normalised_multiclass_brier,12h_prior,0.7148187612509569,1,True
normalised_multiclass_brier,6h_prior,0.7197520167643491,2,True
normalised_multiclass_brier,event_day_open,0.7212286368425662,3,True
book_coherence_absolute_error,24h_prior,0.09707936507936507,4,True
book_coherence_absolute_error,12h_prior,0.06883823529411766,3,True
book_coherence_absolute_error,6h_prior,0.05374264705882352,1,True
book_coherence_absolute_error,event_day_open,0.06353676470588235,2,True
median_normalised_winner_probability,24h_prior,0.24953789279112754,4,False
median_normalised_winner_probability,12h_prior,0.26964846878526605,3,False
median_normalised_winner_probability,6h_prior,0.29444638491093256,2,False
median_normalised_winner_probability,event_day_open,0.2977656233659054,1,False
