event_date,decision_rule,decision_cutoff_utc,availability_delay_hours_assumed,selected_run_init_utc,selected_run_available_utc_assumed,selected_run_before_cutoff,model,run_init_utc_str,run_init_utc,forecast_valid_date_hkt,model_forecast,forecast_hko_daily_max_C,forecast_hko_daily_mean_C,n_hourly_values_for_event_day,first_forecast_valid_time_local,last_forecast_valid_time_local,min_lead_hours_from_run_init,max_lead_hours_from_run_init,target_hko_tmax_C,temperature_error_C,abs_temperature_error_C
2026-03-16,24h_prior,2026-03-14T16:00:00+00:00,6,2026-03-14T06:00:00+00:00,2026-03-14T12:00:00+00:00,True,ecmwf_ifs,2026-03-14T06:00,2026-03-14T06:00:00+00:00,2026-03-16,ecmwf_ifs,21.6,18.25,24.0,2026-03-16,2026-03-16 23:00:00,34.0,57.0,24.0,-2.3999999999999986,2.3999999999999986
2026-03-16,12h_prior,2026-03-15T04:00:00+00:00,6,2026-03-14T18:00:00+00:00,2026-03-15T00:00:00+00:00,True,ecmwf_ifs,2026-03-14T18:00,,,,,,,,,,,24.0,,
2026-03-16,6h_prior,2026-03-15T10:00:00+00:00,6,2026-03-15T00:00:00+00:00,2026-03-15T06:00:00+00:00,True,ecmwf_ifs,2026-03-15T00:00,,,,,,,,,,,24.0,,
2026-03-16,event_day_open,2026-03-15T16:00:00+00:00,6,2026-03-15T06:00:00+00:00,2026-03-15T12:00:00+00:00,True,ecmwf_ifs,2026-03-15T06:00,,,,,,,,,,,24.0,,
2026-03-17,24h_prior,2026-03-15T16:00:00+00:00,6,2026-03-15T06:00:00+00:00,2026-03-15T12:00:00+00:00,True,ecmwf_ifs,2026-03-15T06:00,,,,,,,,,,,24.0,,
2026-03-17,12h_prior,2026-03-16T04:00:00+00:00,6,2026-03-15T18:00:00+00:00,2026-03-16T00:00:00+00:00,True,ecmwf_ifs,2026-03-15T18:00,,,,,,,,,,,24.0,,
2026-03-17,6h_prior,2026-03-16T10:00:00+00:00,6,2026-03-16T00:00:00+00:00,2026-03-16T06:00:00+00:00,True,ecmwf_ifs,2026-03-16T00:00,2026-03-16T00:00:00+00:00,2026-03-17,ecmwf_ifs,22.9,19.829166666666666,24.0,2026-03-17,2026-03-17 23:00:00,16.0,39.0,24.0,-1.1000000000000014,1.1000000000000014
2026-03-17,event_day_open,2026-03-16T16:00:00+00:00,6,2026-03-16T06:00:00+00:00,2026-03-16T12:00:00+00:00,True,ecmwf_ifs,2026-03-16T06:00,,,,,,,,,,,24.0,,
2026-03-18,24h_prior,2026-03-16T16:00:00+00:00,6,2026-03-16T06:00:00+00:00,2026-03-16T12:00:00+00:00,True,ecmwf_ifs,2026-03-16T06:00,,,,,,,,,,,27.8,,
2026-03-18,12h_prior,2026-03-17T04:00:00+00:00,6,2026-03-16T18:00:00+00:00,2026-03-17T00:00:00+00:00,True,ecmwf_ifs,2026-03-16T18:00,2026-03-16T18:00:00+00:00,2026-03-18,ecmwf_ifs,25.0,20.9875,24.0,2026-03-18,2026-03-18 23:00:00,22.0,45.0,27.8,-2.8000000000000007,2.8000000000000007
2026-03-18,6h_prior,2026-03-17T10:00:00+00:00,6,2026-03-17T00:00:00+00:00,2026-03-17T06:00:00+00:00,True,ecmwf_ifs,2026-03-17T00:00,2026-03-17T00:00:00+00:00,2026-03-18,ecmwf_ifs,25.6,21.179166666666667,24.0,2026-03-18,2026-03-18 23:00:00,16.0,39.0,27.8,-2.1999999999999993,2.1999999999999993
2026-03-18,event_day_open,2026-03-17T16:00:00+00:00,6,2026-03-17T06:00:00+00:00,2026-03-17T12:00:00+00:00,True,ecmwf_ifs,2026-03-17T06:00,,,,,,,,,,,27.8,,
2026-03-19,24h_prior,2026-03-17T16:00:00+00:00,6,2026-03-17T06:00:00+00:00,2026-03-17T12:00:00+00:00,True,ecmwf_ifs,2026-03-17T06:00,,,,,,,,,,,28.1,,
2026-03-19,12h_prior,2026-03-18T04:00:00+00:00,6,2026-03-17T18:00:00+00:00,2026-03-18T00:00:00+00:00,True,ecmwf_ifs,2026-03-17T18:00,,,,,,,,,,,28.1,,
2026-03-19,6h_prior,2026-03-18T10:00:00+00:00,6,2026-03-18T00:00:00+00:00,2026-03-18T06:00:00+00:00,True,ecmwf_ifs,2026-03-18T00:00,,,,,,,,,,,28.1,,
2026-03-19,event_day_open,2026-03-18T16:00:00+00:00,6,2026-03-18T06:00:00+00:00,2026-03-18T12:00:00+00:00,True,ecmwf_ifs,2026-03-18T06:00,,,,,,,,,,,28.1,,
2026-03-21,24h_prior,2026-03-19T16:00:00+00:00,6,2026-03-19T06:00:00+00:00,2026-03-19T12:00:00+00:00,True,ecmwf_ifs,2026-03-19T06:00,,,,,,,,,,,22.3,,
2026-03-21,12h_prior,2026-03-20T04:00:00+00:00,6,2026-03-19T18:00:00+00:00,2026-03-20T00:00:00+00:00,True,ecmwf_ifs,2026-03-19T18:00,2026-03-19T18:00:00+00:00,2026-03-21,ecmwf_ifs,22.8,20.3875,24.0,2026-03-21,2026-03-21 23:00:00,22.0,45.0,22.3,0.5,0.5
2026-03-21,6h_prior,2026-03-20T10:00:00+00:00,6,2026-03-20T00:00:00+00:00,2026-03-20T06:00:00+00:00,True,ecmwf_ifs,2026-03-20T00:00,,,,,,,,,,,22.3,,
2026-03-21,event_day_open,2026-03-20T16:00:00+00:00,6,2026-03-20T06:00:00+00:00,2026-03-20T12:00:00+00:00,True,ecmwf_ifs,2026-03-20T06:00,,,,,,,,,,,22.3,,
