decision_rule,contract_event_type_v2,n,market_mean_brier,ecmwf_mean_brier,market_mean_log_score,ecmwf_mean_log_score,market_median_brier,ecmwf_median_brier,market_median_log_score,ecmwf_median_log_score,mean_p_market,mean_p_ecmwf_proxy,outcome_rate,market_minus_ecmwf_brier,market_minus_ecmwf_log_score,brier_winner,log_score_winner
24h_prior,interior_bin,511,0.07543413062622309,0.0928993521784147,0.23530912899475426,0.3250824735037857,0.000576,0.010310975265502485,0.024292692569044587,0.10707640084353653,0.09976223091976516,0.10533905553829073,0.09980430528375733,-0.01746522155219162,-0.08977334450903147,market,market
24h_prior,lower_tail_endpoint,57,6.0350877192982454e-06,4.935239849641077e-05,0.002038112838779649,0.002046171253088977,2.25e-06,5.2342394597861225e-09,0.0015011261262670914,7.235066117105139e-05,0.0020350877192982456,0.002020843585596416,0.0,-4.331731077711253e-05,-8.058414309328207e-06,market,market
24h_prior,upper_tail,56,0.07137706696428572,0.08063863539170339,0.2550387318765129,0.2544274719419314,0.013225,0.00019330585276060763,0.12216763397420753,0.014001005759384452,0.16475892857142857,0.05333177784960713,0.125,-0.009261568427417682,0.0006112599345815239,market,ecmwf_proxy
12h_prior,interior_bin,548,0.07345726277372264,0.0921355632033477,0.2342285380545324,0.3294956811661218,0.000564125,0.010310975265502485,0.024036610617223987,0.10707640084353653,0.10107846715328467,0.10598375348890005,0.09671532846715329,-0.018678300429625063,-0.09526714311158939,market,market
12h_prior,lower_tail_endpoint,61,2.214754098360656e-05,0.00019314471715109246,0.0017654143128324013,0.004150899336458395,1e-06,8.926682944298683e-09,0.0010005003335835344,9.448558842699508e-05,0.0017540983606557379,0.0040502336295847735,0.0,-0.0001709971761674859,-0.002385485023625994,market,market
12h_prior,upper_tail,61,0.06260356147540982,0.08804818600863093,0.21662016516108612,0.2905662298819711,0.005625,0.00013701400315472184,0.0779615414697118,0.011774344416309018,0.1515983606557377,0.043765930447652895,0.13114754098360656,-0.025444624533221098,-0.07394606472088497,market,market
6h_prior,interior_bin,530,0.07302513443396227,0.08893589621139696,0.23021393321749178,0.3074000186705053,0.0001105,0.008576025005153436,0.0105556416064632,0.09717943903373241,0.09822924528301888,0.10449634748118995,0.09622641509433963,-0.015910761777434685,-0.0771860854530135,market,market
6h_prior,lower_tail_endpoint,59,1.4915254237288134e-06,0.0009285212537783034,0.0009668485530785739,0.005715077898219182,2.5e-07,5.2342394597861225e-09,0.0005001250416822429,7.235066117105139e-05,0.0009661016949152543,0.00516531130553848,0.0,-0.0009270297283545745,-0.0047482293451406084,market,market
6h_prior,upper_tail,59,0.05396288559322034,0.08988153894146159,0.1897109589955361,0.3010772831594975,0.00216225,0.00019330585276060763,0.04761585394166328,0.014001005759384452,0.15873728813559324,0.056091263643177944,0.13559322033898305,-0.03591865334824124,-0.11136632416396139,market,market
event_day_open,interior_bin,567,0.07286667504409171,0.08876112409169169,0.22511576697301686,0.30954983842146333,3.0249999999999997e-05,0.008576025005153436,0.005515180688110111,0.09717943903373241,0.09702028218694886,0.1055163359974019,0.09523809523809523,-0.015894449047599988,-0.08443407144844645,market,market
event_day_open,lower_tail_endpoint,63,7.5e-07,6.447058639779126e-05,0.0007067246190564169,0.002243455046429077,2.5e-07,3.0433465869117114e-09,0.0005001250416822429,5.5168056756499515e-05,0.0007063492063492063,0.0022101351236395233,0.0,-6.372058639779127e-05,-0.0015367304273726599,market,market
event_day_open,upper_tail,63,0.06963503571428571,0.0978188772089581,0.2465171079115068,0.3228041236390488,0.00416025,0.00027055959426919876,0.06667413326799275,0.0165854776154914,0.16962698412698413,0.04814284089974296,0.14285714285714285,-0.028183841494672388,-0.07628701572754203,market,market
