n_contracts_common,expected_n_contracts,n_yes,book_ready,book_issue,market_total_book_probability,ecmwf_total_book_probability,market_abs_book_probability_error,ecmwf_abs_book_probability_error,market_winning_probability_raw,ecmwf_winning_probability_raw,market_winning_probability_normalised,ecmwf_winning_probability_normalised,market_normalised_categorical_log_score,ecmwf_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_normalised_multiclass_brier,delta_norm_log_market_minus_ecmwf,delta_norm_brier_market_minus_ecmwf,event_date,decision_rule
11,11,1.0,True,,1.0465,0.9999999999999996,0.046499999999999986,4.440892098500626e-16,0.2,0.161281317821055,0.19111323459149548,0.1612813178210551,1.6548891753380177,1.8246051231190294,0.8500329517384296,0.8620967592054195,-0.16971594778101173,-0.012063807466989873,2026-05-10,24h_prior
11,11,1.0,True,,1.0995,0.9999999999999997,0.09949999999999992,3.3306690738754696e-16,0.355,0.0760396778111262,0.32287403365165984,0.07603967781112622,1.1304930205194001,2.5764999984681207,0.5915967839364746,1.0325816074611902,-1.4460069779487206,-0.4409848235247156,2026-04-13,24h_prior
11,11,1.0,True,,1.0929999999999997,0.9999999999999994,0.09299999999999975,5.551115123125783e-16,0.155,0.2015170661941665,0.14181152790484908,0.20151706619416662,1.9532563712572917,1.6018812054291942,0.9588109143355078,0.7816229667726434,0.35137516582809747,0.17718794756286438,2026-04-05,24h_prior
11,11,1.0,True,,1.131,0.9999999999999994,0.131,5.551115123125783e-16,0.26,0.1108649016586423,0.22988505747126436,0.11086490165864235,1.4701758451005928,2.1994429211145765,0.7822772113909038,0.9629497821854865,-0.7292670760139837,-0.18067257079458277,2026-05-14,24h_prior
11,11,1.0,True,,1.0365,0.9999999999999997,0.03649999999999998,3.3306690738754696e-16,0.36,0.0379750236441693,0.3473227206946454,0.03797502364416931,1.0575009004256786,3.270826607875891,0.5343346995308016,1.1087069848001296,-2.2133257074502124,-0.574372285269328,2026-04-26,24h_prior
11,11,1.0,True,,1.1584999999999999,0.9999999999999996,0.15849999999999986,4.440892098500626e-16,0.315,0.1108649016586423,0.2719033232628399,0.11086490165864235,1.3023087050467979,2.1994429211145765,0.6604115236149316,0.9629497821854864,-0.8971342160677787,-0.30253825857055483,2026-04-06,24h_prior
11,11,1.0,True,,1.0485,0.9999999999999997,0.04849999999999999,3.3306690738754696e-16,0.091,0.0359303191129258,0.08679065331425846,0.03593031911292582,2.4442563438251246,3.326173796378593,1.124653631263319,1.1132032082393983,-0.8819174525534685,0.011450423023920742,2026-05-13,24h_prior
11,11,1.0,True,,1.037,0.9999999999999993,0.03699999999999992,6.661338147750939e-16,0.315,0.2015170661941665,0.3037608486017358,0.20151706619416665,1.1915145694038942,1.601881205429194,0.6636591718749564,0.7816378854886745,-0.41036663602529977,-0.11797871361371814,2026-04-27,24h_prior
11,11,1.0,True,,1.083,0.9999999999999996,0.08299999999999996,4.440892098500626e-16,0.21,0.0712333774139861,0.19390581717451524,0.07123337741398612,1.6403827162835218,2.6417937865047545,0.8437337207527738,1.0440641600457756,-1.0014110702212327,-0.20033043929300187,2026-05-12,24h_prior
11,11,1.0,True,,1.089,0.9999999999999996,0.08899999999999997,4.440892098500626e-16,0.235,0.0926068302294892,0.2157943067033976,0.09260683022948925,1.5334296087888015,2.3793923794725433,0.7481025295951416,0.9998501860062713,-0.8459627706837418,-0.2517476564111297,2026-04-07,24h_prior
