event_date,decision_rule,_join_token,market_slug_market,group_item_title_market,contract_event_type_v2_market,event_set_v2_market,selected_yes_token_id_market,p_market,Y_event_int_market,hko_tmax_C,price_staleness_hours,market_slug_ecmwf,group_item_title_ecmwf,contract_event_type_v2_ecmwf,event_set_v2_ecmwf,selected_yes_token_id_ecmwf,p_ecmwf_proxy,Y_event_int_ecmwf,forecast_hko_daily_max_C,temperature_error_C,abs_temperature_error_C,selected_run_init_utc,decision_cutoff_utc,market_slug,group_item_title,contract_event_type_v2,event_set_v2,selected_yes_token_id,Y_event_int,Y_mismatch,brier_market_common,brier_ecmwf_common,log_market_common,log_ecmwf_common,delta_brier_market_minus_ecmwf,delta_log_market_minus_ecmwf
2026-04-01,24h_prior,8604720886787485019697790883292245503562985545875997741180261352304494220128,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,0.0015,0,27.3,0.9897222222222222,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,1.5306267365233772e-06,0,28.0,0.6999999999999993,0.6999999999999993,2026-03-30T06:00:00+00:00,2026-03-30T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-1-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",8604720886787485019697790883292245503562985545875997741180261352304494220128,0,False,2.25e-06,2.342818206560204e-12,0.0015011261262670914,1.5306279078781645e-06,2.2499976571817935e-06,0.0014995954983592133
2026-04-05,24h_prior,25848404610935488581923593493158080453509930610464714765597544450751655080788,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0.004,0,25.7,1.9841666666666664,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0.0430939936189997,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-21c,21°C,interior_bin,"[21, 22)",25848404610935488581923593493158080453509930610464714765597544450751655080788,0,False,1.6e-05,0.001857092286034387,0.004008021397538822,0.04405010930053611,-0.001841092286034387,-0.040042087902997285
2026-05-31,24h_prior,87888663996434372288577313546264931734368009246018433667904838473642459781503,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0.045,0,30.9,0.9977777777777778,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0.2351094847929893,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-29c,29°C,interior_bin,"[29, 30)",87888663996434372288577313546264931734368009246018433667904838473642459781503,0,False,0.002025,0.055276469839624864,0.046043938501406846,0.2680225727743268,-0.053251469839624865,-0.22197863427291994
2026-04-05,24h_prior,74665723756596504794254788516955728557433668850961942716437300494034489795628,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0.014,0,25.7,4.984444444444445,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0.1205246531526716,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-22c,22°C,interior_bin,"[22, 23)",74665723756596504794254788516955728557433668850961942716437300494034489795628,0,False,0.00019600000000000002,0.01452619201757179,0.014098924379501648,0.12842974607024646,-0.01433019201757179,-0.11433082169074481
2026-04-05,24h_prior,15292098526477030809993906300224555310006329210339601132926403923970392573628,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0.028,0,25.7,1.9847222222222225,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0.2195389656117957,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-23c,23°C,interior_bin,"[23, 24)",15292098526477030809993906300224555310006329210339601132926403923970392573628,0,False,0.0007840000000000001,0.048197357421897215,0.028399474521698,0.24787046418294226,-0.047413357421897215,-0.21947098966124426
2026-04-05,24h_prior,22074646798189123635520932637727865137601081645580644112018376011577026693799,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0.0715,0,25.7,0.9866666666666668,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0.2605588311462989,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-24c,24°C,interior_bin,"[24, 25)",22074646798189123635520932637727865137601081645580644112018376011577026693799,0,False,0.005112249999999999,0.06789090448832551,0.07418489818937658,0.301860555298609,-0.06277865448832551,-0.22767565710923243
2026-04-05,24h_prior,104757526012921090233180591680889167265603295056673214860338164056874618029396,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,0.155,1,25.7,4.984722222222223,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,0.2015170661941665,1,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-25c,25°C,interior_bin,"[25, 26)",104757526012921090233180591680889167265603295056673214860338164056874618029396,1,False,0.7140249999999999,0.637574995579171,1.8643301620628905,1.6018812054291947,0.07645000442082894,0.26244895663369583
2026-05-31,24h_prior,32140648137380797606439470021485351119760369331312412735223798816287033671775,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0.026,0,30.9,0.9983333333333332,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0.1406220211694106,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-28c,28°C,interior_bin,"[28, 29)",32140648137380797606439470021485351119760369331312412735223798816287033671775,0,False,0.000676,0.019774552837770167,0.026343975339601977,0.1515464318576135,-0.019098552837770167,-0.1252024565180115
2026-04-05,24h_prior,26671144574678579633191242731406832933866690980311921251343613122666969078740,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0.325,0,25.7,0.9886111111111112,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0.1015429725067298,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-26c,26°C,interior_bin,"[26, 27)",26671144574678579633191242731406832933866690980311921251343613122666969078740,0,False,0.10562500000000001,0.010310975265502485,0.3930425881096072,0.10707640084353653,0.09531402473449753,0.28596618726607065
2026-04-05,24h_prior,43866549669423541632974893827236151651339018283628336976804309112558024110725,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0.385,0,25.7,1.985,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0.033320683764183,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-27c,27°C,interior_bin,"[27, 28)",43866549669423541632974893827236151651339018283628336976804309112558024110725,0,False,0.148225,0.0011102679665126885,0.4861330111756192,0.03388846600010913,0.1471147320334873,0.45224454517551005
2026-04-05,24h_prior,41698514529858891844589742513124336251360409885818830357575227634874978902711,highest-temperature-in-hong-kong-on-april-5-2026-28c,28°C,interior_bin,"[28, 29)",41698514529858891844589742513124336251360409885818830357575227634874978902711,0.045,0,25.7,0.9841666666666666,highest-temperature-in-hong-kong-on-april-5-2026-28c,28°C,interior_bin,"[28, 29)",41698514529858891844589742513124336251360409885818830357575227634874978902711,0.0071152354432029,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-28c,28°C,interior_bin,"[28, 29)",41698514529858891844589742513124336251360409885818830357575227634874978902711,0,False,0.002025,5.0626575412210765e-05,0.046043938501406846,0.007140669448675237,0.001974373424587789,0.03890326905273161
2026-04-05,24h_prior,50409073537335131991936665136273430917848934617334036368110483089585055351802,highest-temperature-in-hong-kong-on-april-5-2026-29corhigher,29°C or higher,upper_tail,"[29, infinity)",50409073537335131991936665136273430917848934617334036368110483089585055351802,0.06,0,25.7,0.9866666666666668,highest-temperature-in-hong-kong-on-april-5-2026-29corhigher,29°C or higher,upper_tail,"[29, infinity)",50409073537335131991936665136273430917848934617334036368110483089585055351802,0.0010823004813931,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-29corhigher,29°C or higher,upper_tail,"[29, infinity)",50409073537335131991936665136273430917848934617334036368110483089585055351802,0,False,0.0036,1.1713743320237362e-06,0.06187540371808753,0.0010828865914954678,0.0035988286256679763,0.06079251712659206
2026-05-31,24h_prior,36477279287652456241976945601778424435208734880871384495935229044707447400591,highest-temperature-in-hong-kong-on-may-31-2026-27c,27°C,interior_bin,"[27, 28)",36477279287652456241976945601778424435208734880871384495935229044707447400591,0.0055,0,30.9,0.9983333333333332,highest-temperature-in-hong-kong-on-may-31-2026-27c,27°C,interior_bin,"[27, 28)",36477279287652456241976945601778424435208734880871384495935229044707447400591,0.0547846815912408,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-27c,27°C,interior_bin,"[27, 28)",36477279287652456241976945601778424435208734880871384495935229044707447400591,0,False,3.0249999999999997e-05,0.0030013613370536386,0.005515180688110111,0.05634252727430238,-0.0029711113370536387,-0.05082734658619227
2026-04-05,24h_prior,57239072134856851649312401014770653867154061343716744536278881907453273749371,highest-temperature-in-hong-kong-on-april-5-2026-20c,20°C,interior_bin,"[20, 21)",57239072134856851649312401014770653867154061343716744536278881907453273749371,0.003,0,25.7,1.9841666666666664,highest-temperature-in-hong-kong-on-april-5-2026-20c,20°C,interior_bin,"[20, 21)",57239072134856851649312401014770653867154061343716744536278881907453273749371,0.0100285798530851,0,24.4,-1.3000000000000007,1.3000000000000007,2026-04-03T06:00:00+00:00,2026-04-03T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-5-2026-20c,20°C,interior_bin,"[20, 21)",57239072134856851649312401014770653867154061343716744536278881907453273749371,0,False,9e-06,0.00010057241386970436,0.0030045090202987243,0.010079204808675557,-9.157241386970436e-05,-0.007074695788376832
2026-04-06,24h_prior,33933611503720263839516233544720391602177918424273546465766104513169544729016,highest-temperature-in-hong-kong-on-april-6-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",33933611503720263839516233544720391602177918424273546465766104513169544729016,0.0015,0,28.1,1.9980555555555557,highest-temperature-in-hong-kong-on-april-6-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",33933611503720263839516233544720391602177918424273546465766104513169544729016,0.0001228663899651,0,26.5,-1.6000000000000014,1.6000000000000014,2026-04-04T06:00:00+00:00,2026-04-04T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-6-2026-20corbelow,20°C or below,lower_tail_endpoint,"(-infinity, 21)",33933611503720263839516233544720391602177918424273546465766104513169544729016,0,False,2.25e-06,1.5096149783056025e-08,0.0015011261262670914,0.0001228739386582778,2.234903850216944e-06,0.0013782521876088136
2026-04-06,24h_prior,99424131690512568330796705666391535224298691842851918480982668466809604378574,highest-temperature-in-hong-kong-on-april-6-2026-22c,22°C,interior_bin,"[22, 23)",99424131690512568330796705666391535224298691842851918480982668466809604378574,0.0135,0,28.1,7.983611111111111,highest-temperature-in-hong-kong-on-april-6-2026-22c,22°C,interior_bin,"[22, 23)",99424131690512568330796705666391535224298691842851918480982668466809604378574,0.0084654305970152,0,26.5,-1.6000000000000014,1.6000000000000014,2026-04-04T06:00:00+00:00,2026-04-04T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-6-2026-22c,22°C,interior_bin,"[22, 23)",99424131690512568330796705666391535224298691842851918480982668466809604378574,0,False,0.00018224999999999998,7.166351519288114e-05,0.013591953519466972,0.008501465868121474,0.00011058648480711885,0.005090487651345498
2026-04-06,24h_prior,95695866516635890736433149193468233322485504056511067561067060366927144049494,highest-temperature-in-hong-kong-on-april-6-2026-23c,23°C,interior_bin,"[23, 24)",95695866516635890736433149193468233322485504056511067561067060366927144049494,0.014,0,28.1,1.9969444444444444,highest-temperature-in-hong-kong-on-april-6-2026-23c,23°C,interior_bin,"[23, 24)",95695866516635890736433149193468233322485504056511067561067060366927144049494,0.0379750236441693,0,26.5,-1.6000000000000014,1.6000000000000014,2026-04-04T06:00:00+00:00,2026-04-04T16:00:00+00:00,highest-temperature-in-hong-kong-on-april-6-2026-23c,23°C,interior_bin,"[23, 24)",95695866516635890736433149193468233322485504056511067561067060366927144049494,0,False,0.00019600000000000002,0.0014421024207752172,0.014098924379501648,0.03871486570561307,-0.0012461024207752172,-0.02461594132611142
2026-05-31,24h_prior,90196004361709283557605839339856035696422699774047476454722745649806763425973,highest-temperature-in-hong-kong-on-may-31-2026-26c,26°C,interior_bin,"[26, 27)",90196004361709283557605839339856035696422699774047476454722745649806763425973,0.0035,0,30.9,0.9977777777777778,highest-temperature-in-hong-kong-on-may-31-2026-26c,26°C,interior_bin,"[26, 27)",90196004361709283557605839339856035696422699774047476454722745649806763425973,0.0138935654923173,0,30.2,-0.6999999999999993,0.6999999999999993,2026-05-29T06:00:00+00:00,2026-05-29T16:00:00+00:00,highest-temperature-in-hong-kong-on-may-31-2026-26c,26°C,interior_bin,"[26, 27)",90196004361709283557605839339856035696422699774047476454722745649806763425973,0,False,1.2250000000000001e-05,0.00019303116208931005,0.00350613932928759,0.013990984457067824,-0.00018078116208931005,-0.010484845127780234
