event_date,decision_rule,n,mean_delta_brier_market_minus_ecmwf,mean_delta_log_market_minus_ecmwf,outcome_count
2026-05-10,24h_prior,11,-0.0007031826550381075,-0.014994067620577466,1
2026-04-13,24h_prior,11,-0.04142321431465362,-0.15687813375109969,1
2026-04-05,24h_prior,11,0.018000048475214234,0.04478056616612405,1
2026-05-14,24h_prior,11,-0.0157574801986806,-0.07398815319028003,1
2026-04-26,24h_prior,11,-0.05297329407273903,-0.23397265400980627,1
2026-04-06,24h_prior,11,-0.02898763928958968,-0.09851592314934926,1
2026-05-13,24h_prior,11,0.00296927652369109,-0.07479403688402765,1
2026-04-27,24h_prior,11,-0.010910762317152224,-0.04393279312799508,1
2026-05-12,24h_prior,11,-0.017498832731434145,-0.09990503670768315,1
2026-04-07,24h_prior,11,-0.02334097145511556,-0.09060655733679193,1
2026-05-11,24h_prior,11,-0.03433432636229342,-0.1123549099608093,1
2026-04-28,24h_prior,11,-0.01847707950591562,-0.3075070066825884,1
2026-04-08,24h_prior,11,-0.02004893296197399,-0.09686943469762102,1
2026-04-20,24h_prior,11,-0.037780140259603016,-0.12455022519722503,1
2026-05-09,24h_prior,11,-0.02747082650161318,-0.10248529279780505,1
2026-04-09,24h_prior,11,-0.03591999418238829,-0.13526197040422538,1
2026-04-15,24h_prior,11,-0.008514266145631803,-0.04195049373869952,1
2026-05-08,24h_prior,11,0.01352961101197927,0.0362149888638209,1
2026-04-29,24h_prior,11,0.004064299879250151,-0.03681814870564699,1
2026-04-10,24h_prior,11,-0.04157680451926258,-0.12688792819429537,1
2026-05-07,24h_prior,11,-0.04136102797595506,-0.2804540714790113,1
2026-04-11,24h_prior,11,0.03435762619552294,0.11795375547989023,1
2026-05-05,24h_prior,11,0.04360025680878335,0.17764037421713194,1
2026-04-14,24h_prior,7,-0.023362606258710783,-0.13224408538242205,1
2026-05-04,24h_prior,11,-0.01550233752619532,-0.0446008030067685,1
2026-04-12,24h_prior,11,-0.01352728852089735,-0.057510931698871406,1
2026-05-01,24h_prior,11,-0.05263208410702849,-0.24719673910199277,1
2026-05-03,24h_prior,11,-0.027768175236540904,-0.08399468059334828,1
2026-04-17,24h_prior,6,-0.05087148616025433,-0.16510157864483568,1
2026-05-16,24h_prior,11,0.0430741722195991,0.1526905569061294,1
2026-05-15,24h_prior,11,0.01808250257431612,0.041821879472348646,1
2026-04-25,24h_prior,11,-0.03025260633618718,-0.09811516256666476,1
2026-05-31,24h_prior,11,0.012264942279834129,0.0155044229745854,1
2026-04-21,24h_prior,11,-0.03724524716304888,-0.16375061527508294,1
2026-05-30,24h_prior,11,-0.02586645716983891,-0.1455284191977551,1
2026-05-29,24h_prior,11,-0.027216407794817387,-0.06992576329002057,1
2026-03-23,24h_prior,11,-0.0177750686511195,-0.06886100420819254,1
2026-04-22,24h_prior,11,-0.03357596116941345,-0.11959648558177803,1
2026-03-24,24h_prior,11,0.009761093945500275,0.0269817390709316,1
2026-05-28,24h_prior,11,-0.033858651865266674,-0.1269641246413965,1
2026-03-25,24h_prior,11,-0.017861684831164067,-0.03349505610891541,1
2026-04-19,24h_prior,11,-0.01684784252195343,-0.16979052197491706,1
2026-03-27,24h_prior,11,0.018729644272531102,0.05713086368164832,1
