metric,decision_rule,model,value,rank_within_decision_rule,rank_across_all_rule_model_pairs
binary_mean_brier,event_day_open,ecmwf_bias_scale,0.061106025355570665,1,1
binary_mean_brier,event_day_open,ecmwf_bias_fixed_sigma,0.06326917758261859,2,2
binary_mean_brier,event_day_open,market,0.06402017234848484,3,3
binary_mean_brier,12h_prior,market,0.06495750101214574,1,4
binary_mean_brier,12h_prior,ecmwf_bias_fixed_sigma,0.06498179293173904,2,5
binary_mean_brier,6h_prior,market,0.06499044358178055,1,6
binary_mean_brier,12h_prior,ecmwf_bias_scale,0.065646510335454,3,7
binary_mean_brier,6h_prior,ecmwf_bias_fixed_sigma,0.06610666570668629,2,8
binary_mean_brier,24h_prior,ecmwf_bias_scale,0.06665562877150892,1,9
binary_mean_brier,24h_prior,ecmwf_bias_fixed_sigma,0.06733157204490413,2,10
binary_mean_brier,6h_prior,ecmwf_bias_scale,0.06782989267859335,3,11
binary_mean_brier,24h_prior,market,0.06820252500000001,3,12
binary_mean_brier,6h_prior,ecmwf_raw,0.08208876552328549,4,13
binary_mean_brier,event_day_open,ecmwf_raw,0.08229726993982056,4,14
binary_mean_brier,12h_prior,ecmwf_raw,0.08424508029118663,4,15
binary_mean_brier,24h_prior,ecmwf_raw,0.08553875356924205,4,16
binary_mean_log_score,event_day_open,ecmwf_bias_scale,0.19732264147723594,1,1
binary_mean_log_score,event_day_open,market,0.19889278973608016,2,2
binary_mean_log_score,event_day_open,ecmwf_bias_fixed_sigma,0.20380339101063116,3,3
binary_mean_log_score,6h_prior,market,0.20707111988740753,1,4
binary_mean_log_score,12h_prior,market,0.20859883287590822,1,5
binary_mean_log_score,12h_prior,ecmwf_bias_scale,0.20881840935768364,2,6
binary_mean_log_score,12h_prior,ecmwf_bias_fixed_sigma,0.20888716517669212,3,7
binary_mean_log_score,6h_prior,ecmwf_bias_fixed_sigma,0.2106004372492483,2,8
binary_mean_log_score,24h_prior,ecmwf_bias_scale,0.21093587926253746,1,9
binary_mean_log_score,24h_prior,ecmwf_bias_fixed_sigma,0.21351513519979343,2,10
binary_mean_log_score,24h_prior,market,0.21438796548462655,3,11
binary_mean_log_score,6h_prior,ecmwf_bias_scale,0.2171919605705357,3,12
binary_mean_log_score,6h_prior,ecmwf_raw,0.2880426886514238,4,13
binary_mean_log_score,event_day_open,ecmwf_raw,0.28842451554282234,4,14
binary_mean_log_score,24h_prior,ecmwf_raw,0.30152539149316293,4,15
binary_mean_log_score,12h_prior,ecmwf_raw,0.30604739681440923,4,16
normalised_categorical_log_score,event_day_open,market,1.3685687775745,1,1
normalised_categorical_log_score,event_day_open,ecmwf_bias_scale,1.3810966621627072,2,2
normalised_categorical_log_score,12h_prior,ecmwf_bias_scale,1.428288455150547,1,3
normalised_categorical_log_score,event_day_open,ecmwf_bias_fixed_sigma,1.4308850968052755,3,4
normalised_categorical_log_score,6h_prior,market,1.445145477035562,1,5
normalised_categorical_log_score,24h_prior,ecmwf_bias_scale,1.451254384172303,1,6
normalised_categorical_log_score,12h_prior,ecmwf_bias_fixed_sigma,1.4621822496877357,2,7
normalised_categorical_log_score,12h_prior,market,1.4632807756865498,3,8
normalised_categorical_log_score,6h_prior,ecmwf_bias_fixed_sigma,1.4690156143776867,2,9
normalised_categorical_log_score,24h_prior,ecmwf_bias_fixed_sigma,1.473196303176774,2,10
normalised_categorical_log_score,6h_prior,ecmwf_bias_scale,1.4800384030400024,3,11
normalised_categorical_log_score,24h_prior,market,1.4861554368513472,3,12
normalised_categorical_log_score,6h_prior,ecmwf_raw,2.1819584332097928,4,13
normalised_categorical_log_score,event_day_open,ecmwf_raw,2.221497709267392,4,14
normalised_categorical_log_score,24h_prior,ecmwf_raw,2.3158676570534777,4,15
normalised_categorical_log_score,12h_prior,ecmwf_raw,2.3639974719794705,4,16
normalised_multiclass_brier,event_day_open,ecmwf_bias_scale,0.6721662789112773,1,1
normalised_multiclass_brier,event_day_open,ecmwf_bias_fixed_sigma,0.6959609534088044,2,2
normalised_multiclass_brier,event_day_open,market,0.7003091723348752,3,3
normalised_multiclass_brier,6h_prior,market,0.7055909973749538,1,4
normalised_multiclass_brier,12h_prior,ecmwf_bias_scale,0.7089538233499891,1,5
normalised_multiclass_brier,12h_prior,ecmwf_bias_fixed_sigma,0.7090554852335339,2,6
normalised_multiclass_brier,12h_prior,market,0.7090669476165997,3,7
normalised_multiclass_brier,24h_prior,ecmwf_bias_scale,0.7206855540673067,1,8
normalised_multiclass_brier,6h_prior,ecmwf_bias_fixed_sigma,0.7214010865462679,2,9
normalised_multiclass_brier,24h_prior,ecmwf_bias_fixed_sigma,0.7244869848276355,2,10
normalised_multiclass_brier,6h_prior,ecmwf_bias_scale,0.7309244314066146,3,11
normalised_multiclass_brier,24h_prior,market,0.7374850182277318,3,12
normalised_multiclass_brier,6h_prior,ecmwf_raw,0.8957490994584724,4,13
normalised_multiclass_brier,event_day_open,ecmwf_raw,0.9052699693380261,4,14
normalised_multiclass_brier,12h_prior,ecmwf_raw,0.9197975452897326,4,15
normalised_multiclass_brier,24h_prior,ecmwf_raw,0.9226711597131195,4,16
