event_date,date_group_id,n_rows,n_yes,outcome_rate,n_decision_rules,n_event_types,n_unique_contracts,n_eligible_combined,n_complete_book_combined
2026-04-10,0,22,2,0.09090909090909091,2,3,11,22,22
2026-04-11,1,22,2,0.09090909090909091,2,3,11,22,22
2026-04-12,2,22,2,0.09090909090909091,2,3,11,22,22
2026-04-13,3,33,3,0.09090909090909091,3,3,11,33,33
2026-04-14,4,40,4,0.1,4,3,11,40,33
2026-04-15,5,44,4,0.09090909090909091,4,3,11,44,44
2026-04-16,6,31,3,0.0967741935483871,3,3,11,31,11
2026-04-17,7,39,4,0.10256410256410256,4,3,11,39,33
2026-04-18,8,39,4,0.10256410256410256,4,3,11,39,33
2026-04-19,9,44,4,0.09090909090909091,4,3,11,44,44
2026-04-20,10,44,4,0.09090909090909091,4,3,11,44,44
2026-04-21,11,44,4,0.09090909090909091,4,3,11,44,44
2026-04-22,12,44,4,0.09090909090909091,4,3,11,44,44
2026-04-23,13,44,4,0.09090909090909091,4,3,11,44,44
2026-04-24,14,44,4,0.09090909090909091,4,3,11,44,44
2026-04-25,15,44,4,0.09090909090909091,4,3,11,44,44
2026-04-26,16,44,4,0.09090909090909091,4,3,11,44,44
2026-04-27,17,44,4,0.09090909090909091,4,3,11,44,44
2026-04-28,18,44,4,0.09090909090909091,4,3,11,44,44
2026-04-29,19,44,4,0.09090909090909091,4,3,11,44,44
2026-04-30,20,33,3,0.09090909090909091,3,3,11,33,33
2026-05-01,21,44,4,0.09090909090909091,4,3,11,44,44
2026-05-02,22,44,4,0.09090909090909091,4,3,11,44,44
2026-05-03,23,44,4,0.09090909090909091,4,3,11,44,44
2026-05-04,24,44,4,0.09090909090909091,4,3,11,44,44
2026-05-05,25,44,4,0.09090909090909091,4,3,11,44,44
2026-05-06,26,33,3,0.09090909090909091,3,3,11,33,33
2026-05-07,27,44,4,0.09090909090909091,4,3,11,44,44
2026-05-08,28,44,4,0.09090909090909091,4,3,11,44,44
2026-05-09,29,44,4,0.09090909090909091,4,3,11,44,44
2026-05-10,30,44,4,0.09090909090909091,4,3,11,44,44
2026-05-11,31,44,4,0.09090909090909091,4,3,11,44,44
2026-05-12,32,44,4,0.09090909090909091,4,3,11,44,44
2026-05-13,33,44,4,0.09090909090909091,4,3,11,44,44
2026-05-14,34,44,4,0.09090909090909091,4,3,11,44,44
2026-05-15,35,44,4,0.09090909090909091,4,3,11,44,44
2026-05-16,36,44,4,0.09090909090909091,4,3,11,44,44
2026-05-21,37,33,3,0.09090909090909091,3,3,11,33,33
2026-05-22,38,44,4,0.09090909090909091,4,3,11,44,44
2026-05-23,39,44,4,0.09090909090909091,4,3,11,44,44
2026-05-24,40,44,4,0.09090909090909091,4,3,11,44,44
2026-05-25,41,44,4,0.09090909090909091,4,3,11,44,44
2026-05-26,42,44,4,0.09090909090909091,4,3,11,44,44
2026-05-27,43,44,4,0.09090909090909091,4,3,11,44,44
2026-05-28,44,44,4,0.09090909090909091,4,3,11,44,44
2026-05-29,45,44,4,0.09090909090909091,4,3,11,44,44
2026-05-30,46,44,4,0.09090909090909091,4,3,11,44,44
2026-05-31,47,44,4,0.09090909090909091,4,3,11,44,44
