event_date,date_group_id,n_rows,n_positive,n_decision_rules,n_event_types,n_eligible_combined,date_index,outcome_rate,sample_partition
2026-04-10,0,22,2,2,3,22,1,0.09090909090909091,development
2026-04-11,1,22,2,2,3,22,2,0.09090909090909091,development
2026-04-12,2,22,2,2,3,22,3,0.09090909090909091,development
2026-04-13,3,33,3,3,3,33,4,0.09090909090909091,development
2026-04-14,4,40,4,4,3,40,5,0.1,development
2026-04-15,5,44,4,4,3,44,6,0.09090909090909091,development
2026-04-16,6,31,3,3,3,31,7,0.0967741935483871,development
2026-04-17,7,39,4,4,3,39,8,0.10256410256410256,development
2026-04-18,8,39,4,4,3,39,9,0.10256410256410256,development
2026-04-19,9,44,4,4,3,44,10,0.09090909090909091,development
2026-04-20,10,44,4,4,3,44,11,0.09090909090909091,development
2026-04-21,11,44,4,4,3,44,12,0.09090909090909091,development
2026-04-22,12,44,4,4,3,44,13,0.09090909090909091,development
2026-04-23,13,44,4,4,3,44,14,0.09090909090909091,development
2026-04-24,14,44,4,4,3,44,15,0.09090909090909091,development
2026-04-25,15,44,4,4,3,44,16,0.09090909090909091,development
2026-04-26,16,44,4,4,3,44,17,0.09090909090909091,development
2026-04-27,17,44,4,4,3,44,18,0.09090909090909091,development
2026-04-28,18,44,4,4,3,44,19,0.09090909090909091,development
2026-04-29,19,44,4,4,3,44,20,0.09090909090909091,development
2026-04-30,20,33,3,3,3,33,21,0.09090909090909091,development
2026-05-01,21,44,4,4,3,44,22,0.09090909090909091,development
2026-05-02,22,44,4,4,3,44,23,0.09090909090909091,development
2026-05-03,23,44,4,4,3,44,24,0.09090909090909091,development
2026-05-04,24,44,4,4,3,44,25,0.09090909090909091,development
2026-05-05,25,44,4,4,3,44,26,0.09090909090909091,development
2026-05-06,26,33,3,3,3,33,27,0.09090909090909091,development
2026-05-07,27,44,4,4,3,44,28,0.09090909090909091,development
2026-05-08,28,44,4,4,3,44,29,0.09090909090909091,development
2026-05-09,29,44,4,4,3,44,30,0.09090909090909091,development
2026-05-10,30,44,4,4,3,44,31,0.09090909090909091,development
2026-05-11,31,44,4,4,3,44,32,0.09090909090909091,development
2026-05-12,32,44,4,4,3,44,33,0.09090909090909091,development
2026-05-13,33,44,4,4,3,44,34,0.09090909090909091,development
2026-05-14,34,44,4,4,3,44,35,0.09090909090909091,development
2026-05-15,35,44,4,4,3,44,36,0.09090909090909091,development
2026-05-16,36,44,4,4,3,44,37,0.09090909090909091,development
2026-05-21,37,33,3,3,3,33,38,0.09090909090909091,development
2026-05-22,38,44,4,4,3,44,39,0.09090909090909091,final_holdout
2026-05-23,39,44,4,4,3,44,40,0.09090909090909091,final_holdout
2026-05-24,40,44,4,4,3,44,41,0.09090909090909091,final_holdout
2026-05-25,41,44,4,4,3,44,42,0.09090909090909091,final_holdout
2026-05-26,42,44,4,4,3,44,43,0.09090909090909091,final_holdout
2026-05-27,43,44,4,4,3,44,44,0.09090909090909091,final_holdout
2026-05-28,44,44,4,4,3,44,45,0.09090909090909091,final_holdout
2026-05-29,45,44,4,4,3,44,46,0.09090909090909091,final_holdout
2026-05-30,46,44,4,4,3,44,47,0.09090909090909091,final_holdout
2026-05-31,47,44,4,4,3,44,48,0.09090909090909091,final_holdout
