feature_set,candidate_id,n_rows,outcome_rate,mean_brier,mean_log_score,n_dates,mean_date_brier,median_date_brier,mean_date_log_score,median_date_log_score,overall_rank,selected
market_only,cb_d3_lr03_l2_8,935,0.09090909090909091,0.07598781286174527,0.2567597526026344,22,0.0758555217989319,0.07965811161304798,0.25998360372531987,0.25275204565265436,1,True
market_only,cb_d3_lr05_l2_12,935,0.09090909090909091,0.07738471108547755,0.2617354974420845,22,0.07728047260486487,0.0827919383373682,0.26465061813616003,0.24656377234014484,2,False
combined,cb_d3_lr05_l2_12,935,0.09090909090909091,0.07732642841588157,0.25619324070247124,22,0.07731844657981292,0.07438792132947802,0.25888787032087673,0.22220952184605708,3,False
combined_no_book,cb_d3_lr05_l2_12,935,0.09090909090909091,0.07765985501503254,0.25162589803112967,22,0.07744300481948538,0.07291354313025838,0.2536856344555974,0.22355740728638118,4,False
combined_no_book,cb_d3_lr03_l2_8,935,0.09090909090909091,0.07827077963718919,0.2535027256894211,22,0.07805449582753445,0.07428281052817111,0.2556357927970484,0.227122564104066,5,False
combined,cb_d4_lr03_l2_12,935,0.09090909090909091,0.07810901378399929,0.25845982358445047,22,0.07807151095016819,0.07518596938413818,0.26117689397020466,0.2248320180304521,6,False
combined,cb_d3_lr03_l2_8,935,0.09090909090909091,0.0782156658711974,0.2574774653923888,22,0.07835607325092149,0.07234357741057995,0.2606792312049634,0.2244176203775193,7,False
combined_no_book,cb_d4_lr03_l2_12,935,0.09090909090909091,0.08027745936270497,0.26441952639449257,22,0.07998981373453454,0.07617860755959961,0.2662605529955483,0.23505516301986104,8,False
market_only,cb_d4_lr03_l2_12,935,0.09090909090909091,0.08105198656525853,0.2747406674256947,22,0.08074704666276084,0.09195854547386959,0.2767906024288769,0.28458497271238226,9,False
weather_only,cb_d4_lr03_l2_12,935,0.09090909090909091,0.08409111341400906,0.2812070422706004,22,0.08465460328966341,0.08159883457151304,0.28434975888960506,0.23508306023284659,10,False
weather_only,cb_d3_lr03_l2_8,935,0.09090909090909091,0.08718163205412091,0.2943394622563421,22,0.0877042062541901,0.08742878610322764,0.29804470321876314,0.25931603146828164,11,False
weather_only,cb_d3_lr05_l2_12,935,0.09090909090909091,0.08715115214936524,0.2952150040469502,22,0.0877896651145346,0.08734529245430656,0.2992029545450674,0.2588904467699127,12,False
