feature_set,candidate_id,n_rows,n_dates,outcome_rate,mean_brier,mean_log_score
combined,cb_d3_lr03_l2_8,935,22,0.09090909090909091,0.0782156658711974,0.2574774653923888
combined,cb_d3_lr05_l2_12,935,22,0.09090909090909091,0.07732642841588157,0.25619324070247124
combined,cb_d4_lr03_l2_12,935,22,0.09090909090909091,0.07810901378399929,0.25845982358445047
combined_no_book,cb_d3_lr03_l2_8,935,22,0.09090909090909091,0.07827077963718919,0.2535027256894211
combined_no_book,cb_d3_lr05_l2_12,935,22,0.09090909090909091,0.07765985501503254,0.25162589803112967
combined_no_book,cb_d4_lr03_l2_12,935,22,0.09090909090909091,0.08027745936270497,0.26441952639449257
market_only,cb_d3_lr03_l2_8,935,22,0.09090909090909091,0.07598781286174527,0.2567597526026344
market_only,cb_d3_lr05_l2_12,935,22,0.09090909090909091,0.07738471108547755,0.2617354974420845
market_only,cb_d4_lr03_l2_12,935,22,0.09090909090909091,0.08105198656525853,0.2747406674256947
weather_only,cb_d3_lr03_l2_8,935,22,0.09090909090909091,0.08718163205412091,0.2943394622563421
weather_only,cb_d3_lr05_l2_12,935,22,0.09090909090909091,0.08715115214936524,0.2952150040469502
weather_only,cb_d4_lr03_l2_12,935,22,0.09090909090909091,0.08409111341400906,0.2812070422706004
