bin,n,mean_probability,empirical_frequency
"(-0.001, 0.1]",701,0.014356838711462202,0.029957203994293864
"(0.1, 0.2]",89,0.1435127008486931,0.3146067415730337
"(0.2, 0.3]",61,0.24410974499441573,0.16393442622950818
"(0.3, 0.4]",29,0.3460543209950631,0.27586206896551724
"(0.4, 0.5]",24,0.45481257357993576,0.25
"(0.5, 0.6]",13,0.5532800346322333,0.07692307692307693
"(0.6, 0.7]",2,0.6246619993630484,1.0
"(0.7, 0.8]",5,0.7509824960382868,0.4
"(0.8, 0.9]",8,0.8457488452003777,0.625
"(0.9, 1.0]",3,0.9137916052116511,0.6666666666666666
