model,decision_rule,threshold,n_opportunities,n_dates,n_trades,n_yes_trades,n_no_trades,trade_rate,mean_absolute_edge_all,mean_absolute_edge_trades,total_net_pnl,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,median_net_pnl_per_trade,hit_rate_trades,strategy_scope
ecmwf_bias_fixed_sigma,24h_prior,0.05,110,10,25,10,15,0.22727272727272727,0.02911002420859046,0.09742141824494731,2.4515,0.022286363636363635,0.09806,0.215,0.6,standalone_decision_rule
catboost_platt,6h_prior,0.05,110,10,51,47,4,0.4636363636363636,0.10484068691183288,0.19081117989344396,2.186,0.01987272727272727,0.042862745098039216,-0.025,0.17647058823529413,standalone_decision_rule
ecmwf_bias_adaptive_sigma,24h_prior,0.05,110,10,22,9,13,0.2,0.02468715793342933,0.0918568720171239,2.0500000000000003,0.01863636363636364,0.0931818181818182,0.2125,0.6363636363636364,standalone_decision_rule
ecmwf_bias_adaptive_sigma,event_day_open,0.05,110,10,30,16,14,0.2727272727272727,0.04523172964683071,0.15162200854041907,1.6164999999999998,0.014695454545454545,0.05388333333333331,-0.0645,0.36666666666666664,standalone_decision_rule
ecmwf_bias_adaptive_sigma,6h_prior,0.05,110,10,34,18,16,0.3090909090909091,0.053152259363037795,0.15916172325763,1.101,0.010009090909090908,0.03238235294117647,-0.028999999999999998,0.38235294117647056,standalone_decision_rule
catboost_raw,event_day_open,0.05,110,10,43,38,5,0.39090909090909093,0.11840282601701918,0.28223864751382577,1.0845000000000002,0.009859090909090911,0.025220930232558135,-0.06,0.2558139534883721,standalone_decision_rule
ecmwf_bias_fixed_sigma,12h_prior,0.05,110,10,30,15,15,0.2727272727272727,0.04109460544887155,0.1276951695196718,1.0645000000000002,0.009677272727272729,0.03548333333333333,-0.01375,0.43333333333333335,standalone_decision_rule
ecmwf_bias_fixed_sigma,6h_prior,0.05,110,10,41,25,16,0.37272727272727274,0.05609117034511253,0.1394268448125959,1.0114999999999998,0.009195454545454545,0.024670731707317074,-0.03,0.2926829268292683,standalone_decision_rule
ecmwf_bias_adaptive_sigma,12h_prior,0.05,110,10,32,16,16,0.2909090909090909,0.04009107071601864,0.12355978017608676,0.9710000000000001,0.008827272727272729,0.03034374999999999,-0.03,0.46875,standalone_decision_rule
ecmwf_bias_fixed_sigma,event_day_open,0.05,110,10,41,25,16,0.37272727272727274,0.05228603686674103,0.13029831750345933,0.6054999999999998,0.005504545454545453,0.014768292682926835,-0.02,0.2682926829268293,standalone_decision_rule
catboost_platt,event_day_open,0.05,110,10,50,44,6,0.45454545454545453,0.10236385234747875,0.18635680914662114,0.3639999999999999,0.003309090909090908,0.007279999999999997,-0.0175,0.14,standalone_decision_rule
catboost_raw,6h_prior,0.05,110,10,43,40,3,0.39090909090909093,0.12751909749524146,0.3088377484326477,0.16849999999999987,0.0015318181818181806,0.003918604651162796,-0.065,0.20930232558139536,standalone_decision_rule
ecmwf_raw,6h_prior,0.05,110,10,60,38,22,0.5454545454545454,0.11267171461595309,0.19985208234317117,0.14199999999999985,0.0012909090909090895,0.002366666666666668,-0.00375,0.25,standalone_decision_rule
ecmwf_raw,event_day_open,0.05,110,10,56,36,20,0.509090909090909,0.11335760064129106,0.21433346902952946,-0.7265000000000001,-0.006604545454545456,-0.012973214285714286,-0.00275,0.21428571428571427,standalone_decision_rule
ecmwf_raw,24h_prior,0.05,110,10,53,29,24,0.4818181818181818,0.0876971809962108,0.17053036735711447,-1.3129999999999997,-0.011936363636363634,-0.024773584905660367,-0.0075,0.3018867924528302,standalone_decision_rule
catboost_raw,24h_prior,0.05,110,10,46,41,5,0.41818181818181815,0.12031529533626704,0.2713110485269785,-1.493,-0.013572727272727275,-0.03245652173913043,-0.08499999999999999,0.2391304347826087,standalone_decision_rule
catboost_raw,12h_prior,0.05,110,10,44,42,2,0.4,0.12441002221595684,0.29381480110147107,-1.962,-0.017836363636363636,-0.0445909090909091,-0.07250000000000001,0.18181818181818182,standalone_decision_rule
ecmwf_raw,12h_prior,0.05,110,10,59,34,25,0.5363636363636364,0.0998983388371767,0.17927697184745395,-2.0805,-0.01891363636363636,-0.03526271186440678,-0.0075,0.2711864406779661,standalone_decision_rule
catboost_platt,24h_prior,0.05,110,10,49,45,4,0.44545454545454544,0.09239602773253527,0.1696591315702759,-2.0885,-0.018986363636363635,-0.04262244897959183,-0.039,0.12244897959183673,standalone_decision_rule
catboost_platt,12h_prior,0.05,110,10,51,46,5,0.4636363636363636,0.09992951856949774,0.17810764178592303,-3.2535,-0.029577272727272726,-0.0637941176470588,-0.055,0.09803921568627451,standalone_decision_rule
