model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate,strategy_scope
ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.05,10,8,10,8.0,0.9072385919683053,0.09072385919683053,0.11340482399603816,0.375,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.05,10,8,10,8.0,0.8854598987062907,0.08854598987062907,0.11068248733828634,0.5,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.05,10,9,16,9.0,0.6189144590387994,0.06189144590387994,0.06876827322653327,0.3333333333333333,standalone_decision_rule_book_strategy
catboost_platt,24h_prior,proportional_positive_edge,0.05,10,7,13,7.0,0.5692341709311725,0.05692341709311725,0.0813191672758818,0.2857142857142857,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.05,10,10,16,10.0,0.37921113662081574,0.037921113662081576,0.037921113662081576,0.4,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,10,9,16,9.0,0.31694993762171414,0.031694993762171414,0.035216659735746024,0.3333333333333333,standalone_decision_rule_book_strategy
catboost_raw,24h_prior,proportional_positive_edge,0.05,10,10,15,10.0,0.24451767566054206,0.024451767566054206,0.024451767566054206,0.3,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,10,10,18,10.0,0.14355598837589909,0.014355598837589908,0.014355598837589908,0.3,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.05,10,9,25,9.0,-0.0352041851714015,-0.00352041851714015,-0.003911576130155723,0.2222222222222222,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.05,10,10,25,10.0,-0.10172082594756138,-0.010172082594756137,-0.010172082594756137,0.2,standalone_decision_rule_book_strategy
ecmwf_raw,6h_prior,proportional_positive_edge,0.05,10,10,38,10.0,-0.1665790719961913,-0.01665790719961913,-0.01665790719961913,0.1,standalone_decision_rule_book_strategy
catboost_platt,6h_prior,proportional_positive_edge,0.05,10,10,18,10.0,-0.22964094402274426,-0.022964094402274426,-0.022964094402274426,0.2,standalone_decision_rule_book_strategy
ecmwf_raw,event_day_open,proportional_positive_edge,0.05,10,10,36,10.0,-0.2435066658815363,-0.02435066658815363,-0.02435066658815363,0.0,standalone_decision_rule_book_strategy
ecmwf_raw,12h_prior,proportional_positive_edge,0.05,10,9,35,9.0,-0.28929233232715124,-0.028929233232715124,-0.03214359248079458,0.1111111111111111,standalone_decision_rule_book_strategy
ecmwf_raw,24h_prior,proportional_positive_edge,0.05,10,10,32,10.0,-0.3538702920789991,-0.03538702920789991,-0.03538702920789991,0.1,standalone_decision_rule_book_strategy
catboost_raw,event_day_open,proportional_positive_edge,0.05,10,8,14,8.0,-0.42044727387141034,-0.04204472738714103,-0.05255590923392628,0.125,standalone_decision_rule_book_strategy
catboost_raw,6h_prior,proportional_positive_edge,0.05,10,10,16,10.0,-0.4633537856717607,-0.04633537856717607,-0.04633537856717607,0.2,standalone_decision_rule_book_strategy
catboost_platt,event_day_open,proportional_positive_edge,0.05,10,9,15,9.0,-0.5277977705378857,-0.05277977705378857,-0.05864419672643176,0.1111111111111111,standalone_decision_rule_book_strategy
catboost_platt,12h_prior,proportional_positive_edge,0.05,10,10,16,10.0,-0.5838566416183386,-0.05838566416183386,-0.05838566416183386,0.1,standalone_decision_rule_book_strategy
catboost_raw,12h_prior,proportional_positive_edge,0.05,10,10,15,10.0,-0.6926906885035438,-0.06926906885035437,-0.06926906885035437,0.1,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.05,10,9,9,9.0,1.1310000000000002,0.11310000000000002,0.12566666666666668,0.3333333333333333,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.05,10,8,8,8.0,0.907,0.0907,0.113375,0.375,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,10,9,9,9.0,0.6934999999999999,0.06935,0.07705555555555556,0.2222222222222222,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.05,10,10,10,10.0,0.651,0.0651,0.0651,0.3,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.05,10,8,8,8.0,0.4400000000000001,0.04400000000000001,0.055,0.375,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.05,10,9,9,9.0,0.266,0.026600000000000002,0.029555555555555557,0.1111111111111111,standalone_decision_rule_book_strategy
catboost_platt,24h_prior,single_best_edge,0.05,10,7,7,7.0,0.18700000000000006,0.018700000000000005,0.026714285714285715,0.14285714285714285,standalone_decision_rule_book_strategy
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,10,10,10,10.0,0.12999999999999998,0.012999999999999998,0.012999999999999998,0.2,standalone_decision_rule_book_strategy
catboost_raw,24h_prior,single_best_edge,0.05,10,10,10,10.0,0.08699999999999992,0.008699999999999992,0.008699999999999992,0.2,standalone_decision_rule_book_strategy
ecmwf_raw,event_day_open,single_best_edge,0.05,10,10,10,10.0,-0.15500000000000003,-0.015500000000000003,-0.015500000000000003,0.0,standalone_decision_rule_book_strategy
catboost_raw,event_day_open,single_best_edge,0.05,10,8,8,8.0,-0.1885,-0.01885,-0.0235625,0.125,standalone_decision_rule_book_strategy
ecmwf_raw,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.24350000000000002,-0.024350000000000004,-0.024350000000000004,0.0,standalone_decision_rule_book_strategy
catboost_platt,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.3055,-0.03055,-0.03055,0.1,standalone_decision_rule_book_strategy
ecmwf_raw,12h_prior,single_best_edge,0.05,10,9,9,9.0,-0.31950000000000006,-0.031950000000000006,-0.035500000000000004,0.0,standalone_decision_rule_book_strategy
ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.05,10,10,10,10.0,-0.56,-0.05600000000000001,-0.05600000000000001,0.0,standalone_decision_rule_book_strategy
ecmwf_raw,24h_prior,single_best_edge,0.05,10,10,10,10.0,-0.5625000000000001,-0.05625000000000001,-0.05625000000000001,0.0,standalone_decision_rule_book_strategy
catboost_raw,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.5755,-0.057550000000000004,-0.057550000000000004,0.1,standalone_decision_rule_book_strategy
catboost_platt,event_day_open,single_best_edge,0.05,10,9,9,9.0,-0.993,-0.0993,-0.11033333333333334,0.0,standalone_decision_rule_book_strategy
catboost_platt,12h_prior,single_best_edge,0.05,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0,standalone_decision_rule_book_strategy
catboost_raw,12h_prior,single_best_edge,0.05,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0,standalone_decision_rule_book_strategy
