model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.0,10,10,39,10.0,0.9388720932518542,0.09388720932518542,0.09388720932518542,0.4
ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.0,10,10,25,10.0,0.7067605791401039,0.0706760579140104,0.0706760579140104,0.5
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,10,10,50,10.0,0.4726074104057477,0.047260741040574775,0.047260741040574775,0.4
ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.0,10,10,30,10.0,0.4471673533904782,0.04471673533904782,0.04471673533904782,0.4
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,10,10,36,10.0,0.37147732037839054,0.037147732037839054,0.037147732037839054,0.3
catboost_raw,24h_prior,proportional_positive_edge,0.0,10,10,84,10.0,0.2954295929733062,0.02954295929733062,0.02954295929733062,0.4
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,10,10,33,10.0,0.12094658946227504,0.012094658946227504,0.012094658946227504,0.3
ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.0,10,10,54,10.0,0.09411121117518204,0.009411121117518203,0.009411121117518203,0.3
catboost_platt,6h_prior,proportional_positive_edge,0.0,10,10,92,10.0,-0.0028021263731835555,-0.00028021263731835554,-0.00028021263731835554,0.3
catboost_platt,24h_prior,proportional_positive_edge,0.0,10,10,86,10.0,-0.008350096001162703,-0.0008350096001162703,-0.0008350096001162703,0.2
catboost_raw,6h_prior,proportional_positive_edge,0.0,10,10,94,10.0,-0.0344485773209281,-0.00344485773209281,-0.00344485773209281,0.3
ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.0,10,10,56,10.0,-0.12534036973953055,-0.012534036973953055,-0.012534036973953055,0.2
ecmwf_raw,6h_prior,proportional_positive_edge,0.0,10,10,64,10.0,-0.1592242089886698,-0.01592242089886698,-0.01592242089886698,0.1
ecmwf_raw,event_day_open,proportional_positive_edge,0.0,10,10,67,10.0,-0.2290725505791267,-0.02290725505791267,-0.02290725505791267,0.1
catboost_platt,event_day_open,proportional_positive_edge,0.0,10,10,91,10.0,-0.26461344227336026,-0.026461344227336026,-0.026461344227336026,0.1
