pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_opportunities,n_trades,n_dates,total_net_pnl,mean_net_pnl_per_trade,positive_trade_rate
21a,catboost_platt,12h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,27,7,-1.8559999999999999,-0.06874074074074074,0.07407407407407407
21a,catboost_platt,12h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,13,5,-1.9945,-0.1534230769230769,0.07692307692307693
21a,catboost_platt,12h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,8,5,-0.9950000000000001,-0.12437500000000001,0.125
21a,catboost_platt,24h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,18,6,-1.529,-0.08494444444444445,0.0
21a,catboost_platt,24h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,12,6,-1.522,-0.12683333333333333,0.0
21a,catboost_platt,24h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,5,4,-0.925,-0.185,0.0
21a,catboost_platt,6h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,31,4,-0.6524999999999999,-0.021048387096774188,0.06451612903225806
21a,catboost_platt,6h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,14,4,-0.5014999999999998,-0.03582142857142856,0.07142857142857142
21a,catboost_platt,6h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,10,4,-0.45499999999999985,-0.04549999999999999,0.1
21a,catboost_platt,event_day_open,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,23,6,-1.3445,-0.05845652173913043,0.0
21a,catboost_platt,event_day_open,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,13,5,-1.338,-0.10292307692307691,0.0
21a,catboost_platt,event_day_open,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,8,5,-1.2965,-0.1620625,0.0
21a,catboost_raw,12h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,15,6,-1.3795,-0.09196666666666668,0.13333333333333333
21a,catboost_raw,12h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,12,6,-1.1500000000000001,-0.09583333333333334,0.16666666666666666
21a,catboost_raw,12h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,8,6,-1.355,-0.169375,0.125
21a,catboost_raw,24h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,14,6,-0.7005,-0.0500357142857143,0.14285714285714285
21a,catboost_raw,24h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,11,6,-0.6300000000000001,-0.057272727272727274,0.18181818181818182
21a,catboost_raw,24h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,8,6,-0.43000000000000005,-0.05375000000000001,0.25
21a,catboost_raw,6h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,14,4,-0.4804999999999997,-0.034321428571428565,0.14285714285714285
21a,catboost_raw,6h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,12,4,-0.47499999999999976,-0.039583333333333325,0.16666666666666666
21a,catboost_raw,6h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,10,4,-0.09499999999999986,-0.009500000000000003,0.2
21a,catboost_raw,event_day_open,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,11,5,-0.8065000000000001,-0.07331818181818181,0.09090909090909091
21a,catboost_raw,event_day_open,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,10,5,-0.806,-0.08059999999999999,0.1
21a,catboost_raw,event_day_open,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,7,4,-1.0415,-0.1487857142857143,0.0
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,14,6,0.8865000000000001,0.06332142857142857,0.5
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,11,5,0.5350000000000001,0.04863636363636365,0.45454545454545453
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,7,3,1.59,0.22714285714285715,0.7142857142857143
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,10,5,2.362,0.23620000000000002,0.9
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,7,5,2.215,0.31642857142857145,0.8571428571428571
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,3,2,1.135,0.37833333333333335,1.0
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,15,4,0.98,0.06533333333333333,0.4
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,13,4,0.99,0.07615384615384616,0.46153846153846156
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,9,3,0.765,0.08499999999999999,0.3333333333333333
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,10,5,-0.48050000000000004,-0.048049999999999995,0.2
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,9,5,-0.4615,-0.05127777777777778,0.2222222222222222
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,6,4,-0.18650000000000005,-0.031083333333333334,0.3333333333333333
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,12,5,0.7270000000000001,0.06058333333333336,0.4166666666666667
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,8,4,1.6600000000000001,0.2075,0.625
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,6,2,1.8900000000000001,0.315,0.8333333333333334
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,8,4,1.8900000000000001,0.23625000000000002,0.625
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,5,4,1.835,0.36700000000000005,0.8
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,3,2,1.355,0.45166666666666666,1.0
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,15,4,1.002,0.0668,0.3333333333333333
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,13,3,0.8345,0.06419230769230769,0.3076923076923077
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,9,3,0.765,0.08499999999999999,0.3333333333333333
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,12,5,-0.49850000000000005,-0.041541666666666664,0.16666666666666666
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,11,5,-0.497,-0.045181818181818184,0.18181818181818182
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,5,3,-0.14650000000000002,-0.029300000000000003,0.2
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,18,5,0.9275000000000002,0.05152777777777779,0.3333333333333333
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,17,5,0.05250000000000021,0.0030882352941176464,0.29411764705882354
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,12,4,0.6655000000000001,0.05545833333333334,0.4166666666666667
