model,event_date,decision_rule,strategy,threshold,n_contracts,n_positions,stake_sum,selected_market_slug,selected_contract_event_type,selected_q_market,selected_q_model,selected_normalised_edge,selected_market_price_raw,selected_target,gross_pnl,net_pnl,winning_contract_selected,winning_contract_weight,mean_selected_normalised_edge,market_price_staleness_hours,gross_pnl_original,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,active_book,passes_staleness_filter,robust_active_book,robust_net_pnl
catboost_platt,2026-05-22,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0.0663507109004739,0.1375400912521964,0.0711893803517225,0.07,0.0,-0.07,-0.07,0.0,,,0.9966666666666668,-0.07,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.07
catboost_platt,2026-05-22,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0.0758653390232337,0.1494698599957292,0.0736045209724955,0.08,0.0,-0.08,-0.08,0.0,,,0.9975,-0.08,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.08
catboost_platt,2026-05-22,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.0845350571854798,0.1516665187111883,0.0671314615257084,0.085,0.0,-0.085,-0.085,0.0,,,0.995,-0.085,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.085
catboost_platt,2026-05-22,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.0907787864309603,0.1656325736441996,0.0748537872132392,0.095,0.0,-0.095,-0.095,0.0,,,0.9977777777777778,-0.095,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-23,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0.1765799256505576,0.2878796612594403,0.1112997356088826,0.19,0.0,-0.19,-0.19,0.0,,,0.9972222222222222,-0.19,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.19
catboost_platt,2026-05-23,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-28c,interior_bin,0.0336933045356371,0.0618137808539788,0.0281204763183416,0.039,0.0,-0.039,-0.039,0.0,,,0.9972222222222222,-0.039,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.039
catboost_platt,2026-05-23,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,upper_tail,0.1095238095238095,0.1739858452211848,0.0644620356973753,0.115,0.0,-0.115,-0.115,0.0,,,0.9969444444444444,-0.115,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.115
catboost_platt,2026-05-23,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-29c,interior_bin,0.064625850340136,0.1140203681446653,0.0493945178045293,0.0665,0.0,-0.0665,-0.0665,0.0,,,0.9966666666666668,-0.0665,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.0665
catboost_platt,2026-05-24,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0636319138521781,0.1348899748577702,0.0712580610055921,0.065,0.0,-0.065,-0.065,0.0,,,0.9983333333333332,-0.065,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-24,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0677637947725072,0.1506837575610019,0.0829199627884947,0.07,0.0,-0.07,-0.07,0.0,,,0.9983333333333332,-0.07,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-24,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0340466926070038,0.1077907495025797,0.0737440568955758,0.035,0.0,-0.035,-0.035,0.0,,,0.9991666666666666,-0.035,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-24,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.019782393669634,0.0939648630180988,0.0741824693484648,0.02,0.0,-0.02,-0.02,0.0,,,0.9988888888888888,-0.02,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-25,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.0912584053794428,0.1513785112482945,0.0601201058688516,0.095,0.0,-0.095,-0.095,0.0,,,0.9980555555555556,-0.095,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-25,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-32c,interior_bin,0.2422802850356294,0.3062214344326582,0.0639411493970287,0.255,1.0,0.745,0.745,1.0,,,0.9988888888888888,0.745,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-25,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.1103646833013436,0.1799598192654631,0.0695951359641195,0.115,0.0,-0.115,-0.115,0.0,,,0.9983333333333332,-0.115,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-25,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.1089015151515151,0.1852245881636189,0.0763230730121038,0.115,0.0,-0.115,-0.115,0.0,,,0.9983333333333332,-0.115,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-26,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-31c,interior_bin,0.177970177970178,0.2968174414119209,0.1188472634417429,0.185,0.0,-0.185,-0.185,0.0,,,0.9975,-0.185,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.185
catboost_platt,2026-05-26,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-29c,interior_bin,0.0052480916030534,0.0402642686233243,0.0350161770202708,0.0055,0.0,-0.0055,-0.0055,0.0,,,0.9977777777777778,-0.0055,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-26,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-31c,interior_bin,0.1454898157129001,0.3484196941980427,0.2029298784851426,0.15,0.0,-0.15,-0.15,0.0,,,0.9977777777777778,-0.15,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-26,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-31c,interior_bin,0.1574803149606299,0.3333403142719105,0.1758599993112806,0.16,0.0,-0.16,-0.16,0.0,,,0.9975,-0.16,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.16
catboost_platt,2026-05-27,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1447178002894356,0.2765220892523965,0.1318042889629609,0.15,0.0,-0.15,-0.15,0.0,,,0.9980555555555556,-0.15,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-27,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1976470588235294,0.238738427826423,0.0410913690028936,0.21,0.0,-0.21,-0.21,0.0,,,0.9977777777777778,-0.21,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-27,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1348651348651348,0.2884192733747701,0.1535541385096352,0.135,0.0,-0.135,-0.135,0.0,,,0.9980555555555556,-0.135,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-27,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1423825344091125,0.3153095539854612,0.1729270195763486,0.15,0.0,-0.15,-0.15,0.0,,,0.9975,-0.15,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.15
catboost_platt,2026-05-28,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-31c,interior_bin,0.1152184349495919,0.3739723443274881,0.2587539093778962,0.12,0.0,-0.12,-0.12,0.0,,,0.9991666666666666,-0.12,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-28,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-31c,interior_bin,0.2083333333333333,0.3362297962687611,0.1278964629354277,0.215,0.0,-0.215,-0.215,0.0,,,0.9986111111111112,-0.215,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-28,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-32c,interior_bin,0.1437778879524045,0.3471634659721043,0.2033855780196997,0.145,0.0,-0.145,-0.145,0.0,,,0.9944444444444444,-0.145,0.0,empirical_q25,0.25,0.9975,False,True,True,True,-0.145
catboost_platt,2026-05-28,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-32c,interior_bin,0.1480019733596447,0.3523825183151118,0.2043805449554671,0.15,0.0,-0.15,-0.15,0.0,,,0.9983333333333332,-0.15,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-29,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.0585365853658536,0.2557418314625058,0.1972052460966521,0.06,0.0,-0.06,-0.06,0.0,,,0.9988888888888888,-0.06,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-29,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.1056168987037926,0.273917616288594,0.1683007175848014,0.11,0.0,-0.11,-0.11,0.0,,,0.9991666666666666,-0.11,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-29,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.0393394851869839,0.2335432601373114,0.1942037749503275,0.0405,0.0,-0.0405,-0.0405,0.0,,,0.9988888888888888,-0.0405,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-29,event_day_open,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.0181017612524461,0.2012669530399987,0.1831651917875525,0.0185,0.0,-0.0185,-0.0185,0.0,,,0.9991666666666666,-0.0185,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-30,12h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0.0653718616769303,0.1602085524796082,0.0948366908026779,0.069,0.0,-0.069,-0.069,0.0,,,0.9991666666666666,-0.069,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-30,24h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0.0361388492629576,0.1244516583678275,0.0883128091048698,0.038,0.0,-0.038,-0.038,0.0,,,0.9991666666666666,-0.038,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
catboost_platt,2026-05-30,6h_prior,single_best_edge,0.02,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-32c,interior_bin,0.2157238734419942,0.3270010522065513,0.111277178764557,0.225,1.0,0.775,0.775,1.0,,,0.9988888888888888,0.775,0.0,empirical_q25,0.25,0.9975,False,True,False,False,0.0
