pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_books,n_active_books,n_positions,n_dates,total_net_pnl,mean_net_pnl_per_active_book,positive_book_rate
21b,catboost_platt,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.1606478855725827,-0.1606478855725827,0.0
21b,catboost_platt,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,4,3,-0.42873228709868383,-0.14291076236622793,0.0
21b,catboost_platt,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.375,-0.1875,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.445,-0.14833333333333334,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.445,-0.14833333333333334,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.375,-0.1875,0.0
21b,catboost_platt,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,catboost_platt,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.0565814490557516,-0.0565814490557516,0.0
21b,catboost_platt,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,catboost_platt,24h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.119,-0.0595,0.0
21b,catboost_platt,24h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.08,-0.08,0.0
21b,catboost_platt,24h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,catboost_platt,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,18,3,-0.038108793030123406,-0.012702931010041135,0.3333333333333333
21b,catboost_platt,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,4,3,-0.2952410344923124,-0.09841367816410414,0.0
21b,catboost_platt,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.0952410344923124,-0.0952410344923124,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.345,-0.11499999999999999,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.345,-0.11499999999999999,0.0
21b,catboost_platt,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.145,-0.145,0.0
21b,catboost_platt,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,catboost_platt,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_platt,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.3765,-0.1255,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_platt,event_day_open,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,5,3,-0.4850931287999838,-0.1616977095999946,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.445,-0.14833333333333334,0.0
21b,catboost_raw,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.375,-0.1875,0.0
21b,catboost_raw,12h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.445,-0.14833333333333334,0.0
21b,catboost_raw,12h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.445,-0.14833333333333334,0.0
21b,catboost_raw,12h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.375,-0.1875,0.0
21b,catboost_raw,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,4,2,0.030180813679777985,0.015090406839888992,0.5
21b,catboost_raw,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,3,2,0.07943753637803908,0.03971876818901954,0.5
21b,catboost_raw,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.595,0.595,1.0
21b,catboost_raw,24h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,0.32999999999999996,0.16499999999999998,0.5
21b,catboost_raw,24h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,0.32999999999999996,0.16499999999999998,0.5
21b,catboost_raw,24h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.595,0.595,1.0
21b,catboost_raw,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,4,3,-0.2936516076754657,-0.09788386922515524,0.0
21b,catboost_raw,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,4,3,-0.2936516076754657,-0.09788386922515524,0.0
21b,catboost_raw,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.0936516076754657,-0.0936516076754657,0.0
21b,catboost_raw,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.345,-0.11499999999999999,0.0
21b,catboost_raw,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.345,-0.11499999999999999,0.0
21b,catboost_raw,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.145,-0.145,0.0
21b,catboost_raw,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,4,2,-0.3306633712163102,-0.1653316856081551,0.0
21b,catboost_raw,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.16,-0.16,0.0
21b,catboost_raw,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_raw,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.615,-0.205,0.0
21b,catboost_raw,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,catboost_raw,event_day_open,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.31,-0.155,0.0
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,7,4,0.2119401608617898,0.05298504021544745,0.5
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,6,4,0.17846344821416918,0.044615862053542295,0.5
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,5,3,0.4284634482141692,0.14282114940472307,0.6666666666666666
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,5,5,5,0.5049999999999999,0.10099999999999998,0.4
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,5,5,5,0.5049999999999999,0.10099999999999998,0.4
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.94,0.3133333333333333,0.6666666666666666
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.62,0.62,1.0
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.62,0.62,1.0
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.62,0.62,1.0
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,9,4,0.44245470585919605,0.11061367646479901,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,7,4,0.49681821388365505,0.12420455347091376,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,5,3,0.37625574821470603,0.12541858273823533,0.3333333333333333
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,0.87,0.21749999999999997,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,0.87,0.21749999999999997,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.675,0.225,0.3333333333333333
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.1107868296781365,-0.1107868296781365,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.27,-0.135,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.15,-0.15,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,-0.4965,-0.124125,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,-0.4965,-0.124125,0.0
