decision_rule,max_staleness_hours,mean_net_pnl_per_active_book,mean_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_opportunities,n_positions,n_trades,pipeline,positive_book_rate,positive_trade_rate,robustness_cost,robustness_scope,staleness_quantile,staleness_rule,strategy,threshold,total_net_pnl,unrestricted_staleness
12h_prior,0.9980555555555556,,0.1222777777777777,ecmwf_bias_fixed_sigma,,,7,110.0,,18.0,21a,,0.5,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,2.201,False
12h_prior,0.9980555555555556,,0.0965,ecmwf_bias_adaptive_sigma,,,8,110.0,,20.0,21a,,0.5,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,1.93,False
24h_prior,0.9980555555555556,,0.1,ecmwf_bias_adaptive_sigma,,,7,110.0,,17.0,21a,,0.5882352941176471,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,1.7,False
event_day_open,0.9980555555555556,,0.0493035714285714,ecmwf_bias_fixed_sigma,,,9,110.0,,28.0,21a,,0.2857142857142857,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,1.3804999999999998,False
24h_prior,0.9980555555555556,,0.0953214285714285,ecmwf_bias_fixed_sigma,,,8,110.0,,14.0,21a,,0.5714285714285714,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,1.3345,False
12h_prior,0.9980555555555556,0.1735714285714285,,ecmwf_bias_fixed_sigma,7.0,10.0,7,,7.0,,21b,0.4285714285714285,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,1.215,False
event_day_open,0.9980555555555556,,0.0365869565217391,ecmwf_bias_adaptive_sigma,,,9,110.0,,23.0,21a,,0.3043478260869565,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.8414999999999999,False
6h_prior,0.9980555555555556,,0.0423947368421052,ecmwf_bias_adaptive_sigma,,,7,110.0,,19.0,21a,,0.3684210526315789,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.8054999999999998,False
24h_prior,0.9980555555555556,0.1995376994688169,,ecmwf_bias_fixed_sigma,4.0,10.0,4,,5.0,,21b,0.5,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.7981507978752678,False
24h_prior,0.9980555555555556,0.1925,,ecmwf_bias_fixed_sigma,4.0,10.0,4,,4.0,,21b,0.5,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.77,False
12h_prior,0.9980555555555556,0.0906249999999999,,ecmwf_bias_adaptive_sigma,8.0,10.0,8,,8.0,,21b,0.375,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.7249999999999999,False
12h_prior,0.9980555555555556,0.1143897946359114,,ecmwf_bias_fixed_sigma,6.0,10.0,6,,11.0,,21b,0.5,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.686338767815469,False
event_day_open,0.9980555555555556,,0.0226999999999999,ecmwf_raw,,,9,110.0,,30.0,21a,,0.2666666666666666,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.6809999999999998,False
6h_prior,0.9980555555555556,,0.0309499999999999,ecmwf_bias_fixed_sigma,,,6,110.0,,20.0,21a,,0.25,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.619,False
6h_prior,0.9980555555555556,0.1207999999999999,,ecmwf_bias_fixed_sigma,5.0,10.0,5,,5.0,,21b,0.2,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.6040000000000001,False
6h_prior,0.9980555555555556,,0.018,ecmwf_raw,,,7,110.0,,30.0,21a,,0.2,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.5399999999999999,False
24h_prior,0.9980555555555556,0.0700656998151843,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,9.0,,21b,0.4285714285714285,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.4904598987062906,False
6h_prior,0.9980555555555556,0.0599999999999999,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,7.0,,21b,0.2857142857142857,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.4199999999999999,False
12h_prior,0.9980555555555556,0.0453008671031798,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,10.0,,21b,0.4285714285714285,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.3171060697222589,False
6h_prior,0.9980555555555556,0.0332496822906179,,ecmwf_bias_adaptive_sigma,6.0,10.0,6,,10.0,,21b,0.3333333333333333,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.1994980937437076,False
24h_prior,0.9980555555555556,,0.0055151515151515,ecmwf_raw,,,9,110.0,,33.0,21a,,0.3636363636363636,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,0.182,False
6h_prior,0.9980555555555556,0.0531995222663206,,ecmwf_bias_fixed_sigma,3.0,10.0,3,,8.0,,21b,0.3333333333333333,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.1595985667989619,False
24h_prior,0.9980555555555556,0.0092857142857142,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,7.0,,21b,0.2857142857142857,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.0649999999999999,False
event_day_open,0.9980555555555556,0.0047857142857142,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,7.0,,21b,0.1428571428571428,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.0334999999999998,False
