weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.0000000000,1.0000000000,100,385,1.4222742917
0.0010000000,0.9990000000,100,385,1.4221027509
0.0020000000,0.9980000000,100,385,1.4219333894
0.0030000000,0.9970000000,100,385,1.4217661673
0.0040000000,0.9960000000,100,385,1.4216010457
0.0050000000,0.9950000000,100,385,1.4214379875
0.0060000000,0.9940000000,100,385,1.4212769566
0.0070000000,0.9930000000,100,385,1.4211179183
0.0080000000,0.9920000000,100,385,1.4209608390
0.0090000000,0.9910000000,100,385,1.4208056863
0.0100000000,0.9900000000,100,385,1.4206524287
0.0110000000,0.9890000000,100,385,1.4205010359
0.0120000000,0.9880000000,100,385,1.4203514784
0.0130000000,0.9870000000,100,385,1.4202037279
0.0140000000,0.9860000000,100,385,1.4200577566
0.0150000000,0.9850000000,100,385,1.4199135379
0.0160000000,0.9840000000,100,385,1.4197710458
0.0170000000,0.9830000000,100,385,1.4196302552
0.0180000000,0.9820000000,100,385,1.4194911415
0.0190000000,0.9810000000,100,385,1.4193536811
0.0200000000,0.9800000000,100,385,1.4192178509
0.0210000000,0.9790000000,100,385,1.4190836286
0.0220000000,0.9780000000,100,385,1.4189509923
0.0230000000,0.9770000000,100,385,1.4188199209
0.0240000000,0.9760000000,100,385,1.4186903937
0.0250000000,0.9750000000,100,385,1.4185623908
0.0260000000,0.9740000000,100,385,1.4184358926
0.0270000000,0.9730000000,100,385,1.4183108802
0.0280000000,0.9720000000,100,385,1.4181873349
0.0290000000,0.9710000000,100,385,1.4180652388
0.0300000000,0.9700000000,100,385,1.4179445743
0.0310000000,0.9690000000,100,385,1.4178253243
0.0320000000,0.9680000000,100,385,1.4177074720
0.0330000000,0.9670000000,100,385,1.4175910010
0.0340000000,0.9660000000,100,385,1.4174758956
0.0350000000,0.9650000000,100,385,1.4173621402
0.0360000000,0.9640000000,100,385,1.4172497195
0.0370000000,0.9630000000,100,385,1.4171386188
0.0380000000,0.9620000000,100,385,1.4170288236
0.0390000000,0.9610000000,100,385,1.4169203197
0.0400000000,0.9600000000,100,385,1.4168130934
0.0410000000,0.9590000000,100,385,1.4167071311
0.0420000000,0.9580000000,100,385,1.4166024197
0.0430000000,0.9570000000,100,385,1.4164989461
0.0440000000,0.9560000000,100,385,1.4163966977
0.0450000000,0.9550000000,100,385,1.4162956622
0.0460000000,0.9540000000,100,385,1.4161958274
0.0470000000,0.9530000000,100,385,1.4160971816
0.0480000000,0.9520000000,100,385,1.4159997130
0.0490000000,0.9510000000,100,385,1.4159034104
0.0500000000,0.9500000000,100,385,1.4158082626
0.0510000000,0.9490000000,100,385,1.4157142586
0.0520000000,0.9480000000,100,385,1.4156213879
0.0530000000,0.9470000000,100,385,1.4155296399
0.0540000000,0.9460000000,100,385,1.4154390043
0.0550000000,0.9450000000,100,385,1.4153494711
0.0560000000,0.9440000000,100,385,1.4152610305
0.0570000000,0.9430000000,100,385,1.4151736726
0.0580000000,0.9420000000,100,385,1.4150873881
0.0590000000,0.9410000000,100,385,1.4150021676
0.0600000000,0.9400000000,100,385,1.4149180019
0.0610000000,0.9390000000,100,385,1.4148348821
0.0620000000,0.9380000000,100,385,1.4147527994
0.0630000000,0.9370000000,100,385,1.4146717450
0.0640000000,0.9360000000,100,385,1.4145917106
