event_date,empirical_period,rules,static_binary_brier,static_binary_log,static_categorical_log,static_multiclass_brier,selected_gp_binary_brier,selected_gp_binary_log,selected_gp_categorical_log,selected_gp_multiclass_brier,pool_binary_brier,pool_binary_log,pool_categorical_log,pool_multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier
2026-03-18,market_development,3,0.0664606596,0.2070586726,1.4271464214,0.7310672552,0.0806004767,0.2556820744,1.8646599854,0.8866052434,0.0766817551,0.2530593383,1.8638295981,0.8434993064,0.0771366667,0.2578273431,1.8703492948,0.8392845972
2026-03-19,market_development,4,0.0421498757,0.1412921542,0.8978778288,0.4636486331,0.0749496487,0.2372843454,1.7023042215,0.8244461361,0.0723096760,0.2386979316,1.7385174068,0.7954064365,0.0748151250,0.2467216714,1.7760711925,0.7967436662
2026-03-21,market_development,4,0.0827664282,0.2688603904,1.9970779504,0.9104307099,0.0811933391,0.2587953673,1.8950589019,0.8931267306,0.1000424357,0.3478762288,2.7476896964,1.1004667922,0.1092516477,0.3909491416,3.1416828570,1.1551683462
2026-03-22,market_development,4,0.0659342405,0.2048831922,1.4066311796,0.7252766458,0.0602057505,0.1931956253,1.3202531985,0.6622632559,0.0621629398,0.1962732625,1.3376814190,0.6837923381,0.0626505852,0.1982133458,1.3462292689,0.6919563471
2026-03-23,market_development,4,0.0668412831,0.2041303782,1.3893370466,0.7352541139,0.0721907983,0.2274118913,1.6110281273,0.7940987808,0.0580148861,0.1858388370,1.2584444360,0.6381637470,0.0547853693,0.1795436312,1.2007175956,0.6133230830
2026-03-24,market_development,4,0.0655602864,0.2041254993,1.4010518691,0.7211631504,0.0618048317,0.1978429072,1.3594647721,0.6798531485,0.0678357416,0.2100068593,1.4452144605,0.7461931581,0.0700029659,0.2139771422,1.4662436968,0.7720553003
2026-03-25,market_development,4,0.0049508952,0.0370143715,0.2088614005,0.0544598470,0.0137240302,0.0661614292,0.3854358450,0.1509643322,0.0188996059,0.0822389386,0.4910567242,0.2078956651,0.0181168011,0.0830786647,0.5171190865,0.2238640678
2026-03-26,market_development,4,0.0625001590,0.1951598395,1.3249383076,0.6875017490,0.0841149095,0.2716946211,2.0194846681,0.9252640045,0.0806043399,0.2594395796,1.8903102886,0.8866477393,0.0812931989,0.2655645473,1.9428912853,0.8990159089
2026-03-27,market_development,4,0.0685997662,0.2169884215,1.5214919733,0.7545974283,0.0616858944,0.1989020763,1.3719972836,0.6785448380,0.0905941062,0.2904969759,2.1739644653,0.9965351685,0.1017898239,0.3420784319,2.6470333177,1.0917254515
2026-03-28,market_development,4,0.0701477055,0.2063097000,1.3790736680,0.7716247601,0.0675849580,0.2100770996,1.4520751771,0.7434345377,0.0587032930,0.1810727285,1.1963516332,0.6457362231,0.0570089375,0.1760361787,1.1516707321,0.6306329317
