target_date,decision_rule,decision_rule_order,decision_offset_hours,target_midnight_hkt,decision_time_hkt,decision_time_utc,selected_run_init_utc,selected_cycle_utc,selection_tier,selected_candidate_rank,run_age_hours_at_decision,issued_before_decision,hourly_rows,unique_local_hours,nonmissing_temperature_rows,hours_00_to_23,complete_local_day,forecast_daily_max_c,forecast_daily_min_c,forecast_daily_mean_c,support_available,cache_path,raw_source_origin,selection_rule,unsupported_reason,hko_daily_max_c,hko_source_system,hko_source_period,hko_available,residual_usable,residual_c,forecast_error_c,absolute_error_c,squared_error_c,empirical_period,weather_history_training,market_development_period,external_validation_period,target_year,target_month,target_day,day_of_year,seasonal_sin,seasonal_cos,calendar_day_index,sample_status
2026-03-16,24h_prior,1,-24,2026-03-16T00:00:00+08:00,2026-03-15T00:00:00+08:00,2026-03-14T16:00:00+00:00,2026-03-14T06:00:00+00:00,6.0000000000,supplementary,2.0000000000,10.0000000000,True,24,24,24,True,True,21.6000000000,15.4000000000,18.2500000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260314_06.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,24.0000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.4000000000,-2.4000000000,2.4000000000,5.7600000000,market_development,False,True,False,2026,3,16,75,0.9559793438,0.2934339690,730,usable
2026-03-16,12h_prior,2,-12,2026-03-16T00:00:00+08:00,2026-03-15T12:00:00+08:00,2026-03-15T04:00:00+00:00,2026-03-14T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,21.6000000000,15.3000000000,18.2083333333,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260314_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,24.0000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.4000000000,-2.4000000000,2.4000000000,5.7600000000,market_development,False,True,False,2026,3,16,75,0.9559793438,0.2934339690,730,usable
2026-03-17,6h_prior,3,-6,2026-03-17T00:00:00+08:00,2026-03-16T18:00:00+08:00,2026-03-16T10:00:00+00:00,2026-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,22.9000000000,17.3000000000,19.8250000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260316_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,24.0000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.1000000000,-1.1000000000,1.1000000000,1.2100000000,market_development,False,True,False,2026,3,17,76,0.9608854256,0.2769462023,731,usable
2026-03-17,event_day_open,4,0,2026-03-17T00:00:00+08:00,2026-03-17T00:00:00+08:00,2026-03-16T16:00:00+00:00,2026-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,22.9000000000,17.3000000000,19.8250000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260316_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,24.0000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.1000000000,-1.1000000000,1.1000000000,1.2100000000,market_development,False,True,False,2026,3,17,76,0.9608854256,0.2769462023,731,usable
2026-03-18,24h_prior,1,-24,2026-03-18T00:00:00+08:00,2026-03-17T00:00:00+08:00,2026-03-16T16:00:00+00:00,2026-03-16T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,24.8000000000,19.1000000000,21.0875000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260316_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,27.8000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,3.0000000000,-3.0000000000,3.0000000000,9.0000000000,market_development,False,True,False,2026,3,18,77,0.9655071658,0.2603764827,732,usable
2026-03-18,12h_prior,2,-12,2026-03-18T00:00:00+08:00,2026-03-17T12:00:00+08:00,2026-03-17T04:00:00+00:00,2026-03-16T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,25.2000000000,18.4000000000,21.2000000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260316_12.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,27.8000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.6000000000,-2.6000000000,2.6000000000,6.7600000000,market_development,False,True,False,2026,3,18,77,0.9655071658,0.2603764827,732,usable
2026-03-18,6h_prior,3,-6,2026-03-18T00:00:00+08:00,2026-03-17T18:00:00+08:00,2026-03-17T10:00:00+00:00,2026-03-17T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,25.6000000000,17.9000000000,21.1791666667,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260317_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,27.8000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.2000000000,-2.2000000000,2.2000000000,4.8400000000,market_development,False,True,False,2026,3,18,77,0.9655071658,0.2603764827,732,usable
2026-03-18,event_day_open,4,0,2026-03-18T00:00:00+08:00,2026-03-18T00:00:00+08:00,2026-03-17T16:00:00+00:00,2026-03-17T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,25.6000000000,17.9000000000,21.1791666667,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260317_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,27.8000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.2000000000,-2.2000000000,2.2000000000,4.8400000000,market_development,False,True,False,2026,3,18,77,0.9655071658,0.2603764827,732,usable
2026-03-19,24h_prior,1,-24,2026-03-19T00:00:00+08:00,2026-03-18T00:00:00+08:00,2026-03-17T16:00:00+00:00,2026-03-17T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,25.9000000000,18.2000000000,21.4750000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260317_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,28.1000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.2000000000,-2.2000000000,2.2000000000,4.8400000000,market_development,False,True,False,2026,3,19,78,0.9698431970,0.2437297136,733,usable
2026-03-19,12h_prior,2,-12,2026-03-19T00:00:00+08:00,2026-03-18T12:00:00+08:00,2026-03-18T04:00:00+00:00,2026-03-17T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,26.2000000000,17.7000000000,21.4166666667,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260317_12.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,28.1000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.9000000000,-1.9000000000,1.9000000000,3.6100000000,market_development,False,True,False,2026,3,19,78,0.9698431970,0.2437297136,733,usable
2026-03-19,6h_prior,3,-6,2026-03-19T00:00:00+08:00,2026-03-18T18:00:00+08:00,2026-03-18T10:00:00+00:00,2026-03-18T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,26.4000000000,17.5000000000,21.5000000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260318_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,28.1000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.7000000000,-1.7000000000,1.7000000000,2.8900000000,market_development,False,True,False,2026,3,19,78,0.9698431970,0.2437297136,733,usable
2026-03-19,event_day_open,4,0,2026-03-19T00:00:00+08:00,2026-03-19T00:00:00+08:00,2026-03-18T16:00:00+00:00,2026-03-18T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,26.4000000000,17.5000000000,21.5000000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260318_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,28.1000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.7000000000,-1.7000000000,1.7000000000,2.8900000000,market_development,False,True,False,2026,3,19,78,0.9698431970,0.2437297136,733,usable
2026-03-20,24h_prior,1,-24,2026-03-20T00:00:00+08:00,2026-03-19T00:00:00+08:00,2026-03-18T16:00:00+00:00,2026-03-18T00:00:00+00:00,0.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,21.7000000000,19.4000000000,20.3750000000,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260318_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,23.3000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.6000000000,-1.6000000000,1.6000000000,2.5600000000,market_development,False,True,False,2026,3,20,79,0.9738922359,0.2270108209,734,usable
2026-03-20,12h_prior,2,-12,2026-03-20T00:00:00+08:00,2026-03-19T12:00:00+08:00,2026-03-19T04:00:00+00:00,2026-03-18T12:00:00+00:00,12.0000000000,core,1.0000000000,16.0000000000,True,24,24,24,True,True,20.9000000000,19.0000000000,19.9458333333,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260318_12.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,23.3000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,2.4000000000,-2.4000000000,2.4000000000,5.7600000000,market_development,False,True,False,2026,3,20,79,0.9738922359,0.2270108209,734,usable
2026-03-20,6h_prior,3,-6,2026-03-20T00:00:00+08:00,2026-03-19T18:00:00+08:00,2026-03-19T10:00:00+00:00,2026-03-19T00:00:00+00:00,0.0000000000,core,1.0000000000,10.0000000000,True,24,24,24,True,True,21.9000000000,19.3000000000,20.2083333333,True,data/raw/ecmwf_final_v85/2026/03/ecmwf_ifs_20260319_00.json.gz,final_extension_cache,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,,23.3000000000,HKO_CLMMAXT_OPEN_DATA,2026,True,True,1.4000000000,-1.4000000000,1.4000000000,1.9600000000,market_development,False,True,False,2026,3,20,79,0.9738922359,0.2270108209,734,usable
