removed_event_date,removed_market_id,removed_trade_pnl,baseline_total_net_pnl,remaining_total_net_pnl,remaining_positive
2026-07-07,2802048,0.9790000000,2.4510000000,1.4720000000,True
2026-08-20,3688965,0.9450000000,2.4510000000,1.5060000000,True
2026-07-31,3196587,0.9200000000,2.4510000000,1.5310000000,True
2026-07-29,3124830,-0.0130000000,2.4510000000,2.4640000000,True
2026-08-01,3216633,-0.0140000000,2.4510000000,2.4650000000,True
2026-07-14,2889061,-0.0235000000,2.4510000000,2.4745000000,True
2026-07-24,3025031,-0.0290000000,2.4510000000,2.4800000000,True
2026-07-16,2917057,-0.0425000000,2.4510000000,2.4935000000,True
2026-08-18,3624121,-0.0600000000,2.4510000000,2.5110000000,True
2026-08-19,3655313,-0.0650000000,2.4510000000,2.5160000000,True
2026-07-08,2812710,-0.0700000000,2.4510000000,2.5210000000,True
2026-07-10,2841132,-0.0760000000,2.4510000000,2.5270000000,True
