threshold,settled_dates,trade_count,trade_rate,total_net_pnl,mean_daily_pnl,sample_sharpe,maximum_drawdown,is_frozen_selected_threshold,within_0_05_of_selected,used_for_selection
0.0000000000,60,60,1.0000000000,1.1145000000,0.0185750000,0.0668924573,1.1900000000,False,False,False
0.0100000000,60,60,1.0000000000,1.1145000000,0.0185750000,0.0668924573,1.1900000000,False,False,False
0.0200000000,60,60,1.0000000000,1.1145000000,0.0185750000,0.0668924573,1.1900000000,False,False,False
0.0300000000,60,60,1.0000000000,1.1145000000,0.0185750000,0.0668924573,1.1900000000,False,False,False
0.0400000000,60,59,0.9833333333,1.1645000000,0.0194083333,0.0699272820,1.1900000000,False,False,False
0.0500000000,60,52,0.8666666667,1.4815000000,0.0246916667,0.0892753813,1.1500000000,False,False,False
0.0600000000,60,46,0.7666666667,1.1515000000,0.0191916667,0.0761803301,0.9895000000,False,False,False
0.0700000000,60,42,0.7000000000,1.3720000000,0.0228666667,0.0911339716,0.8545000000,False,False,False
0.0800000000,60,37,0.6166666667,1.6530000000,0.0275500000,0.1102893991,0.8545000000,False,False,False
0.0900000000,60,30,0.5000000000,1.1430000000,0.0190500000,0.0873219007,0.9240000000,False,False,False
0.1000000000,60,28,0.4666666667,1.3530000000,0.0225500000,0.1039403732,0.8090000000,False,True,False
0.1100000000,60,22,0.3666666667,1.7040000000,0.0284000000,0.1320056285,0.6505000000,False,True,False
0.1200000000,60,19,0.3166666667,1.9035000000,0.0317250000,0.1481704111,0.5610000000,False,True,False
0.1300000000,60,18,0.3000000000,1.9405000000,0.0323416667,0.1511550544,0.5240000000,False,True,False
0.1400000000,60,14,0.2333333333,2.2810000000,0.0380166667,0.1794603390,0.3390000000,False,True,False
0.1500000000,60,12,0.2000000000,2.4510000000,0.0408500000,0.1938578189,0.2540000000,True,True,False
0.1600000000,60,11,0.1833333333,2.5270000000,0.0421166667,0.2003313704,0.1780000000,False,True,False
0.1700000000,60,9,0.1500000000,1.6720000000,0.0278666667,0.1587965425,0.2520000000,False,True,False
0.1800000000,60,6,0.1000000000,1.8035000000,0.0300583333,0.1719428977,0.1205000000,False,True,False
0.1900000000,60,3,0.0500000000,0.9520000000,0.0158666667,0.1254568883,0.0270000000,False,True,False
0.2000000000,60,3,0.0500000000,0.9520000000,0.0158666667,0.1254568883,0.0270000000,False,True,False
0.2100000000,60,2,0.0333333333,0.9660000000,0.0161000000,0.1273452699,0.0130000000,False,False,False
0.2200000000,60,1,0.0166666667,-0.0130000000,-0.0002166667,-0.1290994449,0.0130000000,False,False,False
0.2300000000,60,1,0.0166666667,-0.0130000000,-0.0002166667,-0.1290994449,0.0130000000,False,False,False
0.2400000000,60,1,0.0166666667,-0.0130000000,-0.0002166667,-0.1290994449,0.0130000000,False,False,False
0.2500000000,60,1,0.0166666667,-0.0130000000,-0.0002166667,-0.1290994449,0.0130000000,False,False,False
