source,date_column,temperature_column,june_dates,conflicting_dates,complete_30_date_source,score
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_hko_daily_max.csv::table_1,event_date,hko_daily_max_c,30,0,True,28800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_contract_outcomes.csv::table_1,event_date,hko_daily_max_c,30,0,True,28800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_winning_contracts.csv::table_1,event_date,hko_daily_max_c,30,0,True,28800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_date_outcome_checks.csv::table_1,event_date,hko_daily_max_c,30,0,True,28800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_market_scoring_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_exact_common_support_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_date_inventory.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_certified_contract_outcome_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_support_audit_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_deterministic_weather_panel.csv::table_1,event_date,hko_daily_max_c,30,0,True,1800.0
