candidate_type,rank,source,valid_dates,rows,date_column,temperature_column,label_column,lower_column,upper_column,score
contract,1,data/manual/18w_outcome_free_contract_definitions/18w_outcome_free_contract_definition_panel.csv,103,1133,event_date,,canonical_label,lower_bound_c,upper_bound_c,1030100.0
contract,2,data/manual/18x_outcome_free_market_prices/18x_outcome_free_market_price_panel.csv,98,1078,event_date,,canonical_label,lower_bound_c,upper_bound_c,980100.0
contract,3,data/processed/18k_full_hko_contract_event_target_panel.csv,73,803,event_date,,market_question,event_lower_bound_c,event_upper_bound_c,730100.0
hko,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,92,92,event_date,hko_tmax_c,,,,920020.0
hko,2,data/processed/18k_hko_realised_outcomes_used.csv,92,92,event_date,hko_tmax_c,,,,920020.0
hko,3,data/processed/17l_hko_contract_rule_text_certification_decision.csv,91,91,enddate,has_hko_rule_text,,,,910020.0
hko,4,data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv,75,75,event_date,is_hko_highest_temp_family,,,,750020.0
hko,5,data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,75,75,event_date,is_hko_highest_temp_family,,,,750020.0
hko,6,data/processed/18k_full_hko_contract_event_target_panel.csv,73,73,event_date,hko_tmax_c,,,,730020.0
hko,7,data/processed/18k_hko_contract_event_date_resolution_summary.csv,73,73,event_date,hko_tmax_c,,,,730020.0
hko,8,data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,73,73,event_date,target_hko_tmax_c,,,,730020.0
hko,9,data/processed/18h_hko_upper_tail_narrow_window_price_observations_20260313_20260531.csv,70,70,event_date,hko_tmax_c,,,,700020.0
hko,10,data/processed/18h_hko_upper_tail_no_lookahead_decision_panel_20260313_20260531.csv,70,70,event_date,is_hko_highest_temp_family,,,,700020.0
hko,11,data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv,70,70,event_date,is_hko_highest_temp_family,,,,700020.0
hko,12,data/processed/18i_hko_main_scoring_panel_formally_certified.csv,68,68,event_date,is_hko_highest_temp_family,,,,680080.0
hko,13,data/processed/17l_all_formally_certified_rows_for_manual_inspection.csv,7,7,event_date,has_hko_rule_text,,,,70080.0
hko,14,data/processed/17l_hko_highest_upper_tail_formally_certified_subset.csv,5,5,event_date,has_hko_rule_text,,,,50080.0
hko,15,data/processed/17l_hko_highest_upper_tail_formally_certified_subset_deduped.csv,5,5,event_date,has_hko_rule_text,,,,50080.0
