role,source,status,sha256,rows,columns,date_column,valid_time_column,coverage_basis,distinct_dates,complete_dates,start_date,end_date,complete_start_date,complete_end_date,june_dates,complete_june_dates,temperature_columns,score
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/hko_daily_max_temperature_targets.csv,DUPLICATE_CONTENT,0adbe1e6c1a99b372bc4c2f9050d8594e65bbc5bd3b8eedae2a3c1825c9e3b53,49459,2,date,,declared_target_date,49459,49459,1884-01-01,2026-05-31,1884-01-01,2026-05-31,0,0,hko_tmax_c,54405009459.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,DUPLICATE_CONTENT,8b7c29a9fe44ce49f052463a38f763865554262212ca3781f965c3a24735fac6,292,22,event_date,forecast_valid_date_hkt,declared_target_date,73,73,2026-03-16,2026-05-31,2026-03-16,2026-05-31,0,0,forecast_hko_daily_max_c; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c,80430292.0
daily_max_forecasts,git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,DUPLICATE_CONTENT,8b7c29a9fe44ce49f052463a38f763865554262212ca3781f965c3a24735fac6,292,22,event_date,forecast_valid_date_hkt,declared_target_date,73,73,2026-03-16,2026-05-31,2026-03-16,2026-05-31,0,0,forecast_hko_daily_max_c; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c,80381292.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_daily_max_latest_parsed.csv,MATERIALISED,0adbe1e6c1a99b372bc4c2f9050d8594e65bbc5bd3b8eedae2a3c1825c9e3b53,49459,2,date,,declared_target_date,49459,49459,1884-01-01,2026-05-31,1884-01-01,2026-05-31,0,0,hko_tmax_c,54405009459.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,MATERIALISED,af6309074361b09e0429c7f425b69a9e0d174ce9e753def690ab067fe3519f62,49459,5,event_date,,declared_target_date,49459,49459,1884-01-01,2026-05-31,1884-01-01,2026-05-31,0,0,hko_tmax_c,54405009459.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,MATERIALISED,6918748f5a70f3512e43fc31f14e5506f6f95fe264898c9534d9b5a48c6c39a4,103,6,event_date,,declared_target_date,103,103,2026-03-16,2026-06-30,2026-03-16,2026-06-30,30,30,hko_daily_max_c,114850103.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_deterministic_weather_panel.csv,MATERIALISED,049abe248bb7910eb75c21b31edb4ea255640bcce1ffd3c376dc54907c523501,4125,42,event_date,,declared_target_date,102,102,2026-03-16,2026-06-30,2026-03-16,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,113764125.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18sA_canonical_source_adapters/18sA_canonical_weather_panel.csv,MATERIALISED,10570805b8a686d36211341075225df40fa061714c6499c871f4c94490d8ad00,4125,42,event_date,,declared_target_date,102,102,2026-03-16,2026-06-30,2026-03-16,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,113764125.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tB_admissible_historical_information_sets/18tB_residual_observation_panel.csv,MATERIALISED,4ae4883622990d8c0ef0f5c629f99028ae857987c032740d2fae4eeda5e2b387,375,26,event_date,,declared_target_date,102,102,2026-03-16,2026-06-30,2026-03-16,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,113760375.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_exact_common_support_panel.csv,MATERIALISED,f502c14ed5b86a702f4e54071dc121e2d1e62b157fd412adbacf4b0db06b4ecd,3889,49,event_date,,declared_target_date,97,97,2026-03-18,2026-06-30,2026-03-18,2026-06-30,30,30,hko_daily_max_c; forecast_daily_max_c,108263889.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv,MATERIALISED,59f3e77ba67cfdae123cb29b92e39b15036a3f1a1d426e0d0ceb38b9c2cc5c7b,3850,51,event_date,,declared_target_date,97,97,2026-03-18,2026-06-30,2026-03-18,2026-06-30,30,30,hko_daily_max_c; forecast_daily_max_c,108263850.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_panel.csv,MATERIALISED,420b0ed703f2a72cfe58ee60ed2cd60600694f756db8708b26f5148e2dd89a25,350,30,event_date,,declared_target_date,97,97,2026-03-18,2026-06-30,2026-03-18,2026-06-30,30,30,hko_daily_max_c; forecast_daily_max_c,108260350.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/review_bundles/19a_review_bundle.zip::data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,MATERIALISED,8b7c29a9fe44ce49f052463a38f763865554262212ca3781f965c3a24735fac6,292,22,event_date,forecast_valid_date_hkt,declared_target_date,73,73,2026-03-16,2026-05-31,2026-03-16,2026-05-31,0,0,forecast_hko_daily_max_c; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c,80435292.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18uB_model_specific_freeze_support/18uB_final_fit_membership.csv,MATERIALISED,65aac69e596098f3e60a4c51f3dd10e3a8e8918d682ea5cc56c9aef80e558fd1,418,31,event_date,,declared_target_date,61,61,2026-03-16,2026-05-20,2026-03-16,2026-05-20,0,0,forecast_daily_max_c; hko_daily_max_c,67160418.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18uB_model_specific_freeze_support/18uB_fold_training_membership.csv,MATERIALISED,35f6913893c2a16cb9fe2394a5f74062ac08996e50315d041d91b0e8ab668ba5,924,32,event_date,earliest_validation_date,declared_target_date,50,50,2026-03-16,2026-05-07,2026-03-16,2026-05-07,0,0,forecast_daily_max_c; hko_daily_max_c,55060924.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wC_blind_calibrated_probability_release/18wC_blind_probability_release.csv,MATERIALISED,02ee2ee08ca1f81e0d66a89b1cd3684af72f43f6a1a724f40da7732383667fec,10494,45,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c,45570494.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wD_holdout_external_probability_evaluation/18wD_model_probability_outcome_panel.csv,MATERIALISED,2878ec3985153c3931b98b019ea8e3e42ef08f98105b073e6a1a598c1027e6fc,10494,52,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,45570494.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wD_holdout_external_probability_evaluation/18wD_exact_common_market_model_contract_panel.csv,MATERIALISED,1f039a61df614738ea5de9efc716e2e2a033f46e40fff16ccd73e38a996208b0,10164,63,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,45570164.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wC_blind_calibrated_probability_release/18wC_blind_calibrated_probability_panel.csv,MATERIALISED,8384a454400afce5edadb0e11710a59f5b83509f2029d226f36f521bc1b2718c,5247,38,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c,45565247.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wA_contract_probability_mapping/18wA_blind_uncalibrated_probability_panel.csv,MATERIALISED,8ad354f1c8e0737acd16bf093be3ddd38411ea545cfe4633b5d6962754467620,5247,38,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c,45565247.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xB_blind_trading_signal_release/18xB_blind_trade_opportunity_panel.csv,MATERIALISED,6541e0cc4b8436c9b7705ffbdae9ef6a080ddf52fb5ccecbce2af87afb85c321,1265,56,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c,45561265.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xC_controlled_unblinding_trading_simulation/18xC_cost_sensitivity_trade_panel.csv,MATERIALISED,a3fa37564469b148e5c8149da284ad1514af1b943b682deef9e7c3d34456f9d5,575,71,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c; hko_daily_max_c,45560575.0
daily_max_forecasts,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vD_selected_models_blind_predictions/18vD_selected_candidate_blind_predictions.csv,MATERIALISED,7b425551e472799ee3726a91c802337dac29cb6937879be73c1af5cfe78427e8,477,225,event_date,,declared_target_date,40,40,2026-05-22,2026-06-30,2026-05-22,2026-06-30,30,30,forecast_daily_max_c,45560477.0
