role,bundle_path,source,column,dtype,non_missing,unique_values,sample_values
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/01_17k_hko_daily_max_latest_parsed.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_daily_max_latest_parsed.csv,date,object,49459,49459,1884-01-01 | 1884-01-02 | 1884-01-03 | 1884-01-04 | 1884-01-05
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/01_17k_hko_daily_max_latest_parsed.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_daily_max_latest_parsed.csv,hko_tmax_c,float64,49459,290,15.3 | 17.1 | 19.6 | 23.2 | 19.4
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,event_date,object,49459,49459,1884-01-01 | 1884-01-02 | 1884-01-03 | 1884-01-04 | 1884-01-05
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,hko_parse_route,object,49459,1,ymd_value_header_skip_2
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,hko_source_name,object,49459,1,CLMMAXT_opendata
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,hko_source_url,object,49459,1,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&rformat=csv&station=HKO
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,hko_tmax_c,float64,49459,290,15.3 | 17.1 | 19.6 | 23.2 | 19.4
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/03_hko_daily_max.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,availability_basis,object,103,2,Historical HKO outcome source. Forecast-time admissibility is audited in Notebook 02. | Recovered official HKO June outcome source. Forecast-time admissibility is assessed in Notebook 02.
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/03_hko_daily_max.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,event_date,object,103,103,2026-03-16 | 2026-03-17 | 2026-03-18 | 2026-03-19 | 2026-03-21
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/03_hko_daily_max.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,hko_daily_max_c,float64,103,66,24.0 | 27.8 | 28.1 | 22.3 | 25.4
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/03_hko_daily_max.csv,local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,outcome_admissible_utc,float64,0,0,
