candidate_model,development_fold,mean_crps,rows,dates
pooled_catboost_quantile,1,1.0214826756929756,20,10
pooled_catboost_quantile,2,0.4643881475897387,40,10
pooled_catboost_quantile,3,1.1975011482083227,36,9
pooled_catboost_quantile,4,1.2501014337728271,36,9
pooled_empirical_residual,1,0.5889103030303028,20,10
pooled_empirical_residual,2,0.6809226262626262,40,10
pooled_empirical_residual,3,0.7630381593714924,36,9
pooled_empirical_residual,4,0.9174545454545456,36,9
pooled_mean_residual,1,0.80625,20,10
pooled_mean_residual,2,0.9449999999999991,40,10
pooled_mean_residual,3,1.0569830246913583,36,9
pooled_mean_residual,4,1.2583333333333333,36,9
raw_deterministic,1,1.8699999999999992,20,10
raw_deterministic,2,2.4374999999999996,40,10
raw_deterministic,3,1.380555555555556,36,9
raw_deterministic,4,1.9500000000000004,36,9
rule_catboost_quantile,1,1.0902385626011828,20,10
rule_catboost_quantile,2,0.6384071696330651,40,10
rule_catboost_quantile,3,1.3622190967875842,36,9
rule_catboost_quantile,4,1.221316116394985,36,9
rule_empirical_residual,1,0.5875103030303027,20,10
rule_empirical_residual,2,0.6854474242424241,40,10
rule_empirical_residual,3,0.7701217564534227,36,9
rule_empirical_residual,4,0.9286689898989903,36,9
rule_gp_matern32,1,0.5680037136931408,20,10
rule_gp_matern32,2,0.6792041474936816,40,10
rule_gp_matern32,3,0.9007222198757179,36,9
rule_gp_matern32,4,0.9180798549719155,36,9
rule_gp_rbf,1,0.5680061606943559,20,10
rule_gp_rbf,2,0.6789746079725617,40,10
rule_gp_rbf,3,0.9301940489044609,36,9
rule_gp_rbf,4,0.9180397281060384,36,9
rule_mean_residual,1,0.7740196078431375,20,10
rule_mean_residual,2,0.9348948412698409,40,10
rule_mean_residual,3,1.0558716544939455,36,9
rule_mean_residual,4,1.2627548056017879,36,9
