row_id,target_date,decision_rule,development_fold,chronology_block,candidate_model,forecast_daily_max_c,hko_daily_max_c,crps_99q,central_80_covered,central_80_width_c,median_absolute_error_c
2026-04-12|24h_prior,2026-04-12,24h_prior,1,development_validation,pooled_catboost_quantile,27.0,28.5,0.5948631126866094,False,0.09876461099151612,0.606166140075441
2026-04-12|event_day_open,2026-04-12,event_day_open,1,development_validation,pooled_catboost_quantile,27.1,28.5,0.2578045714933346,False,0.0,0.2578045714933346
2026-04-13|24h_prior,2026-04-13,24h_prior,1,development_validation,pooled_catboost_quantile,27.1,29.7,1.4223779506868721,False,0.0,1.4223779506868723
2026-04-13|event_day_open,2026-04-13,event_day_open,1,development_validation,pooled_catboost_quantile,27.0,29.7,1.860639125787307,False,0.036260193176151034,1.8576728185272202
2026-04-14|24h_prior,2026-04-14,24h_prior,1,development_validation,pooled_catboost_quantile,27.0,29.0,1.0948631126866093,False,0.09876461099151612,1.106166140075441
2026-04-14|event_day_open,2026-04-14,event_day_open,1,development_validation,pooled_catboost_quantile,27.5,29.0,0.35780457149333594,False,0.0,0.357804571493336
2026-04-15|24h_prior,2026-04-15,24h_prior,1,development_validation,pooled_catboost_quantile,27.2,28.9,0.5223779506868738,False,0.0,0.5223779506868738
2026-04-15|event_day_open,2026-04-15,event_day_open,1,development_validation,pooled_catboost_quantile,26.8,28.9,1.2606391257873057,False,0.03626019317615459,1.2576728185272188
2026-04-16|24h_prior,2026-04-16,24h_prior,1,development_validation,pooled_catboost_quantile,27.0,30.2,2.294863112686609,False,0.09876461099151612,2.3061661400754403
2026-04-16|event_day_open,2026-04-16,event_day_open,1,development_validation,pooled_catboost_quantile,26.8,30.2,2.560639125787306,False,0.03626019317615459,2.5576728185272195
2026-04-17|24h_prior,2026-04-17,24h_prior,1,development_validation,pooled_catboost_quantile,27.3,28.0,0.4776220493131262,False,0.0,0.47762204931312624
2026-04-17|event_day_open,2026-04-17,event_day_open,1,development_validation,pooled_catboost_quantile,27.1,28.0,0.2421954285066654,False,0.0,0.24219542850666542
2026-04-18|24h_prior,2026-04-18,24h_prior,1,development_validation,pooled_catboost_quantile,27.9,28.5,0.2760850008011736,False,0.1588383764373198,0.35400937120088116
2026-04-18|event_day_open,2026-04-18,event_day_open,1,development_validation,pooled_catboost_quantile,28.3,28.5,0.655547689396587,False,0.1370956944547359,0.7177783422266089
2026-04-19|24h_prior,2026-04-19,24h_prior,1,development_validation,pooled_catboost_quantile,27.2,30.0,1.6223779506868747,False,0.0,1.6223779506868752
2026-04-19|event_day_open,2026-04-19,event_day_open,1,development_validation,pooled_catboost_quantile,27.9,30.0,1.205708236817808,False,0.10955662828285284,1.1974973072508988
2026-04-20|24h_prior,2026-04-20,24h_prior,1,development_validation,pooled_catboost_quantile,26.6,28.4,0.8573371325778371,False,0.04864248686005723,0.8594741664743033
2026-04-20|event_day_open,2026-04-20,event_day_open,1,development_validation,pooled_catboost_quantile,27.1,28.4,0.15780457149333313,False,0.0,0.15780457149333316
2026-04-21|24h_prior,2026-04-21,24h_prior,1,development_validation,pooled_catboost_quantile,25.9,28.9,1.6474645686966376,False,0.0,1.6474645686966376
2026-04-21|event_day_open,2026-04-21,event_day_open,1,development_validation,pooled_catboost_quantile,27.0,28.9,1.0606391257873065,False,0.036260193176151034,1.0576728185272195
