check,passed,value
model_selection_remained_locked,True,pooled_empirical_residual
calibration_remained_locked,True,1.25
prediction_manifest_was_locked,True,True
variant_rows_equal_477,True,477
score_rows_equal_477,True,477
evaluation_dates_equal_40,True,40
forecast_variants_equal_3,True,3
all_outcomes_are_present,True,True
all_crps_values_are_finite,True,True
all_crps_values_are_non_negative,True,True
holdout_dates_equal_10,True,10
external_dates_equal_30,True,30
pairwise_comparisons_equal_6,True,6
no_model_refit_occurred,True,True
no_model_reselection_occurred,True,True
no_calibration_reselection_occurred,True,True
market_data_not_accessed,True,True
trading_returns_not_calculated,True,True
