chronology_block,forecast_variant,forecast_variant_display,decision_rule,rows,dates,mean_crps,median_mae_c,median_bias_c,empirical_80_coverage,mean_80_width_c
external_test,raw_deterministic,Raw deterministic,12h_prior,30,30,1.7499999999999996,1.7499999999999996,-1.7499999999999996,0.0,0.0
external_test,raw_deterministic,Raw deterministic,24h_prior,30,30,1.8733333333333333,1.8733333333333333,-1.8133333333333332,0.0,0.0
external_test,raw_deterministic,Raw deterministic,6h_prior,29,29,1.7586206896551724,1.7586206896551724,-1.6551724137931034,0.0,0.0
external_test,raw_deterministic,Raw deterministic,event_day_open,30,30,1.75,1.75,-1.6566666666666665,0.0,0.0
external_test,selected_calibrated,Selected calibrated,12h_prior,30,30,0.5006212121212122,0.6633333333333337,-0.05000000000000012,1.0,3.6250000000000027
external_test,selected_calibrated,Selected calibrated,24h_prior,30,30,0.6170185185185184,0.8666666666666668,-0.11333333333333316,0.9333333333333333,3.6250000000000044
external_test,selected_calibrated,Selected calibrated,6h_prior,29,29,0.6245109717868338,0.8241379310344819,0.04482758620689584,0.8620689655172413,3.625000000000003
external_test,selected_calibrated,Selected calibrated,event_day_open,30,30,0.6369301346801346,0.8233333333333335,0.043333333333333,0.9,3.6250000000000027
external_test,selected_uncalibrated,Selected uncalibrated,12h_prior,30,30,0.4750592592592593,0.6633333333333337,-0.05000000000000012,0.9333333333333333,2.900000000000001
external_test,selected_uncalibrated,Selected uncalibrated,24h_prior,30,30,0.610177104377104,0.8666666666666668,-0.11333333333333316,0.8333333333333334,2.9000000000000004
external_test,selected_uncalibrated,Selected uncalibrated,6h_prior,29,29,0.6139940090560777,0.8241379310344819,0.04482758620689584,0.8275862068965517,2.9000000000000004
external_test,selected_uncalibrated,Selected uncalibrated,event_day_open,30,30,0.6227663299663299,0.8233333333333335,0.043333333333333,0.9,2.9000000000000004
holdout,raw_deterministic,Raw deterministic,12h_prior,10,10,2.0,1.9999999999999996,-1.8999999999999997,0.0,0.0
holdout,raw_deterministic,Raw deterministic,24h_prior,10,10,1.7899999999999998,1.7899999999999998,-1.7899999999999998,0.0,0.0
holdout,raw_deterministic,Raw deterministic,6h_prior,10,10,1.94,1.94,-1.94,0.0,0.0
holdout,raw_deterministic,Raw deterministic,event_day_open,10,10,1.8799999999999997,1.8799999999999997,-1.8799999999999997,0.0,0.0
holdout,selected_calibrated,Selected calibrated,12h_prior,10,10,0.5762525252525253,0.7400000000000005,-0.20000000000000143,0.8,3.6250000000000027
holdout,selected_calibrated,Selected calibrated,24h_prior,10,10,0.5384494949494952,0.7700000000000007,-0.09000000000000022,1.0,3.6250000000000058
holdout,selected_calibrated,Selected calibrated,6h_prior,10,10,0.49617676767676794,0.6800000000000012,-0.24000000000000057,1.0,3.6250000000000044
holdout,selected_calibrated,Selected calibrated,event_day_open,10,10,0.38482575757575777,0.3400000000000006,-0.17999999999999972,1.0,3.6250000000000036
holdout,selected_uncalibrated,Selected uncalibrated,12h_prior,10,10,0.5569616161616162,0.7400000000000005,-0.20000000000000143,0.8,2.9000000000000004
holdout,selected_uncalibrated,Selected uncalibrated,24h_prior,10,10,0.5176080808080812,0.7700000000000007,-0.09000000000000022,1.0,2.9000000000000017
holdout,selected_uncalibrated,Selected uncalibrated,6h_prior,10,10,0.4698707070707074,0.6800000000000012,-0.24000000000000057,1.0,2.9000000000000012
holdout,selected_uncalibrated,Selected uncalibrated,event_day_open,10,10,0.33724444444444457,0.3400000000000006,-0.17999999999999972,1.0,2.900000000000001
