row_id,target_date,decision_rule,chronology_block,selected_model,selected_family,dispersion_scale,events,probability_sum,particle_count_sum,occupied_events,zero_probability_events,minimum_probability,maximum_probability,probability_entropy,effective_event_count
2026-06-01|12h_prior,2026-06-01,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.6354020585237965,5.131520753984043
2026-06-01|24h_prior,2026-06-01,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.693291935514898,5.437350683406963
2026-06-01|6h_prior,2026-06-01,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.2828282828282828,1.696422661402702,5.454400212728152
2026-06-01|event_day_open,2026-06-01,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.2828282828282828,1.689915909739452,5.41902499874718
2026-06-02|12h_prior,2026-06-02,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.31313131313131315,1.6387190972510712,5.148570468704026
2026-06-02|24h_prior,2026-06-02,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.571650665190969,4.814588912564922
2026-06-02|6h_prior,2026-06-02,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.6253621940295078,5.080258743379876
2026-06-02|event_day_open,2026-06-02,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,5,6,0.0,0.3333333333333333,1.4562541174527488,4.289860081841773
2026-06-03|12h_prior,2026-06-03,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.29292929292929293,1.5173797931336217,4.560260700861423
2026-06-03|24h_prior,2026-06-03,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.6098674273831461,5.002148036018997
2026-06-03|6h_prior,2026-06-03,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.2828282828282828,1.5403461071840163,4.666204998609704
2026-06-03|event_day_open,2026-06-03,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.2828282828282828,1.5403461071840163,4.666204998609704
2026-06-04|12h_prior,2026-06-04,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,5,6,0.0,0.5252525252525253,1.176657396452579,3.243514280453576
2026-06-04|24h_prior,2026-06-04,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,4,7,0.0,0.7878787878787878,0.7162263656005043,2.046695140315636
2026-06-04|6h_prior,2026-06-04,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,4,7,0.0,0.7575757575757576,0.7919870793068108,2.207779102619929
2026-06-04|event_day_open,2026-06-04,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,4,7,0.0,0.8080808080808081,0.6723018838265589,1.9587409293209714
2026-06-05|12h_prior,2026-06-05,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.571650665190969,4.814588912564922
2026-06-05|24h_prior,2026-06-05,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,5,6,0.0,0.37373737373737376,1.383076040570057,3.987147410770167
2026-06-05|6h_prior,2026-06-05,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.6253621940295078,5.080258743379876
2026-06-05|event_day_open,2026-06-05,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.29292929292929293,1.5173797931336217,4.560260700861423
2026-06-06|12h_prior,2026-06-06,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6968617979291722,5.456795965084232
2026-06-06|24h_prior,2026-06-06,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,8,3,0.0,0.2828282828282828,1.7203619833763355,5.586550336664814
2026-06-06|6h_prior,2026-06-06,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,8,3,0.0,0.2828282828282828,1.725420784918044,5.614883190840695
2026-06-06|event_day_open,2026-06-06,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6968617979291722,5.456795965084232
2026-06-07|12h_prior,2026-06-07,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.31313131313131315,1.6725675525120975,5.325824591719563
2026-06-07|24h_prior,2026-06-07,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.693291935514898,5.437350683406963
2026-06-07|6h_prior,2026-06-07,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,8,3,0.0,0.2828282828282828,1.7203619833763355,5.586550336664814
2026-06-07|event_day_open,2026-06-07,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6975998309611968,5.460824747259774
2026-06-08|12h_prior,2026-06-08,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6817379443840332,5.374889116884141
2026-06-08|24h_prior,2026-06-08,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6968617979291722,5.456795965084232
2026-06-08|6h_prior,2026-06-08,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.693291935514898,5.437350683406963
2026-06-08|event_day_open,2026-06-08,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,8,3,0.0,0.2828282828282828,1.725420784918044,5.614883190840695
2026-06-09|12h_prior,2026-06-09,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.29292929292929293,1.683283665600269,5.383203621324527
2026-06-09|24h_prior,2026-06-09,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.693291935514898,5.437350683406963
2026-06-09|6h_prior,2026-06-09,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6968617979291722,5.456795965084232
2026-06-09|event_day_open,2026-06-09,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,6,5,0.0,0.32323232323232326,1.6253621940295078,5.080258743379876
2026-06-10|12h_prior,2026-06-10,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6975998309611968,5.460824747259774
2026-06-10|24h_prior,2026-06-10,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,8,3,0.0,0.2828282828282828,1.725420784918044,5.614883190840695
2026-06-10|6h_prior,2026-06-10,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6817379443840332,5.374889116884141
2026-06-10|event_day_open,2026-06-10,event_day_open,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.2828282828282828,1.6848114341997404,5.391434196387917
2026-06-11|12h_prior,2026-06-11,12h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6817379443840332,5.374889116884141
2026-06-11|24h_prior,2026-06-11,24h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.693291935514898,5.437350683406963
2026-06-11|6h_prior,2026-06-11,6h_prior,external_test,pooled_empirical_residual,empirical_residual,1.25,11,1.0,99,7,4,0.0,0.32323232323232326,1.6817379443840332,5.374889116884141
