row_id,target_date,decision_rule,chronology_block,selected_model,selected_family,dispersion_scale,event_id,event_order,event_label_probability,source_event_label,source_event_identifier,lower_bound_c,upper_bound_c,lower_unbounded,upper_unbounded,lower_inclusive,upper_inclusive,quantile_particle_count,quantile_particle_total,raw_event_probability,probability_regularised,market_price_accessed,outcome_accessed,score_calculated,uniform_mixing_lambda,regularised_event_probability,probability_calibration_locked,trading_returns_calculated,event_index,event_label_certified,realised_yes,hko_daily_max_c,certification_status
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|01,1,T < 22°C,21°C or below,21°C or below,,22.0,True,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,0,21°C or below,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|02,2,22°C ≤ T < 23°C,22°C,22°C,22.0,23.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,1,22°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|03,3,23°C ≤ T < 24°C,23°C,23°C,23.0,24.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,2,23°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|04,4,24°C ≤ T < 25°C,24°C,24°C,24.0,25.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,3,24°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|05,5,25°C ≤ T < 26°C,25°C,25°C,25.0,26.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,4,25°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|06,6,26°C ≤ T < 27°C,26°C,26°C,26.0,27.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,5,26°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|07,7,27°C ≤ T < 28°C,27°C,27°C,27.0,28.0,False,False,True,False,4,99,0.0404040404040404,True,False,False,False,0.01,0.0409090909090909,True,False,6,27°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|08,8,28°C ≤ T < 29°C,28°C,28°C,28.0,29.0,False,False,True,False,9,99,0.0909090909090909,True,False,False,False,0.01,0.0909090909090909,True,False,7,28°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|09,9,29°C ≤ T < 30°C,29°C,29°C,29.0,30.0,False,False,True,False,15,99,0.1515151515151515,True,False,False,False,0.01,0.1509090909090908,True,False,8,29°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|10,10,30°C ≤ T < 31°C,30°C,30°C,30.0,31.0,False,False,True,False,32,99,0.3232323232323232,True,False,False,False,0.01,0.3209090909090908,True,False,9,30°C,False,31.4,PASSED
2026-05-22|12h_prior,2026-05-22,12h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|11,11,T ≥ 31°C,31°C or higher,31°C or higher,31.0,,False,True,True,False,39,99,0.3939393939393939,True,False,False,False,0.01,0.3909090909090909,True,False,10,31°C or higher,True,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|01,1,T < 22°C,21°C or below,21°C or below,,22.0,True,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,0,21°C or below,False,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|02,2,22°C ≤ T < 23°C,22°C,22°C,22.0,23.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,1,22°C,False,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|03,3,23°C ≤ T < 24°C,23°C,23°C,23.0,24.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,2,23°C,False,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|04,4,24°C ≤ T < 25°C,24°C,24°C,24.0,25.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,3,24°C,False,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|05,5,25°C ≤ T < 26°C,25°C,25°C,25.0,26.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,4,25°C,False,31.4,PASSED
2026-05-22|24h_prior,2026-05-22,24h_prior,holdout,pooled_empirical_residual,empirical_residual,1.25,2026-05-22|06,6,26°C ≤ T < 27°C,26°C,26°C,26.0,27.0,False,False,True,False,0,99,0.0,True,False,False,False,0.01,0.0009090909090909,True,False,5,26°C,False,31.4,PASSED
