target_date,decision_rule,chronology_block,event_rows,unique_events,outcome_rows,realised_winners,model_probability_sum,complete_book
2026-04-12,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-12,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-12,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-12,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-13,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-13,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-13,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-13,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-15,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-15,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-15,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-15,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-19,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-19,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-19,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-19,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-20,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-20,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-20,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-20,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-21,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-21,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-21,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-21,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-22,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-22,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-22,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-22,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-23,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-23,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-23,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-23,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-24,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-24,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-24,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-24,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-25,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-25,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-25,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-25,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-26,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-26,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
