candidate_id,decision_rule,edge_threshold,selection_cost_per_trade,development_dates,trade_count,trade_share,cumulative_gross_payoff,cumulative_net_payoff,mean_date_gross_payoff,mean_date_net_payoff,standard_error_date_net_payoff,maximum_drawdown_net_payoff,trade_win_share,mean_traded_edge,mean_paid_price,minimum_trade_count_satisfied,rule_order,mean_candidate_minus_strict_net_payoff,standard_error_paired_difference,within_one_standard_error,strict_development_winner,selected_strategy
24h_prior__tau_0.000,24h_prior,0.0,0.01,29,29,1.0,3.3275,3.0374999999999996,0.11474137931034484,0.10474137931034481,0.08521406549715103,-1.0244999999999997,0.3103448275862069,0.17427115987460812,0.19560344827586207,True,0.0,-0.09682758620689658,0.11035040828329296,True,False,False
24h_prior__tau_0.010,24h_prior,0.01,0.01,29,29,1.0,3.3275,3.0374999999999996,0.11474137931034484,0.10474137931034481,0.08521406549715103,-1.0244999999999997,0.3103448275862069,0.17427115987460812,0.19560344827586207,True,0.0,-0.09682758620689658,0.11035040828329296,True,False,False
24h_prior__tau_0.020,24h_prior,0.02,0.01,29,29,1.0,3.3275,3.0374999999999996,0.11474137931034484,0.10474137931034481,0.08521406549715103,-1.0244999999999997,0.3103448275862069,0.17427115987460812,0.19560344827586207,True,0.0,-0.09682758620689658,0.11035040828329296,True,False,False
24h_prior__tau_0.030,24h_prior,0.03,0.01,29,29,1.0,3.3275,3.0374999999999996,0.11474137931034484,0.10474137931034481,0.08521406549715103,-1.0244999999999997,0.3103448275862069,0.17427115987460812,0.19560344827586207,True,0.0,-0.09682758620689658,0.11035040828329296,True,False,False
24h_prior__tau_0.050,24h_prior,0.05,0.01,29,28,0.9655172413793104,3.3745,3.0945,0.11636206896551723,0.10670689655172413,0.08510342345070737,-1.0244999999999997,0.32142857142857145,0.17928409090909087,0.2009107142857143,True,0.0,-0.09486206896551726,0.1104501366903682,True,False,False
24h_prior__tau_0.075,24h_prior,0.075,0.01,29,25,0.8620689655172413,3.7300000000000004,3.48,0.12862068965517243,0.12,0.08397780392296611,-0.935,0.36,0.19410909090909087,0.21080000000000002,True,0.0,-0.08156896551724141,0.11075422053845176,True,False,True
24h_prior__tau_0.100,24h_prior,0.1,0.01,29,22,0.7586206896551724,2.4149999999999996,2.1950000000000003,0.0832758620689655,0.0756896551724138,0.07566642104991582,-1.4740000000000002,0.3181818181818182,0.2088636363636363,0.2084090909090909,True,0.0,-0.12587931034482763,0.09754789039580851,False,False,False
24h_prior__tau_0.150,24h_prior,0.15,0.01,29,16,0.5517241379310345,2.835,2.6750000000000003,0.09775862068965517,0.09224137931034483,0.06649404405293255,-0.7090000000000001,0.375,0.23872159090909087,0.19781250000000003,True,0.0,-0.10932758620689655,0.09349033259162366,False,False,False
24h_prior__tau_0.200,24h_prior,0.2,0.01,29,10,0.3448275862068966,0.6609999999999999,0.5609999999999998,0.02279310344827586,0.01934482758620689,0.04368270407298807,-0.6050000000000001,0.3,0.27500909090909087,0.2339,True,0.0,-0.18222413793103454,0.08027613820987496,False,False,False
12h_prior__tau_0.000,12h_prior,0.0,0.01,29,29,1.0,4.544499999999999,4.254499999999999,0.15670689655172412,0.14670689655172411,0.08119718259493694,-0.8175000000000002,0.3448275862068966,0.15554702194357362,0.18812068965517248,True,1.0,-0.05486206896551727,0.08933380934982325,True,False,False
12h_prior__tau_0.010,12h_prior,0.01,0.01,29,29,1.0,4.544499999999999,4.254499999999999,0.15670689655172412,0.14670689655172411,0.08119718259493694,-0.8175000000000002,0.3448275862068966,0.15554702194357362,0.18812068965517248,True,1.0,-0.05486206896551727,0.08933380934982325,True,False,False
12h_prior__tau_0.020,12h_prior,0.02,0.01,29,29,1.0,4.544499999999999,4.254499999999999,0.15670689655172412,0.14670689655172411,0.08119718259493694,-0.8175000000000002,0.3448275862068966,0.15554702194357362,0.18812068965517248,True,1.0,-0.05486206896551727,0.08933380934982325,True,False,False
12h_prior__tau_0.030,12h_prior,0.03,0.01,29,29,1.0,4.544499999999999,4.254499999999999,0.15670689655172412,0.14670689655172411,0.08119718259493694,-0.8175000000000002,0.3448275862068966,0.15554702194357362,0.18812068965517248,True,1.0,-0.05486206896551727,0.08933380934982325,True,False,False
12h_prior__tau_0.050,12h_prior,0.05,0.01,29,25,0.8620689655172413,5.192499999999999,4.9425,0.179051724137931,0.17043103448275862,0.07769092454233356,-0.7395000000000002,0.4,0.17300909090909086,0.1923,True,1.0,-0.031137931034482775,0.09036727501938079,True,False,False
12h_prior__tau_0.075,12h_prior,0.075,0.01,29,21,0.7241379310344828,3.747,3.5369999999999995,0.12920689655172413,0.12196551724137929,0.07211211394237435,-0.7395000000000002,0.38095238095238093,0.1936233766233766,0.20252380952380952,True,1.0,-0.07960344827586205,0.08648826189367055,True,False,False
12h_prior__tau_0.100,12h_prior,0.1,0.01,29,19,0.6551724137931034,3.252,3.0619999999999994,0.11213793103448275,0.10558620689655171,0.06985373119367551,-1.0245,0.3684210526315789,0.2052248803827751,0.19726315789473683,True,1.0,-0.0959827586206897,0.08832813417826135,False,False,False
12h_prior__tau_0.150,12h_prior,0.15,0.01,29,13,0.4482758620689655,2.057,1.927,0.07093103448275861,0.06644827586206897,0.05904696377921631,-0.8945000000000001,0.3076923076923077,0.24529370629370628,0.14946153846153848,True,1.0,-0.13512068965517243,0.095759617502985,False,False,False
12h_prior__tau_0.200,12h_prior,0.2,0.01,29,9,0.3103448275862069,2.1119999999999997,2.022,0.07282758620689654,0.06972413793103448,0.0512547281623305,-0.43949999999999995,0.3333333333333333,0.27668686868686865,0.09866666666666667,True,1.0,-0.13184482758620691,0.0927343194539453,False,False,False
