chronology_block,selected_strategy,selected_rule,edge_threshold,cost_per_trade,calendar_dates,trade_count,cumulative_net_payoff,mean_calendar_date_net_payoff,standard_error_calendar_date_net_payoff
holdout,24h_prior__tau_0.075,24h_prior,0.075,0.0,10,4,0.6045,0.060450000000000004,0.07746958005135521
holdout,24h_prior__tau_0.075,24h_prior,0.075,0.005,10,4,0.5845,0.05845,0.07721335700511926
holdout,24h_prior__tau_0.075,24h_prior,0.075,0.01,10,4,0.5645,0.05645,0.0769649433183706
holdout,24h_prior__tau_0.075,24h_prior,0.075,0.02,10,4,0.5245,0.05245,0.0764918459706654
holdout,24h_prior__tau_0.075,24h_prior,0.075,0.03,10,4,0.48450000000000004,0.04845000000000001,0.07605087661120898
external_test,24h_prior__tau_0.075,24h_prior,0.075,0.0,30,26,-0.3210000000000002,-0.010700000000000006,0.047522224685724264
external_test,24h_prior__tau_0.075,24h_prior,0.075,0.005,30,26,-0.4510000000000002,-0.01503333333333334,0.04752844842788039
external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,30,26,-0.5810000000000003,-0.019366666666666678,0.04753676697630359
external_test,24h_prior__tau_0.075,24h_prior,0.075,0.02,30,26,-0.8409999999999997,-0.028033333333333323,0.047559683818379356
external_test,24h_prior__tau_0.075,24h_prior,0.075,0.03,30,26,-1.101,-0.036699999999999997,0.047590963113966725
