target_date,chronology_block,selected_strategy,selected_rule,edge_threshold,selection_cost_per_trade,market_support_available,trade,model_probability,p_market,edge,realised_yes,event_label,lower_bound_c,upper_bound_c,gross_payoff,net_payoff
2026-06-01,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.095,0.2259090909090908,0.0,30°C,30.0,31.0,-0.095,-0.105
2026-06-02,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2309090909090908,0.125,0.10590909090909079,0.0,34°C or higher,34.0,,-0.125,-0.135
2026-06-03,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.1009090909090908,0.0125,0.0884090909090908,0.0,30°C,30.0,31.0,-0.0125,-0.0225
2026-06-04,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.7809090909090908,0.59,0.1909090909090908,1.0,34°C or higher,34.0,,0.41000000000000003,0.4
2026-06-05,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3709090909090908,0.19,0.1809090909090908,0.0,36°C or higher,36.0,,-0.19,-0.2
2026-06-06,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,False,False,,,,,,,,0.0,0.0
2026-06-07,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,False,False,,,,,,,,0.0,0.0
2026-06-08,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,False,False,,,,,,,,0.0,0.0
2026-06-09,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.115,0.20590909090909082,0.0,27°C,27.0,28.0,-0.115,-0.125
2026-06-10,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2009090909090908,0.05,0.15090909090909077,0.0,32°C,32.0,33.0,-0.05,-0.060000000000000005
2026-06-11,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.23,0.0909090909090908,0.0,28°C,28.0,29.0,-0.23,-0.24000000000000002
2026-06-12,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2809090909090909,0.18,0.10090909090909089,0.0,28°C,28.0,29.0,-0.18,-0.19
2026-06-13,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2409090909090908,0.071,0.1699090909090908,0.0,32°C,32.0,33.0,-0.071,-0.08099999999999999
2026-06-14,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2409090909090908,0.145,0.0959090909090908,0.0,31°C,31.0,32.0,-0.145,-0.155
2026-06-15,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2009090909090908,0.061,0.1399090909090908,0.0,31°C,31.0,32.0,-0.061,-0.071
2026-06-16,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2809090909090909,0.13,0.15090909090909088,1.0,27°C,27.0,28.0,0.87,0.86
2026-06-17,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2509090909090908,0.165,0.0859090909090908,0.0,27°C,27.0,28.0,-0.165,-0.17500000000000002
2026-06-18,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.115,0.20590909090909082,0.0,27°C,27.0,28.0,-0.115,-0.125
2026-06-19,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,False,0.2309090909090908,0.18,0.05090909090909079,0.0,32°C,32.0,33.0,0.0,0.0
2026-06-20,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.1809090909090908,0.09,0.0909090909090908,0.0,33°C,33.0,34.0,-0.09,-0.09999999999999999
2026-06-21,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.16,0.1609090909090908,0.0,31°C,31.0,32.0,-0.16,-0.17
2026-06-22,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2509090909090908,0.14,0.11090909090909079,0.0,31°C,31.0,32.0,-0.14,-0.15000000000000002
2026-06-23,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2109090909090908,0.08,0.1309090909090908,0.0,31°C,31.0,32.0,-0.08,-0.09
2026-06-24,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2509090909090908,0.16,0.0909090909090908,1.0,32°C,32.0,33.0,0.84,0.83
2026-06-25,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.1809090909090908,0.095,0.0859090909090908,0.0,34°C,34.0,35.0,-0.095,-0.105
2026-06-26,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2109090909090908,0.1,0.11090909090909079,0.0,33°C,33.0,34.0,-0.1,-0.11
2026-06-27,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.0135,0.3074090909090908,0.0,28°C,28.0,29.0,-0.0135,-0.0235
2026-06-28,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.2009090909090908,0.05,0.15090909090909077,0.0,32°C,32.0,33.0,-0.05,-0.060000000000000005
2026-06-29,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.0809090909090909,0.003,0.0779090909090909,0.0,28°C,28.0,29.0,-0.003,-0.013000000000000001
2026-06-30,external_test,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,True,0.3209090909090908,0.155,0.1659090909090908,0.0,30°C,30.0,31.0,-0.155,-0.165
2026-05-22,holdout,24h_prior__tau_0.075,24h_prior,0.075,0.01,True,False,0.4609090909090908,0.405,0.0559090909090908,1.0,31°C or higher,31.0,,0.0,0.0
