target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-05-22,holdout,24h_prior,2.1999999999999993,0.3856328435873885,1,1.8143671564126107,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-23,holdout,24h_prior,0.6000000000000014,0.6992692072237502,1,-0.09926920722374877,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-24,holdout,24h_prior,1.8999999999999986,0.3209863789409281,1,1.5790136210590706,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-25,holdout,24h_prior,2.3000000000000007,0.41694597490051943,1,1.8830540250994812,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-26,holdout,24h_prior,1.8999999999999986,0.3209863789409285,1,1.5790136210590702,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-27,holdout,24h_prior,2.900000000000002,0.6843702173247651,1,2.215629782675237,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-28,holdout,24h_prior,2.1999999999999993,0.38563284358738825,1,1.8143671564126111,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-29,holdout,24h_prior,0.3999999999999986,0.829824762779309,1,-0.4298247627793105,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-30,holdout,24h_prior,2.8000000000000007,0.6278045607591052,1,2.1721954392408955,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-31,holdout,24h_prior,0.6999999999999993,0.6376530456075915,1,0.06234695439240778,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,0
2026-05-22,holdout,12h_prior,2.3999999999999986,0.4500267829813299,1,1.9499732170186688,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-23,holdout,12h_prior,1.1999999999999993,0.39687021732476435,1,0.8031297826752349,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-24,holdout,12h_prior,1.8000000000000007,0.3093702173247631,1,1.4906297826752377,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-25,holdout,12h_prior,2.1999999999999993,0.38563284358739036,1,1.814367156412609,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-26,holdout,12h_prior,1.6999999999999993,0.3022995102540559,1,1.3977004897459433,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-27,holdout,12h_prior,2.6000000000000014,0.5298247627793108,1,2.0701752372206905,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
2026-05-28,holdout,12h_prior,1.7999999999999972,0.3093702173247649,1,1.4906297826752324,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,0
