estimand,estimand_label,chronology_block,settlement_dates,source_rows,mean_effect,standard_deviation,standard_error,median_effect,minimum_effect,maximum_effect,positive_effect_dates,zero_effect_dates,negative_effect_dates,positive_effect_share,bootstrap_method,bootstrap_replicates,confidence_level,bootstrap_lower,bootstrap_median,bootstrap_upper,bootstrap_probability_positive,sign_flip_method,sign_flip_repetitions,sign_flip_two_sided_p_value,positive_effect_interpretation,estimand_order,block_order
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,40,1.4111127372206909,0.7396817495188076,0.23390790721375881,1.5266146311600837,-0.3011315809611269,2.1792661463116003,9,0,1,0.9,nonparametric settlement-date bootstrap,20000,0.95,0.9386032675237214,1.422572648836852,1.7946263893671566,1.0,exact,1024,0.00390625,positive values favour the locked weather model,0,0
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,30,119,1.1960033096112639,0.8151786450266003,0.14883057742585515,1.2148564240893767,-0.8119270355065848,2.3908507422711964,27,0,3,0.9,nonparametric settlement-date bootstrap,20000,0.95,0.9007976330540253,1.1966483011937559,1.4810708601163132,1.0,monte_carlo,100000,9.99990000099999e-06,positive values favour the locked weather model,0,1
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,10,40,-0.14071367167779283,0.463020554846598,0.14641995567901644,-0.36160661722679566,-0.5206303585713308,0.8160739159885251,3,0,7,0.3,nonparametric settlement-date bootstrap,20000,0.95,-0.38850197044429635,-0.14764925435399262,0.14966137354314613,0.15825,exact,1024,0.357421875,positive values favour the locked weather model,1,0
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,30,119,-0.5219251299701599,0.5752946665625975,0.10503395536291589,-0.3807199256898277,-2.980167779102196,0.6480113007525761,1,0,29,0.03333333333333333,nonparametric settlement-date bootstrap,20000,0.95,-0.7459176587220544,-0.513085166290274,-0.34333818014830003,0.0,monte_carlo,100000,9.99990000099999e-06,positive values favour the locked weather model,1,1
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,10,40,-0.0010899107233955873,0.0011564683067518552,0.0003657073891134144,-0.0005468472604836516,-0.003158305274971962,8.30680542801554e-05,1,0,9,0.1,nonparametric settlement-date bootstrap,20000,0.95,-0.0018099913911845608,-0.0010826992143658897,-0.0004562431512090888,0.0,exact,1024,0.00390625,positive values favour the locked weather model,2,0
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,30,119,-0.0005767702842112782,0.001309199613652341,0.0002390260535581452,-0.0007137358432812713,-0.003052142638506311,0.00309685746352395,8,0,22,0.26666666666666666,nonparametric settlement-date bootstrap,20000,0.95,-0.0010156190227186776,-0.0005836601140472317,-9.665730254272753e-05,0.00935,monte_carlo,100000,0.023089769102308977,positive values favour the locked weather model,2,1
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,10,40,-0.049363979948785296,0.36523422134778444,0.11549720188970916,-0.09850525950793088,-0.471211693437279,0.7727841423324706,4,0,6,0.4,nonparametric settlement-date bootstrap,20000,0.95,-0.24668128274903992,-0.05588238817335156,0.18108748275522635,0.3089,exact,1024,0.6875,positive values favour the locked weather model,3,0
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,30,114,-0.2897315429597503,0.48641701120949327,0.08880718979789423,-0.32512565783173764,-2.2007230454987377,0.6806301155404211,6,0,24,0.2,nonparametric settlement-date bootstrap,20000,0.95,-0.47024409988787896,-0.28485597148748604,-0.13236771514929663,0.00015,monte_carlo,100000,0.0006299937000629993,positive values favour the locked weather model,3,1
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,10,40,0.00078064151625869,0.1735135947242698,0.05486981643320683,-0.050968081125299575,-0.18243402090947913,0.3410388250786791,5,0,5,0.5,nonparametric settlement-date bootstrap,20000,0.95,-0.09349633341256189,-0.0016986987274994147,0.10908793802921092,0.4863,exact,1024,0.9921875,positive values favour the locked weather model,4,0
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,30,114,-0.0723386228972962,0.1566313323614533,0.028596837982152297,-0.11357755523684682,-0.3430684362586599,0.2874415991691279,7,0,23,0.23333333333333334,nonparametric settlement-date bootstrap,20000,0.95,-0.1253773817899971,-0.07302437926803074,-0.01588784426333349,0.0067,monte_carlo,100000,0.017439825601743984,positive values favour the locked weather model,4,1
trading_net_payoff,Locked strategy net payoff,holdout,10,10,0.05645,0.24338452087180892,0.0769649433183706,0.0,-0.325,0.61,2,6,2,0.2,nonparametric settlement-date bootstrap,20000,0.95,-0.06955,0.05635,0.2105,0.72085,exact,1024,0.75,positive values favour the locked trading strategy,5,0
trading_net_payoff,Locked strategy net payoff,external_test,30,30,-0.019366666666666664,0.2603695958378812,0.04753676697630359,-0.09499999999999995,-0.24,0.86,3,4,23,0.1,nonparametric settlement-date bootstrap,20000,0.95,-0.09878333333333332,-0.023558333333333317,0.07898333333333332,0.31425,monte_carlo,100000,0.6865931340686593,positive values favour the locked trading strategy,5,1
