target_date,historical_hko_daily_max_c,reacquired_hko_daily_max_c,difference_c,exact_match
2024-03-16,22.4,22.4,0.0000000000,True
2024-03-17,26.8,26.8,0.0000000000,True
2024-03-18,23.0,23.0,0.0000000000,True
2024-03-19,24.6,24.6,0.0000000000,True
2024-03-20,24.3,24.3,0.0000000000,True
2024-03-21,23.8,23.8,0.0000000000,True
2024-03-22,25.9,25.9,0.0000000000,True
2024-03-23,29.1,29.1,0.0000000000,True
2024-03-24,31.5,31.5,0.0000000000,True
2024-03-25,28.9,28.9,0.0000000000,True
2024-03-26,30.3,30.3,0.0000000000,True
2024-03-27,25.1,25.1,0.0000000000,True
2024-03-28,27.9,27.9,0.0000000000,True
2024-03-29,30.0,30.0,0.0000000000,True
2024-03-30,30.8,30.8,0.0000000000,True
2024-03-31,27.8,27.8,0.0000000000,True
2024-04-01,29.1,29.1,0.0000000000,True
2024-04-02,28.9,28.9,0.0000000000,True
2024-04-03,28.9,28.9,0.0000000000,True
2024-04-04,28.5,28.5,0.0000000000,True
2024-04-05,29.3,29.3,0.0000000000,True
2024-04-06,25.4,25.4,0.0000000000,True
2024-04-07,28.3,28.3,0.0000000000,True
2024-04-08,28.8,28.8,0.0000000000,True
2024-04-09,24.3,24.3,0.0000000000,True
2024-04-10,26.8,26.8,0.0000000000,True
2024-04-11,27.7,27.7,0.0000000000,True
2024-04-12,30.2,30.2,0.0000000000,True
2024-04-13,31.9,31.9,0.0000000000,True
2024-04-14,31.4,31.4,0.0000000000,True
2024-04-15,30.3,30.3,0.0000000000,True
2024-04-16,31.4,31.4,0.0000000000,True
2024-04-17,30.9,30.9,0.0000000000,True
2024-04-18,29.5,29.5,0.0000000000,True
2024-04-19,29.9,29.9,0.0000000000,True
2024-04-20,29.5,29.5,0.0000000000,True
2024-04-21,27.2,27.2,0.0000000000,True
2024-04-22,26.9,26.9,0.0000000000,True
2024-04-23,27.2,27.2,0.0000000000,True
2024-04-24,27.8,27.8,0.0000000000,True
2024-04-25,28.5,28.5,0.0000000000,True
2024-04-26,29.0,29.0,0.0000000000,True
2024-04-27,30.2,30.2,0.0000000000,True
2024-04-28,28.3,28.3,0.0000000000,True
2024-04-29,29.9,29.9,0.0000000000,True
2024-04-30,30.5,30.5,0.0000000000,True
2024-05-01,24.5,24.5,0.0000000000,True
2024-05-02,25.6,25.6,0.0000000000,True
2024-05-03,24.8,24.8,0.0000000000,True
2024-05-04,25.4,25.4,0.0000000000,True
2024-05-05,28.3,28.3,0.0000000000,True
2024-05-06,31.9,31.9,0.0000000000,True
2024-05-07,31.0,31.0,0.0000000000,True
2024-05-08,30.3,30.3,0.0000000000,True
2024-05-09,28.5,28.5,0.0000000000,True
2024-05-10,26.9,26.9,0.0000000000,True
2024-05-11,30.0,30.0,0.0000000000,True
2024-05-12,30.7,30.7,0.0000000000,True
2024-05-13,30.3,30.3,0.0000000000,True
2024-05-14,29.2,29.2,0.0000000000,True
2024-05-15,30.5,30.5,0.0000000000,True
2024-05-16,29.2,29.2,0.0000000000,True
2024-05-17,28.5,28.5,0.0000000000,True
