analysis_period,source,books,dates,binary_brier,binary_log,categorical_log,multiclass_brier
market_development,static,389,101,0.0669119892,0.2154844325,1.5266039535,0.7360318809
market_development,selected_gp,389,101,0.0675183198,0.2184640104,1.5544686394,0.7427015181
market_development,pool,389,101,0.0638508609,0.2042215789,1.4244771491,0.7023594699
market_development,market,389,101,0.0645286125,0.2061498179,1.4376775031,0.7078165998
external_validation,static,243,61,0.0719360753,0.2371252053,1.7224600671,0.7912968285
external_validation,selected_gp,243,61,0.0720678839,0.2377387074,1.7282097163,0.7927467226
external_validation,pool,243,61,0.0680996168,0.2219073785,1.5809013491,0.7490957851
external_validation,market,243,61,0.0685325532,0.2243678680,1.6030634514,0.7528285769
all_exact_support,static,632,162,0.0688037747,0.2236331186,1.6003522432,0.7568415217
all_exact_support,selected_gp,632,162,0.0692314273,0.2257217667,1.6198896622,0.7615457000
all_exact_support,pool,632,162,0.0654507011,0.2108810467,1.4833776195,0.7199577121
all_exact_support,market,632,162,0.0660362692,0.2130097010,1.4999524589,0.7247655542
