analysis_period,decision_rule,event_rows,dates,mean_binary_brier,mean_binary_log,mean_raw_yes,outcome_rate,median_record_age_hours,p95_record_age_hours
market_development,24h_prior,1009,93,0.0664257921,0.2110589768,0.0963721506,0.0921704658,0.9977777778,4.9837777778
market_development,12h_prior,1088,99,0.0643015032,0.2061089122,0.0958014706,0.0909926471,0.9980555556,3.9931944444
market_development,6h_prior,1110,101,0.0632876973,0.2022969908,0.0947666667,0.0909909910,0.9980555556,2.9862638889
market_development,event_day_open,1111,101,0.0630780722,0.1993943182,0.0951552655,0.0909090909,0.9977777778,4.9856944444
external_validation,24h_prior,671,61,0.0713785514,0.2415298643,0.0956795827,0.0909090909,0.9963888889,0.9988888889
external_validation,12h_prior,682,62,0.0685648226,0.2285519630,0.0942727273,0.0909090909,0.9969444444,0.9988888889
external_validation,6h_prior,682,62,0.0668844289,0.2149428853,0.0942038123,0.0909090909,0.9966666667,0.9988888889
external_validation,event_day_open,682,62,0.0667920561,0.2106022602,0.0948731672,0.0909090909,0.9963888889,0.9988888889
all_market_period,24h_prior,1680,154,0.0684039478,0.2232291944,0.0960955357,0.0916666667,0.9972222222,1.9911388889
all_market_period,12h_prior,1770,161,0.0659442059,0.2147564606,0.0952124294,0.0909604520,0.9977777778,2.9843194444
all_market_period,6h_prior,1792,163,0.0646565427,0.2071097698,0.0945524554,0.0909598214,0.9975000000,1.9990138889
all_market_period,event_day_open,1793,163,0.0644907532,0.2036574618,0.0950479643,0.0909090909,0.9975000000,2.9971666667
