analysis_period,metric,source_a,source_b,n_dates,mean_a_minus_b,ordinary_lower_95,ordinary_upper_95,block7_lower_95,block7_upper_95,replications
market_development,binary_brier,static,market,101,0.0023833766,-0.0014120313,0.0060698275,-0.0012460947,0.0058213780,10000
market_development,binary_brier,selected_gp,market,101,0.0029897073,-0.0007404191,0.0065985054,-0.0005450340,0.0062471842,10000
market_development,binary_brier,pool,market,101,-0.0006777516,-0.0014808174,0.0000917932,-0.0014757410,0.0000559875,10000
market_development,binary_brier,selected_gp,static,101,0.0006063307,-0.0002594313,0.0016157759,-0.0002571356,0.0016960236,10000
market_development,binary_log,static,market,101,0.0093346146,-0.0035432537,0.0217126521,-0.0054917672,0.0227843677,10000
market_development,binary_log,selected_gp,market,101,0.0123141924,-0.0000531023,0.0240709382,-0.0019731003,0.0253404180,10000
market_development,binary_log,pool,market,101,-0.0019282390,-0.0053352286,0.0010917483,-0.0057649980,0.0014896479,10000
market_development,binary_log,selected_gp,static,101,0.0029795778,0.0000800927,0.0061995841,0.0000762722,0.0065493515,10000
market_development,categorical_log,static,market,101,0.0889264504,-0.0244406253,0.1987238422,-0.0462362479,0.2125183994,10000
market_development,categorical_log,selected_gp,market,101,0.1167911363,0.0040826894,0.2227600758,-0.0114883354,0.2350834296,10000
market_development,categorical_log,pool,market,101,-0.0132003540,-0.0452143192,0.0140147149,-0.0502105190,0.0187286687,10000
market_development,categorical_log,selected_gp,static,101,0.0278646859,0.0027717839,0.0568441228,0.0029319650,0.0581477002,10000
market_development,multiclass_brier,static,market,101,0.0282152810,-0.0113957151,0.0687867843,-0.0113014055,0.0647119847,10000
market_development,multiclass_brier,selected_gp,market,101,0.0348849183,-0.0044062976,0.0726745323,-0.0041609972,0.0716294923,10000
market_development,multiclass_brier,pool,market,101,-0.0054571299,-0.0128543686,0.0017429517,-0.0130805594,0.0015449112,10000
market_development,multiclass_brier,selected_gp,static,101,0.0066696372,-0.0030788787,0.0179993183,-0.0028789217,0.0191227032,10000
external_validation,binary_brier,static,market,61,0.0034035221,-0.0008355915,0.0075068500,-0.0005120360,0.0073438107,10000
external_validation,binary_brier,selected_gp,market,61,0.0035353307,-0.0008009982,0.0075144031,-0.0002279407,0.0075187076,10000
external_validation,binary_brier,pool,market,61,-0.0004329364,-0.0013811061,0.0004664279,-0.0012487429,0.0004050178,10000
external_validation,binary_brier,selected_gp,static,61,0.0001318086,-0.0002052259,0.0004495851,-0.0002464815,0.0004744295,10000
external_validation,binary_log,static,market,61,0.0127573373,-0.0051985547,0.0289014123,-0.0042603780,0.0289005575,10000
external_validation,binary_log,selected_gp,market,61,0.0133708395,-0.0040570814,0.0295213067,-0.0032345297,0.0300258314,10000
external_validation,binary_log,pool,market,61,-0.0024604895,-0.0078052949,0.0021476836,-0.0077506943,0.0022089711,10000
external_validation,binary_log,selected_gp,static,61,0.0006135022,-0.0008719030,0.0020016988,-0.0012417913,0.0022502885,10000
external_validation,categorical_log,static,market,61,0.1193966157,-0.0453991430,0.2713269825,-0.0438737088,0.2737265658,10000
external_validation,categorical_log,selected_gp,market,61,0.1251462649,-0.0412855767,0.2783302082,-0.0356776141,0.2809793132,10000
external_validation,categorical_log,pool,market,61,-0.0221621022,-0.0764037715,0.0226159891,-0.0756902560,0.0237675066,10000
external_validation,categorical_log,selected_gp,static,61,0.0057496492,-0.0090118571,0.0190461722,-0.0123590983,0.0213437812,10000
external_validation,multiclass_brier,static,market,61,0.0384682516,-0.0071973148,0.0826195940,-0.0033285023,0.0808982429,10000
external_validation,multiclass_brier,selected_gp,market,61,0.0399181457,-0.0054535678,0.0825645653,0.0000226785,0.0820612275,10000
external_validation,multiclass_brier,pool,market,61,-0.0037327919,-0.0122889579,0.0042060426,-0.0110011388,0.0035564448,10000
external_validation,multiclass_brier,selected_gp,static,61,0.0014498941,-0.0021634498,0.0050744022,-0.0026587303,0.0052661212,10000
