domain,metric,source,development,external,external_minus_development
market_distance,date_balanced_tv,raw,0.8662289126,0.8681170573,0.0018881447
market_distance,date_balanced_tv,selected_gp,0.2847338684,0.2991644139,0.0144305455
market_distance,date_balanced_tv,static,0.2782686941,0.2967861985,0.0185175044
proper_score,categorical_log,market,1.4376775031,1.6030634514,0.1653859483
proper_score,categorical_log,pool,1.4244771491,1.5809013491,0.1564242000
proper_score,categorical_log,selected_gp,1.5544686394,1.7282097163,0.1737410769
proper_score,categorical_log,static,1.5266039535,1.7224600671,0.1958561136
proper_score,multiclass_brier,market,0.7078165998,0.7528285769,0.0450119771
proper_score,multiclass_brier,pool,0.7023594699,0.7490957851,0.0467363152
proper_score,multiclass_brier,selected_gp,0.7427015181,0.7927467226,0.0500452045
proper_score,multiclass_brier,static,0.7360318809,0.7912968285,0.0552649476
support,complete_date_rule_books,all,389.0000000000,247.0000000000,-142.0000000000
support,exact_common_dates,all,101.0000000000,62.0000000000,-39.0000000000
support,score_ready_dates,all,101.0000000000,61.0000000000,-40.0000000000
trading,mean_daily_net_pnl,raw,-0.0911833333,-0.0049666667,0.0862166666
trading,mean_daily_net_pnl,selected_gp,0.0274611111,0.0408500000,0.0133888889
trading,mean_daily_net_pnl,static,0.0222888889,0.0380166667,0.0157277778
trading,settlement_date_sharpe,raw,-0.3885452181,-0.0155557272,0.3729894909
trading,settlement_date_sharpe,selected_gp,0.1372323309,0.1938578189,0.0566254880
trading,settlement_date_sharpe,static,0.1236308154,0.1794603390,0.0558295236
trading,total_net_pnl,raw,-8.2065000000,-0.2980000000,7.9085000000
trading,total_net_pnl,selected_gp,2.4715000000,2.4510000000,-0.0205000000
trading,total_net_pnl,static,2.0060000000,2.2810000000,0.2750000000
trading,trade_count,raw,90.0000000000,60.0000000000,-30.0000000000
trading,trade_count,selected_gp,15.0000000000,12.0000000000,-3.0000000000
trading,trade_count,static,14.0000000000,14.0000000000,0.0000000000
