domain,metric,source,development,external,external_minus_development,direction
market_probability_distance,raw_distance_closure,static,0.6787584782,0.6581265211,-0.0206319571,higher_better
market_probability_distance,raw_distance_closure,selected_gp,0.6712948919,0.6553870110,-0.0159078809,higher_better
proper_scores,categorical_log,static,1.5266039535,1.7260754853,0.1994715318,lower_better
proper_scores,categorical_log,selected_gp,1.5544686394,1.7327670539,0.1782984145,lower_better
proper_scores,categorical_log,market,1.4376775031,1.5966700000,0.1589924969,lower_better
proper_scores,categorical_log,pool,1.4244771491,1.5765316069,0.1520544578,lower_better
proper_scores,multiclass_brier,static,0.7360318809,0.7928086842,0.0567768033,lower_better
proper_scores,multiclass_brier,selected_gp,0.7427015181,0.7943983686,0.0516968505,lower_better
proper_scores,multiclass_brier,market,0.7078165998,0.7511044942,0.0432878944,lower_better
proper_scores,multiclass_brier,pool,0.7023594699,0.7480181071,0.0456586372,lower_better
trading,total_net_pnl,raw,-8.2065000000,0.3970000000,8.6035000000,higher_better
trading,total_net_pnl,static,2.0060000000,2.2810000000,0.2750000000,higher_better
trading,total_net_pnl,selected_gp,2.4715000000,2.4510000000,-0.0205000000,higher_better
trading,mean_daily_net_pnl,raw,-0.0911833333,0.0065081967,0.0976915300,higher_better
trading,mean_daily_net_pnl,static,0.0222888889,0.0373934426,0.0151045537,higher_better
trading,mean_daily_net_pnl,selected_gp,0.0274611111,0.0401803279,0.0127192168,higher_better
trading,settlement_date_sharpe,raw,-0.3885452181,0.0197787271,0.4083239452,higher_better
trading,settlement_date_sharpe,static,0.1236308154,0.1779602307,0.0543294153,higher_better
trading,settlement_date_sharpe,selected_gp,0.1372323309,0.1922287546,0.0549964237,higher_better
