sample,variable,n,spearman_rho,nominal_p_value,multiplicity_adjusted
all_settled_dates,signed_raw_temperature_error_c,61,-0.3242296241,0.0107971095,False
all_settled_dates,absolute_raw_temperature_error_c,61,-0.3345984239,0.0083969956,False
all_settled_dates,signed_gp_mean_error_c,61,-0.3261671921,0.0103080842,False
all_settled_dates,absolute_gp_mean_error_c,61,-0.3262433816,0.0102892536,False
all_settled_dates,probability_gap,61,-0.3295957190,0.0094896992,False
all_settled_dates,threshold_margin,61,-0.3295957190,0.0094896992,False
all_settled_dates,selection_margin,61,-0.2351969451,0.0680563929,False
all_settled_dates,nearest_book_boundary_distance_c,61,-0.2657489293,0.0384515436,False
all_settled_dates,weather_delta_mu,61,0.0844941406,0.5173554253,False
all_settled_dates,weather_gamma_mu,61,0.1532932470,0.2382085301,False
executed_trades_only,signed_raw_temperature_error_c,12,-0.4965034965,0.1006026318,False
executed_trades_only,absolute_raw_temperature_error_c,12,-0.4965034965,0.1006026318,False
executed_trades_only,signed_gp_mean_error_c,12,-0.5104895105,0.0899137363,False
executed_trades_only,absolute_gp_mean_error_c,12,-0.5454545455,0.0666118823,False
executed_trades_only,probability_gap,12,0.5874125874,0.0446092965,False
executed_trades_only,threshold_margin,12,0.5874125874,0.0446092965,False
executed_trades_only,selection_margin,12,0.4405594406,0.1517350357,False
executed_trades_only,nearest_book_boundary_distance_c,12,-0.3776223776,0.2262060449,False
executed_trades_only,weather_delta_mu,12,-0.0839160839,0.7954145019,False
executed_trades_only,weather_gamma_mu,12,0.0839160839,0.7954145019,False
