mean_shift_c,all_external_decision_dates,settled_external_dates,trade_count,settled_trade_count,total_gross_pnl,total_net_pnl,mean_daily_pnl,sample_sharpe,maximum_drawdown,selected_contract_switch_fraction,activation_switch_fraction
-2.0000000000,61,60,56,55,0.0170000000,-0.5330000000,-0.0088833333,-0.0672820717,1.1745000000,0.8196721311,0.7213114754
-1.9000000000,61,60,55,55,-0.0135000000,-0.5635000000,-0.0093916667,-0.0710988468,1.2050000000,0.8032786885,0.7049180328
-1.8000000000,61,60,55,55,-0.1515000000,-0.7015000000,-0.0116916667,-0.0882505050,1.2930000000,0.7540983607,0.7049180328
-1.7000000000,61,60,54,54,0.8320000000,0.2920000000,0.0048666667,0.0270965449,1.2665000000,0.7377049180,0.6885245902
-1.6000000000,61,60,53,53,0.5270000000,-0.0030000000,-0.0000500000,-0.0002763065,1.5070000000,0.6393442623,0.6721311475
-1.5000000000,61,60,47,47,0.7590000000,0.2890000000,0.0048166667,0.0267539206,1.2150000000,0.6229508197,0.5737704918
-1.4000000000,61,60,45,45,0.6090000000,0.1590000000,0.0026500000,0.0146524635,1.2890000000,0.6065573770,0.5409836066
-1.3000000000,61,60,43,43,0.6380000000,0.2080000000,0.0034666667,0.0191934514,1.2920000000,0.5737704918,0.5081967213
-1.2000000000,61,60,39,39,0.8040000000,0.4140000000,0.0069000000,0.0383315598,1.1385000000,0.5573770492,0.4426229508
-1.1000000000,61,60,36,36,-0.0545000000,-0.4145000000,-0.0069083333,-0.0550845651,0.9810000000,0.5409836066,0.3934426230
-1.0000000000,61,60,35,35,0.9300000000,0.5800000000,0.0096666667,0.0540535165,0.9810000000,0.4918032787,0.3770491803
-0.9000000000,61,60,32,32,1.0475000000,0.7275000000,0.0121250000,0.0680159710,0.8610000000,0.4918032787,0.3278688525
-0.8000000000,61,60,28,28,1.3030000000,1.0230000000,0.0170500000,0.0964447004,0.5655000000,0.4918032787,0.2622950820
-0.7000000000,61,60,25,25,0.3415000000,0.0915000000,0.0015250000,0.0117037494,0.7350000000,0.4590163934,0.2131147541
-0.6000000000,61,60,25,25,0.2955000000,0.0455000000,0.0007583333,0.0058097303,0.7810000000,0.4262295082,0.2131147541
-0.5000000000,61,60,21,21,1.3635000000,1.1535000000,0.0192250000,0.1079984915,0.6605000000,0.3770491803,0.1475409836
-0.4000000000,61,60,17,17,1.4725000000,1.3025000000,0.0217083333,0.1223263871,0.6215000000,0.3278688525,0.0819672131
-0.3000000000,61,60,15,15,1.5130000000,1.3630000000,0.0227166667,0.1282056918,0.5610000000,0.1967213115,0.0491803279
