analysis_period,estimand,source_a,source_b,bootstrap,point_total_pnl,point_mean_pnl,point_sharpe,n_dates,total_pnl_lower_95,total_pnl_upper_95,mean_pnl_lower_95,mean_pnl_upper_95,sharpe_lower_95,sharpe_upper_95
market_development,method_level,raw,,ordinary_date,-8.2065000000,-0.0911833333,-0.3885452181,90,-12.2190125000,-3.6354750000,-0.1357668056,-0.0403941667,-0.9452898908,-0.1321645385
market_development,method_level,raw,,circular_block7,-8.2065000000,-0.0911833333,-0.3885452181,90,-12.2370375000,-3.1736750000,-0.1359670833,-0.0352630556,-1.0356277429,-0.1116935286
market_development,method_level,static,,ordinary_date,2.0060000000,0.0222888889,0.1236308154,90,-0.9260500000,5.6160000000,-0.0102894444,0.0624000000,-0.1265989711,0.2575650266
market_development,method_level,static,,circular_block7,2.0060000000,0.0222888889,0.1236308154,90,-0.4985500000,5.2070000000,-0.0055394444,0.0578555556,-0.2175578665,0.2240688097
market_development,method_level,selected_gp,,ordinary_date,2.4715000000,0.0274611111,0.1372323309,90,-0.7820250000,6.4649125000,-0.0086891667,0.0718323611,-0.0776085932,0.2681925696
market_development,method_level,selected_gp,,circular_block7,2.4715000000,0.0274611111,0.1372323309,90,-0.2110125000,5.7501625000,-0.0023445833,0.0638906944,-0.0230216509,0.2329420754
external_validation,method_level,raw,,ordinary_date,-0.2980000000,-0.0049666667,-0.0155557272,60,-4.7500375000,4.7825125000,-0.0791672917,0.0797085417,-0.3585972369,0.2047445218
external_validation,method_level,raw,,circular_block7,-0.2980000000,-0.0049666667,-0.0155557272,60,-4.0535250000,4.2755000000,-0.0675587500,0.0712583333,-0.3176536682,0.1778663462
external_validation,method_level,static,,ordinary_date,2.2810000000,0.0380166667,0.1794603390,60,-0.5785250000,6.0350875000,-0.0096420833,0.1005847917,-0.4123081852,0.3223844235
external_validation,method_level,static,,circular_block7,2.2810000000,0.0380166667,0.1794603390,60,-0.0303125000,4.9620250000,-0.0005052083,0.0827004167,-0.1299901014,0.2841699260
external_validation,method_level,selected_gp,,ordinary_date,2.4510000000,0.0408500000,0.1938578189,60,-0.3805375000,6.1612500000,-0.0063422917,0.1026875000,-0.3575014385,0.3312409076
external_validation,method_level,selected_gp,,circular_block7,2.4510000000,0.0408500000,0.1938578189,60,0.3019250000,5.1620000000,0.0050320833,0.0860333333,0.0409932423,0.2963675859
market_development,paired_pnl_difference,static,raw,ordinary_date,10.2125000000,0.1134722222,0.3740640871,90,4.5329750000,15.6195500000,0.0503663889,0.1735505556,0.1466275809,0.7046794596
market_development,paired_pnl_difference,static,raw,circular_block7,10.2125000000,0.1134722222,0.3740640871,90,4.3454750000,15.6751250000,0.0482830556,0.1741680556,0.1376829264,0.7423156260
market_development,paired_pnl_difference,selected_gp,static,ordinary_date,0.4655000000,0.0051722222,0.0297228722,90,-2.6795750000,3.7730125000,-0.0297730556,0.0419223611,-0.1928306749,0.2044011103
market_development,paired_pnl_difference,selected_gp,static,circular_block7,0.4655000000,0.0051722222,0.0297228722,90,-2.4526625000,3.3901250000,-0.0272518056,0.0376680556,-0.1651182313,0.1854009557
market_development,paired_pnl_difference,selected_gp,raw,ordinary_date,10.6780000000,0.1186444444,0.4355729873,90,5.5122000000,15.6481000000,0.0612466667,0.1738677778,0.1967754530,0.8069289770
market_development,paired_pnl_difference,selected_gp,raw,circular_block7,10.6780000000,0.1186444444,0.4355729873,90,5.6014500000,15.9076375000,0.0622383333,0.1767515278,0.2076471661,0.7732737696
external_validation,paired_pnl_difference,static,raw,ordinary_date,2.5790000000,0.0429833333,0.1118450221,60,-3.4010875000,8.2010125000,-0.0566847917,0.1366835417,-0.1386951937,0.4113551033
external_validation,paired_pnl_difference,static,raw,circular_block7,2.5790000000,0.0429833333,0.1118450221,60,-3.1966125000,8.0335250000,-0.0532768750,0.1338920833,-0.1273568379,0.3978586348
external_validation,paired_pnl_difference,selected_gp,static,ordinary_date,0.1700000000,0.0028333333,0.1841413750,60,0.0000000000,0.4250000000,0.0000000000,0.0070833333,0.1290994449,0.2989881927
external_validation,paired_pnl_difference,selected_gp,static,circular_block7,0.1700000000,0.0028333333,0.1841413750,60,0.0000000000,0.4250000000,0.0000000000,0.0070833333,0.1290994449,0.2989881927
external_validation,paired_pnl_difference,selected_gp,raw,ordinary_date,2.7490000000,0.0458166667,0.1193529881,60,-3.0660250000,8.4575625000,-0.0511004167,0.1409593750,-0.1241230652,0.4340430194
external_validation,paired_pnl_difference,selected_gp,raw,circular_block7,2.7490000000,0.0458166667,0.1193529881,60,-3.0980875000,8.2422375000,-0.0516347917,0.1373706250,-0.1239112343,0.4096907874
