analysis_period,decision_rule,n,unique_dates,mean_forecast_c,mean_hko_c,mean_residual_c,forecast_bias_c,mae_c,rmse_c,median_absolute_error_c,residual_sd_c,residual_q05_c,residual_q25_c,residual_q50_c,residual_q75_c,residual_q95_c,max_absolute_error_c,forecast_hko_correlation
weather_history,24h_prior,682,682,26.0178885630,27.4244868035,1.4065982405,-1.4065982405,1.7288856305,2.1104717267,1.5000000000,1.5745499359,-1.2000000000,0.4000000000,1.4000000000,2.5000000000,4.0000000000,9.0000000000,0.9508067221
weather_history,12h_prior,681,681,25.9575624082,27.3953010279,1.4377386197,-1.4377386197,1.7346549192,2.1183728829,1.5000000000,1.5569106464,-1.2000000000,0.4000000000,1.4000000000,2.5000000000,4.0000000000,7.6000000000,0.9519882272
weather_history,6h_prior,681,681,26.0198237885,27.4443465492,1.4245227606,-1.4245227606,1.6794419971,2.0536597467,1.5000000000,1.4803618744,-1.0000000000,0.4000000000,1.5000000000,2.5000000000,3.9000000000,6.5000000000,0.9566301754
weather_history,event_day_open,682,682,26.0023460411,27.4263929619,1.4240469208,-1.4240469208,1.6794721408,2.0493329149,1.5000000000,1.4748033695,-0.9950000000,0.4000000000,1.5000000000,2.5000000000,3.8950000000,6.5000000000,0.9573011148
market_development,24h_prior,106,106,27.4283018868,29.0443396226,1.6160377358,-1.6160377358,1.7462264151,1.9725235250,1.6500000000,1.1364218526,-0.4750000000,0.9250000000,1.6500000000,2.4000000000,3.2000000000,4.6000000000,0.9076775827
market_development,12h_prior,106,106,27.3141509434,29.0443396226,1.7301886792,-1.7301886792,1.7622641509,2.0005659577,1.8000000000,1.0091174656,-0.0750000000,1.1000000000,1.8000000000,2.5000000000,3.2750000000,4.1000000000,0.9278772597
market_development,6h_prior,106,106,27.5103773585,29.0443396226,1.5339622642,-1.5339622642,1.6603773585,1.8890448820,1.6000000000,1.1077120816,-0.5000000000,1.0250000000,1.6000000000,2.3000000000,3.0750000000,3.7000000000,0.9121494233
market_development,event_day_open,106,106,27.5122641509,29.0443396226,1.5320754717,-1.5320754717,1.6584905660,1.8874461132,1.5500000000,1.1075968985,-0.5000000000,1.0250000000,1.5500000000,2.3000000000,3.0750000000,3.7000000000,0.9121569776
external_validation,24h_prior,61,61,29.7475409836,31.6442622951,1.8967213115,-1.8967213115,1.9524590164,2.2781571500,1.8000000000,1.2723950138,0.0000000000,1.0000000000,1.8000000000,2.7000000000,4.0000000000,5.0000000000,0.8356570962
external_validation,12h_prior,61,61,29.9295081967,31.6442622951,1.7147540984,-1.7147540984,1.8426229508,2.1645428851,1.8000000000,1.3318953995,-0.4000000000,0.9000000000,1.8000000000,2.5000000000,3.8000000000,5.1000000000,0.8249359954
external_validation,6h_prior,61,61,30.0786885246,31.6442622951,1.5655737705,-1.5655737705,1.6377049180,1.9597172764,1.5000000000,1.1885404559,-0.3000000000,0.8000000000,1.5000000000,2.4000000000,3.3000000000,4.3000000000,0.8576954388
external_validation,event_day_open,61,61,30.0786885246,31.6442622951,1.5655737705,-1.5655737705,1.6377049180,1.9597172764,1.5000000000,1.1885404559,-0.3000000000,0.8000000000,1.5000000000,2.4000000000,3.3000000000,4.3000000000,0.8576954388
market_mar_aug,24h_prior,167,167,28.2754491018,29.9940119760,1.7185628743,-1.7185628743,1.8215568862,2.0893513878,1.7000000000,1.1918206562,-0.1700000000,1.0000000000,1.7000000000,2.5000000000,3.5000000000,5.0000000000,0.9081304130
market_mar_aug,12h_prior,167,167,28.2694610778,29.9940119760,1.7245508982,-1.7245508982,1.7916167665,2.0619739394,1.8000000000,1.1337360706,-0.1700000000,1.0500000000,1.8000000000,2.5000000000,3.5400000000,5.1000000000,0.9182474872
market_mar_aug,6h_prior,167,167,28.4485029940,29.9940119760,1.5455089820,-1.5455089820,1.6520958084,1.9151616933,1.5000000000,1.1344393332,-0.4700000000,0.9500000000,1.5000000000,2.3500000000,3.2700000000,4.3000000000,0.9170775966
market_mar_aug,event_day_open,167,167,28.4497005988,29.9940119760,1.5443113772,-1.5443113772,1.6508982036,1.9141609065,1.5000000000,1.1343808242,-0.4700000000,0.9500000000,1.5000000000,2.3500000000,3.2700000000,4.3000000000,0.9170901089
full_available_period,24h_prior,849,849,26.4619552415,27.9299175501,1.4679623086,-1.4679623086,1.7471142521,2.1063340451,1.5000000000,1.5114299485,-1.1000000000,0.5000000000,1.5000000000,2.5000000000,3.9000000000,9.0000000000,0.9499359460
full_available_period,12h_prior,848,848,26.4128537736,27.9070754717,1.4942216981,-1.4942216981,1.7458726415,2.1073853737,1.6000000000,1.4869370935,-0.9000000000,0.5000000000,1.5000000000,2.5000000000,3.9000000000,7.6000000000,0.9515936971
full_available_period,6h_prior,848,848,26.4981132075,27.9464622642,1.4483490566,-1.4483490566,1.6740566038,2.0271331648,1.5000000000,1.4191295903,-0.9000000000,0.5000000000,1.5000000000,2.4250000000,3.8000000000,6.5000000000,0.9558308939
full_available_period,event_day_open,849,849,26.4837455830,27.9314487633,1.4477031802,-1.4477031802,1.6738515901,2.0234578388,1.5000000000,1.4145295659,-0.9000000000,0.5000000000,1.5000000000,2.5000000000,3.7600000000,6.5000000000,0.9564509496
