target_month,decision_rule,n,unique_dates,mean_forecast_c,mean_hko_c,mean_residual_c,forecast_bias_c,mae_c,rmse_c,median_absolute_error_c,residual_sd_c,residual_q05_c,residual_q25_c,residual_q50_c,residual_q75_c,residual_q95_c,max_absolute_error_c,forecast_hko_correlation
2024-03,24h_prior,16,16,25.0500000000,27.0125000000,1.9625000000,-1.9625000000,2.1750000000,2.4872173206,1.7500000000,1.5781318069,-0.7750000000,1.2500000000,1.7500000000,2.9000000000,4.3500000000,4.8000000000,0.8549633529
2024-03,12h_prior,16,16,25.1062500000,27.0125000000,1.9062500000,-1.9062500000,2.1312500000,2.4068911483,1.9000000000,1.5176599312,-0.7000000000,1.1000000000,1.9000000000,3.2000000000,3.8250000000,4.2000000000,0.8685212992
2024-03,6h_prior,16,16,25.3125000000,27.0125000000,1.7000000000,-1.7000000000,1.7125000000,2.0365411854,1.7000000000,1.1581594594,-0.0250000000,0.8500000000,1.7000000000,2.6250000000,3.1750000000,4.0000000000,0.9210332800
2024-03,event_day_open,16,16,25.3125000000,27.0125000000,1.7000000000,-1.7000000000,1.7125000000,2.0365411854,1.7000000000,1.1581594594,-0.0250000000,0.8500000000,1.7000000000,2.6250000000,3.1750000000,4.0000000000,0.9210332800
2024-04,24h_prior,30,30,27.2266666667,28.8833333333,1.6566666667,-1.6566666667,1.8166666667,2.0449123861,1.7500000000,1.2192941240,-0.6200000000,0.9500000000,1.7500000000,2.3750000000,3.2100000000,4.4000000000,0.7141407331
2024-04,12h_prior,30,30,27.2166666667,28.8833333333,1.6666666667,-1.6666666667,1.7466666667,2.0180849008,1.8500000000,1.1573850828,-0.2650000000,1.0500000000,1.8500000000,2.4750000000,3.2000000000,4.1000000000,0.7464220579
2024-04,6h_prior,30,30,27.1533333333,28.8833333333,1.7300000000,-1.7300000000,1.7833333333,1.9739132031,1.7500000000,0.9667399893,0.1150000000,1.1500000000,1.7500000000,2.3500000000,3.1100000000,3.9000000000,0.8333589064
2024-04,event_day_open,30,30,27.1533333333,28.8833333333,1.7300000000,-1.7300000000,1.7833333333,1.9739132031,1.7500000000,0.9667399893,0.1150000000,1.1500000000,1.7500000000,2.3500000000,3.1100000000,3.9000000000,0.8333589064
2024-05,24h_prior,31,31,26.9709677419,28.3322580645,1.3612903226,-1.3612903226,1.7161290323,2.0438736152,1.8000000000,1.5497693203,-0.8000000000,0.3000000000,1.6000000000,2.5500000000,3.6500000000,3.9000000000,0.6939602670
2024-05,12h_prior,31,31,27.2483870968,28.3322580645,1.0838709677,-1.0838709677,1.6774193548,1.9397372619,1.6000000000,1.6352567126,-1.5000000000,0.1000000000,1.2000000000,2.2500000000,3.2500000000,3.5000000000,0.6483803138
2024-05,6h_prior,31,31,26.8838709677,28.3322580645,1.4483870968,-1.4483870968,1.7193548387,1.9942659738,1.6000000000,1.3935257366,-0.7500000000,0.5500000000,1.6000000000,2.3000000000,3.5500000000,4.1000000000,0.7586925564
2024-05,event_day_open,31,31,26.8838709677,28.3322580645,1.4483870968,-1.4483870968,1.7193548387,1.9942659738,1.6000000000,1.3935257366,-0.7500000000,0.5500000000,1.6000000000,2.3000000000,3.5500000000,4.1000000000,0.7586925564
2024-06,24h_prior,30,30,29.0400000000,31.0433333333,2.0033333333,-2.0033333333,2.2900000000,2.6576305236,2.2000000000,1.7761801969,-0.9300000000,0.8500000000,2.2000000000,2.9000000000,4.6850000000,5.2000000000,0.7511944321
2024-06,12h_prior,30,30,28.9700000000,31.0433333333,2.0733333333,-2.0733333333,2.2466666667,2.5713809519,2.1500000000,1.5469510242,-0.6650000000,1.0000000000,2.1500000000,3.2000000000,4.1000000000,4.5000000000,0.8398254317
2024-06,6h_prior,30,30,29.0466666667,31.0433333333,1.9966666667,-1.9966666667,2.1900000000,2.5174722772,2.0500000000,1.5595055214,-0.5650000000,1.1250000000,2.0500000000,3.2500000000,4.0550000000,4.6000000000,0.8423667245
2024-06,event_day_open,30,30,29.0466666667,31.0433333333,1.9966666667,-1.9966666667,2.1900000000,2.5174722772,2.0500000000,1.5595055214,-0.5650000000,1.1250000000,2.0500000000,3.2500000000,4.0550000000,4.6000000000,0.8423667245
2024-07,24h_prior,31,31,30.3870967742,32.4032258065,2.0161290323,-2.0161290323,2.1903225806,2.5167182933,2.3000000000,1.5312515087,-0.5500000000,0.9000000000,2.3000000000,3.3000000000,3.8500000000,4.2000000000,0.5880128387
2024-07,12h_prior,31,31,30.3387096774,32.4032258065,2.0645161290,-2.0645161290,2.1806451613,2.4773815521,2.2000000000,1.3920125447,-0.3000000000,1.0500000000,2.2000000000,3.2000000000,3.7500000000,4.1000000000,0.6499869473
2024-07,6h_prior,31,31,30.2258064516,32.4032258065,2.1774193548,-2.1774193548,2.2677419355,2.5243970855,2.2000000000,1.2983860950,-0.2000000000,1.5500000000,2.2000000000,3.2000000000,3.8500000000,4.1000000000,0.6902583299
2024-07,event_day_open,31,31,30.2258064516,32.4032258065,2.1774193548,-2.1774193548,2.2677419355,2.5243970855,2.2000000000,1.2983860950,-0.2000000000,1.5500000000,2.2000000000,3.2000000000,3.8500000000,4.1000000000,0.6902583299
2024-08,24h_prior,31,31,30.8935483871,32.2612903226,1.3677419355,-1.3677419355,1.4387096774,1.7597653803,1.1000000000,1.1255775101,-0.1000000000,0.6000000000,1.1000000000,2.1000000000,3.3000000000,4.2000000000,0.8379134858
2024-08,12h_prior,31,31,30.7193548387,32.2612903226,1.5419354839,-1.5419354839,1.5677419355,1.8881634702,1.3000000000,1.1077828288,-0.1000000000,0.7000000000,1.3000000000,2.2500000000,3.3500000000,4.0000000000,0.8480175061
2024-08,6h_prior,31,31,30.6580645161,32.2612903226,1.6032258065,-1.6032258065,1.6032258065,1.9288137755,1.5000000000,1.0901020964,0.2500000000,0.7000000000,1.5000000000,2.2000000000,3.5000000000,4.3000000000,0.8550581162
2024-08,event_day_open,31,31,30.6580645161,32.2612903226,1.6032258065,-1.6032258065,1.6032258065,1.9288137755,1.5000000000,1.0901020964,0.2500000000,0.7000000000,1.5000000000,2.2000000000,3.5000000000,4.3000000000,0.8550581162
2024-09,24h_prior,28,28,30.1071428571,31.9214285714,1.8142857143,-1.8142857143,1.8214285714,2.1198045732,1.8500000000,1.1164475028,0.1050000000,0.9000000000,1.8500000000,2.7250000000,3.2650000000,4.3000000000,0.8325844987
2024-09,12h_prior,27,27,30.2259259259,31.9629629630,1.7370370370,-1.7370370370,1.7888888889,2.1646144127,1.9000000000,1.3162148960,-0.2000000000,0.6500000000,1.9000000000,2.3500000000,3.7800000000,4.5000000000,0.7785089782
2024-09,6h_prior,29,29,30.2275862069,31.9586206897,1.7310344828,-1.7310344828,1.7517241379,2.1156233287,1.8000000000,1.2378274309,-0.0600000000,0.7000000000,1.8000000000,2.7000000000,3.4600000000,3.8000000000,0.8081324734
2024-09,event_day_open,27,27,30.0740740741,31.9148148148,1.8407407407,-1.8407407407,1.8481481481,2.1880991243,1.8000000000,1.2055191219,0.0300000000,0.8500000000,1.8000000000,2.7000000000,3.4700000000,3.8000000000,0.8203620598
