analysis_period,rule_a,rule_b,common_dates,mae_a_c,mae_b_c,mae_a_minus_b_c,rmse_a_c,rmse_b_c,rmse_a_minus_b_c
weather_history,24h_prior,12h_prior,650,1.7361538462,1.7343076923,0.0018461538,2.1232377308,2.1113939981,0.0118437327
weather_history,24h_prior,6h_prior,643,1.7320373250,1.6536547434,0.0783825816,2.1151126210,2.0219056961,0.0932069250
weather_history,24h_prior,event_day_open,650,1.7375384615,1.6658461538,0.0716923077,2.1228138076,2.0334056313,0.0894081762
weather_history,12h_prior,6h_prior,659,1.7421851290,1.6691957511,0.0729893778,2.1232401443,2.0470712637,0.0761688805
weather_history,12h_prior,event_day_open,654,1.7435779817,1.6732415902,0.0703363914,2.1234348436,2.0462205034,0.0772143402
weather_history,6h_prior,event_day_open,664,1.6786144578,1.6804216867,-0.0018072289,2.0479051889,2.0506023212,-0.0026971323
market_development,24h_prior,12h_prior,106,1.7462264151,1.7622641509,-0.0160377358,1.9725235250,2.0005659577,-0.0280424327
market_development,24h_prior,6h_prior,105,1.7400000000,1.6657142857,0.0742857143,1.9680060008,1.8949808392,0.0730251616
market_development,24h_prior,event_day_open,105,1.7400000000,1.6638095238,0.0761904762,1.9680060008,1.8933718977,0.0746341031
market_development,12h_prior,6h_prior,105,1.7561904762,1.6657142857,0.0904761905,1.9963776721,1.8949808392,0.1013968329
market_development,12h_prior,event_day_open,105,1.7561904762,1.6638095238,0.0923809524,1.9963776721,1.8933718977,0.1030057744
market_development,6h_prior,event_day_open,106,1.6603773585,1.6584905660,0.0018867925,1.8890448820,1.8874461132,0.0015987688
external_validation,24h_prior,12h_prior,62,1.9274193548,1.8145161290,0.1129032258,2.2602811701,2.1470534948,0.1132276752
external_validation,24h_prior,6h_prior,62,1.9274193548,1.6209677419,0.3064516129,2.2602811701,1.9453418308,0.3149393393
external_validation,24h_prior,event_day_open,62,1.9274193548,1.6209677419,0.3064516129,2.2602811701,1.9453418308,0.3149393393
external_validation,12h_prior,6h_prior,62,1.8145161290,1.6209677419,0.1935483871,2.1470534948,1.9453418308,0.2017116640
external_validation,12h_prior,event_day_open,62,1.8145161290,1.6209677419,0.1935483871,2.1470534948,1.9453418308,0.2017116640
external_validation,6h_prior,event_day_open,62,1.6209677419,1.6209677419,0.0000000000,1.9453418308,1.9453418308,0.0000000000
market_mar_aug,24h_prior,12h_prior,168,1.8130952381,1.7815476190,0.0315476190,2.0833523809,2.0558424296,0.0275099513
market_mar_aug,24h_prior,6h_prior,167,1.8095808383,1.6491017964,0.1604790419,2.0813111943,1.9138324093,0.1674787849
market_mar_aug,24h_prior,event_day_open,167,1.8095808383,1.6479041916,0.1616766467,2.0813111943,1.9128309271,0.1684802672
market_mar_aug,12h_prior,6h_prior,167,1.7778443114,1.6491017964,0.1287425150,2.0536078957,1.9138324093,0.1397754864
market_mar_aug,12h_prior,event_day_open,167,1.7778443114,1.6479041916,0.1299401198,2.0536078957,1.9128309271,0.1407769686
market_mar_aug,6h_prior,event_day_open,168,1.6458333333,1.6446428571,0.0011904762,1.9100143355,1.9090168250,0.0009975105
