loss,rule_a,rule_b,common_dates,mean_a_minus_b_c,ordinary_lower_95_c,ordinary_upper_95_c,block7_lower_95_c,block7_upper_95_c
raw_absolute_error,24h_prior,12h_prior,308,0.0327922078,-0.0428571429,0.1087662338,-0.0402597403,0.1038961039
raw_absolute_error,24h_prior,6h_prior,302,0.0923841060,0.0076158940,0.1807947020,0.0112582781,0.1735099338
raw_absolute_error,24h_prior,event_day_open,310,0.0809677419,-0.0061370968,0.1683870968,0.0025806452,0.1583951613
raw_absolute_error,12h_prior,6h_prior,311,0.0633440514,-0.0045016077,0.1324758842,-0.0106109325,0.1401929260
raw_absolute_error,12h_prior,event_day_open,311,0.0569131833,-0.0157556270,0.1289389068,-0.0180144695,0.1363344051
raw_absolute_error,6h_prior,event_day_open,320,-0.0028125000,-0.0221875000,0.0178125000,-0.0221875000,0.0181250000
selected_gp_crps,24h_prior,12h_prior,308,0.0373413263,-0.0118844261,0.0870431001,-0.0097305513,0.0853357381
selected_gp_crps,24h_prior,6h_prior,302,0.0766363881,0.0233474973,0.1333490443,0.0189012531,0.1336919420
selected_gp_crps,24h_prior,event_day_open,310,0.0906918084,0.0358530180,0.1463785451,0.0364801636,0.1473070439
selected_gp_crps,12h_prior,6h_prior,311,0.0468912262,-0.0010429286,0.0951154842,-0.0107237983,0.1047830670
selected_gp_crps,12h_prior,event_day_open,311,0.0514349925,0.0027006471,0.1012575624,-0.0080051364,0.1106942706
selected_gp_crps,6h_prior,event_day_open,320,-0.0007010627,-0.0159687544,0.0108754344,-0.0169940569,0.0119328346
