fit_stage,block,decision_rule,kernel_family,train_start,train_end,train_rows,validation_start,validation_end,validation_calendar_dates,validation_usable_rows,response_mean_c,response_scale_c,feature_means,feature_scales,signal_variance,signal_std,length_scale,white_noise_variance,constant_near_bound,length_near_bound,noise_near_bound,log_marginal_likelihood,warning_count,warnings,jitter,n_restarts_optimizer
chronological_validation,1,24h_prior,rbf,2024-03-16,2025-03-15,348,2025-03-16,2025-06-14,91,83,1.4244252874,1.4042243176,"[0.4875441359657207, 0.01398526506118056, -0.03541377877100781, 26.0316091954023]","[0.2904061312678246, 0.7137437119248438, 0.6993712821685433, 4.793300011129812]",0.3613071133,0.6010882741,0.2623955832,0.6604835999,False,False,False,-469.0080525117,0,,0.0000000100,0
chronological_validation,1,24h_prior,matern32,2024-03-16,2025-03-15,348,2025-03-16,2025-06-14,91,83,1.4244252874,1.4042243176,"[0.4875441359657207, 0.01398526506118056, -0.03541377877100781, 26.0316091954023]","[0.2904061312678246, 0.7137437119248438, 0.6993712821685433, 4.793300011129812]",0.4224436224,0.6499566312,0.2899613308,0.6118657369,False,False,False,-467.9010872735,0,,0.0000000100,0
chronological_validation,1,12h_prior,rbf,2024-03-16,2025-03-15,354,2025-03-16,2025-06-14,91,80,1.4016949153,1.4534966441,"[0.4919570307924435, 0.009785259426838187, -0.02021800707016534, 25.95423728813559]","[0.2900597879301988, 0.7098559572187624, 0.7039886369033913, 4.861226346654911]",0.3657877394,0.6048038851,0.2360392671,0.6355517037,False,False,False,-474.0428026332,0,,0.0000000100,0
chronological_validation,1,12h_prior,matern32,2024-03-16,2025-03-15,354,2025-03-16,2025-06-14,91,80,1.4016949153,1.4534966441,"[0.4919570307924435, 0.009785259426838187, -0.02021800707016534, 25.95423728813559]","[0.2900597879301988, 0.7098559572187624, 0.7039886369033913, 4.861226346654911]",0.5061822555,0.7114648659,0.1846507318,0.4967868690,False,False,False,-471.2499663352,0,,0.0000000100,0
chronological_validation,1,6h_prior,rbf,2024-03-16,2025-03-14,352,2025-03-16,2025-06-14,91,85,1.4221590909,1.3389776874,"[0.4883819405164813, 0.0028591346085147643, -0.030054819725183455, 26.045454545454547]","[0.2884902406398695, 0.7138605512481656, 0.6996367961537202, 4.79443709585554]",0.3634773204,0.6028908031,0.6052362630,0.7168305096,False,False,False,-467.4065844793,0,,0.0000000100,0
chronological_validation,1,6h_prior,matern32,2024-03-16,2025-03-14,352,2025-03-16,2025-06-14,91,85,1.4221590909,1.3389776874,"[0.4883819405164813, 0.0028591346085147643, -0.030054819725183455, 26.045454545454547]","[0.2884902406398695, 0.7138605512481656, 0.6996367961537202, 4.79443709585554]",0.4776457920,0.6911192314,0.9064669991,0.6987454241,False,False,False,-466.8877866103,0,,0.0000000100,0
chronological_validation,1,event_day_open,rbf,2024-03-16,2025-03-14,347,2025-03-16,2025-06-14,91,84,1.4259365994,1.3301497940,"[0.48621125528716375, 0.011879428205628933, -0.036114872893977676, 26.01412103746398]","[0.2896407724328758, 0.7128588800113891, 0.700276240015515, 4.788254363233161]",0.3585210514,0.5987662744,0.5602385870,0.7074508018,False,False,False,-460.1095930801,0,,0.0000000100,0
chronological_validation,1,event_day_open,matern32,2024-03-16,2025-03-14,347,2025-03-16,2025-06-14,91,84,1.4259365994,1.3301497940,"[0.48621125528716375, 0.011879428205628933, -0.036114872893977676, 26.01412103746398]","[0.2896407724328758, 0.7128588800113891, 0.700276240015515, 4.788254363233161]",0.4729412445,0.6877072375,0.8465612780,0.6894058725,False,False,False,-459.5353069959,0,,0.0000000100,0
chronological_validation,2,24h_prior,rbf,2024-03-16,2025-06-14,431,2025-06-15,2025-09-13,91,83,1.4570765661,1.5028634050,"[0.611169450446321, 0.16358936407044064, -0.11605230186176677, 26.1661252900232]","[0.36477079719769706, 0.7165013449222658, 0.6681288842133668, 4.529948148736592]",0.4305299900,0.6561478415,0.1545580755,0.5991617118,False,False,False,-591.2726525814,0,,0.0000000100,0
chronological_validation,2,24h_prior,matern32,2024-03-16,2025-06-14,431,2025-06-15,2025-09-13,91,83,1.4570765661,1.5028634050,"[0.611169450446321, 0.16358936407044064, -0.11605230186176677, 26.1661252900232]","[0.36477079719769706, 0.7165013449222658, 0.6681288842133668, 4.529948148736592]",0.4887576188,0.6991120216,0.1754087754,0.5500290746,False,False,False,-590.0942767870,0,,0.0000000100,0
