stratum_type,stratum,nominal_coverage,n,empirical_coverage,mean_interval_width_c,coverage_minus_nominal
overall,ALL,0.5000000000,1325,0.4430188679,2.0048314181,-0.0569811321
overall,ALL,0.8000000000,1325,0.7569811321,3.8092422336,-0.0430188679
overall,ALL,0.9000000000,1325,0.8498113208,4.8891094766,-0.0501886792
overall,ALL,0.9500000000,1325,0.9381132075,5.8257332650,-0.0118867925
rule,24h_prior,0.5000000000,334,0.4461077844,2.0543701711,-0.0538922156
rule,24h_prior,0.8000000000,334,0.7544910180,3.9033674096,-0.0455089820
rule,24h_prior,0.9000000000,334,0.8353293413,5.0099178321,-0.0646706587
rule,24h_prior,0.9500000000,334,0.9191616766,5.9696852994,-0.0308383234
rule,12h_prior,0.5000000000,327,0.4097859327,2.0613019750,-0.0902140673
rule,12h_prior,0.8000000000,327,0.7553516820,3.9165380531,-0.0446483180
rule,12h_prior,0.9000000000,327,0.8623853211,5.0268221701,-0.0376146789
rule,12h_prior,0.9500000000,327,0.9449541284,5.9898280604,-0.0050458716
rule,6h_prior,0.5000000000,329,0.4559270517,1.9528170008,-0.0440729483
rule,6h_prior,0.8000000000,329,0.7507598784,3.7104132181,-0.0492401216
rule,6h_prior,0.9000000000,329,0.8480243161,4.7622638085,-0.0519756839
rule,6h_prior,0.9500000000,329,0.9483282675,5.6745873290,-0.0016717325
rule,event_day_open,0.5000000000,335,0.4597014925,1.9514013516,-0.0402985075
rule,event_day_open,0.8000000000,335,0.7671641791,3.7077234405,-0.0328358209
rule,event_day_open,0.9000000000,335,0.8537313433,4.7588115163,-0.0462686567
rule,event_day_open,0.9500000000,335,0.9402985075,5.6704736691,-0.0097014925
block,1,0.5000000000,332,0.4096385542,1.9148287689,-0.0903614458
block,1,0.8000000000,332,0.7138554217,3.6382343925,-0.0861445783
block,1,0.9000000000,332,0.8222891566,4.6696232887,-0.0777108434
block,1,0.9500000000,332,0.9156626506,5.5641993411,-0.0343373494
block,2,0.5000000000,327,0.3730886850,1.9952169765,-0.1269113150
block,2,0.8000000000,327,0.7064220183,3.7909744946,-0.0935779817
block,2,0.9000000000,327,0.8287461774,4.8656630875,-0.0712538226
block,2,0.9500000000,327,0.9418960245,5.7977951692,-0.0081039755
block,3,0.5000000000,337,0.4718100890,2.0233413059,-0.0281899110
block,3,0.8000000000,337,0.7833827893,3.8444115978,-0.0166172107
block,3,0.9000000000,337,0.8338278932,4.9342488668,-0.0661721068
block,3,0.9500000000,337,0.9258160237,5.8795201660,-0.0241839763
block,4,0.5000000000,329,0.5167173252,2.0862507791,0.0167173252
block,4,0.8000000000,329,0.8237082067,3.9639415593,0.0237082067
block,4,0.9000000000,329,0.9148936170,5.0876639116,0.0148936170
block,4,0.9500000000,329,0.9696048632,6.0623254670,0.0196048632
