validation_block,decision_rule,model,n,mean_crps_c
1,12h_prior,raw,80,1.9000000000
1,12h_prior,static,80,0.9817270194
1,12h_prior,rbf,80,1.0019442605
1,12h_prior,matern32,80,0.9960424131
1,24h_prior,raw,83,2.0373493976
1,24h_prior,static,83,1.0356274402
1,24h_prior,rbf,83,1.0512724028
1,24h_prior,matern32,83,1.0513269974
1,6h_prior,raw,85,1.9152941176
1,6h_prior,static,85,0.9340639541
1,6h_prior,rbf,85,0.9614803786
1,6h_prior,matern32,85,0.9657384190
1,event_day_open,raw,84,1.9654761905
1,event_day_open,static,84,0.9555877117
1,event_day_open,rbf,84,0.9822856798
1,event_day_open,matern32,84,0.9851586749
2,12h_prior,raw,81,2.5135802469
2,12h_prior,static,81,1.0233961847
2,12h_prior,rbf,81,1.0126773557
2,12h_prior,matern32,81,1.0082569380
2,24h_prior,raw,83,2.4662650602
2,24h_prior,static,83,0.9681027461
2,24h_prior,rbf,83,0.9619311556
2,24h_prior,matern32,83,0.9563225974
2,6h_prior,raw,80,2.4650000000
2,6h_prior,static,80,0.9767498716
2,6h_prior,rbf,80,0.9455597943
2,6h_prior,matern32,80,0.9344083613
2,event_day_open,raw,83,2.4783132530
2,event_day_open,static,83,0.9632933757
2,event_day_open,rbf,83,0.9256637874
2,event_day_open,matern32,83,0.9150256059
3,12h_prior,raw,85,1.5176470588
3,12h_prior,static,85,0.9438305082
3,12h_prior,rbf,85,0.8991016262
3,12h_prior,matern32,85,0.8948340265
3,24h_prior,raw,85,1.5752941176
3,24h_prior,static,85,1.0252094459
3,24h_prior,rbf,85,0.9821911523
3,24h_prior,matern32,85,0.9806412768
3,6h_prior,raw,82,1.5329268293
3,6h_prior,static,82,0.9232261972
3,6h_prior,rbf,82,0.8642263862
3,6h_prior,matern32,82,0.8780304344
3,event_day_open,raw,85,1.4564705882
3,event_day_open,static,85,0.9359301604
3,event_day_open,rbf,85,0.8954416272
3,event_day_open,matern32,85,0.9095436114
4,12h_prior,raw,81,1.2827160494
4,12h_prior,static,81,0.9003876200
4,12h_prior,rbf,81,0.8825628656
4,12h_prior,matern32,81,0.8666526967
4,24h_prior,raw,83,1.1698795181
4,24h_prior,static,83,0.9410350992
4,24h_prior,rbf,83,0.9017386261
4,24h_prior,matern32,83,0.8757295597
4,6h_prior,raw,82,1.1463414634
4,6h_prior,static,82,0.9220248068
4,6h_prior,rbf,82,0.8834252605
4,6h_prior,matern32,82,0.8270000686
4,event_day_open,raw,83,1.1277108434
4,event_day_open,static,83,0.8824914673
4,event_day_open,rbf,83,0.8239975405
4,event_day_open,matern32,83,0.7641059498
ALL,12h_prior,raw,327,1.7996941896
ALL,12h_prior,static,327,0.9620496726
ALL,12h_prior,rbf,327,0.9482985841
ALL,12h_prior,matern32,327,0.9407093753
ALL,24h_prior,raw,334,1.8107784431
ALL,24h_prior,static,334,0.9926895856
ALL,24h_prior,rbf,334,0.9743306864
ALL,24h_prior,matern32,334,0.9660927496
ALL,6h_prior,raw,329,1.7620060790
ALL,6h_prior,static,329,0.9387416661
ALL,6h_prior,rbf,329,0.9139150479
ALL,6h_prior,matern32,329,0.9016806558
ALL,event_day_open,raw,335,1.7558208955
ALL,event_day_open,static,335,0.9343987265
ALL,event_day_open,rbf,335,0.9070042556
ALL,event_day_open,matern32,335,0.8938282233
1,DATE_BALANCED_ALL_RULES,raw,90,1.9587962963
1,DATE_BALANCED_ALL_RULES,static,90,0.9654583639
1,DATE_BALANCED_ALL_RULES,rbf,90,0.9879173357
1,DATE_BALANCED_ALL_RULES,matern32,90,0.9885317475
2,DATE_BALANCED_ALL_RULES,raw,90,2.4838888889
2,DATE_BALANCED_ALL_RULES,static,90,0.9684795064
2,DATE_BALANCED_ALL_RULES,rbf,90,0.9437193103
2,DATE_BALANCED_ALL_RULES,matern32,90,0.9338303772
3,DATE_BALANCED_ALL_RULES,raw,91,1.5431318681
3,DATE_BALANCED_ALL_RULES,static,91,0.9464234342
3,DATE_BALANCED_ALL_RULES,rbf,91,0.8952823087
3,DATE_BALANCED_ALL_RULES,matern32,91,0.8995935374
4,DATE_BALANCED_ALL_RULES,raw,92,1.1730978261
4,DATE_BALANCED_ALL_RULES,static,92,0.9023632003
4,DATE_BALANCED_ALL_RULES,rbf,92,0.8526258510
4,DATE_BALANCED_ALL_RULES,matern32,92,0.8159942862
