source_table,estimand,estimand_label,chronology_block,settlement_dates,mean_effect,standard_error,bootstrap_lower,bootstrap_upper,median_effect,positive_effect_share,sign_flip_method,sign_flip_repetitions,sign_flip_two_sided_p_value,positive_effect_interpretation,decision_rule,minimum_effect,maximum_effect
main,continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.41111274,0.23390791,0.93860327,1.79462639,1.52661463,0.90000000,exact,1024.00000000,0.00390625,positive values favour the locked weather model,,,
main,continuous_crps_improvement,Raw minus locked-model CRPS,external_test,30,1.19600331,0.14883058,0.90079763,1.48107086,1.21485642,0.90000000,monte_carlo,100000.00000000,0.00001000,positive values favour the locked weather model,,,
main,categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,10,-0.14071367,0.14641996,-0.38850197,0.14966137,-0.36160662,0.30000000,exact,1024.00000000,0.35742188,positive values favour the locked weather model,,,
main,categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,30,-0.52192513,0.10503396,-0.74591766,-0.34333818,-0.38071993,0.03333333,monte_carlo,100000.00000000,0.00001000,positive values favour the locked weather model,,,
main,categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,10,-0.00108991,0.00036571,-0.00180999,-0.00045624,-0.00054685,0.10000000,exact,1024.00000000,0.00390625,positive values favour the locked weather model,,,
main,categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,30,-0.00057677,0.00023903,-0.00101562,-0.00009666,-0.00071374,0.26666667,monte_carlo,100000.00000000,0.02308977,positive values favour the locked weather model,,,
main,model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,10,-0.04936398,0.11549720,-0.24668128,0.18108748,-0.09850526,0.40000000,exact,1024.00000000,0.68750000,positive values favour the locked weather model,,,
main,model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,30,-0.28973154,0.08880719,-0.47024410,-0.13236772,-0.32512566,0.20000000,monte_carlo,100000.00000000,0.00062999,positive values favour the locked weather model,,,
main,model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,10,0.00078064,0.05486982,-0.09349633,0.10908794,-0.05096808,0.50000000,exact,1024.00000000,0.99218750,positive values favour the locked weather model,,,
main,model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,30,-0.07233862,0.02859684,-0.12537738,-0.01588784,-0.11357756,0.23333333,monte_carlo,100000.00000000,0.01743983,positive values favour the locked weather model,,,
main,trading_net_payoff,Locked strategy net payoff,holdout,10,0.05645000,0.07696494,-0.06955000,0.21050000,0.00000000,0.20000000,exact,1024.00000000,0.75000000,positive values favour the locked trading strategy,,,
main,trading_net_payoff,Locked strategy net payoff,external_test,30,-0.01936667,0.04753677,-0.09878333,0.07898333,-0.09500000,0.10000000,monte_carlo,100000.00000000,0.68659313,positive values favour the locked trading strategy,,,
decision_rule,continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.25908938,0.31779091,,,1.69669039,0.80000000,,,,,24h_prior,-0.42982476,2.21562978
decision_rule,continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.43128635,0.30371622,,,1.65249847,0.90000000,,,,,12h_prior,-1.00861264,2.35489746
decision_rule,continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.45136211,0.26032561,,,1.66184190,0.90000000,,,,,6h_prior,-0.42982476,2.21562978
decision_rule,continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.50271312,0.13208569,,,1.44416514,1.00000000,,,,,event_day_open,0.66373584,2.21562978
decision_rule,continuous_crps_improvement,Raw minus locked-model CRPS,external_test,30,1.26385369,0.17993316,,,1.44416514,0.90000000,,,,,24h_prior,-1.09245103,2.41184190
