event_date,decision_rule,mean_c,sd_c
2026-03-16,12h_prior,23.6488909195,1.3915429443
2026-03-16,24h_prior,23.1548731234,1.4135081667
2026-03-17,6h_prior,24.0563700273,1.3123396001
2026-03-17,event_day_open,24.0434190435,1.3262735365
2026-03-18,12h_prior,25.9228343435,1.5085035548
2026-03-18,24h_prior,24.8615849089,1.4722647404
2026-03-18,6h_prior,26.0360580787,1.3683557678
2026-03-18,event_day_open,25.9808151586,1.3791637987
2026-03-19,12h_prior,27.2171561849,1.5480172842
2026-03-19,24h_prior,26.0370977237,1.5207584601
2026-03-19,6h_prior,26.8315702565,1.4011923804
2026-03-19,event_day_open,26.8013868361,1.4078973756
2026-03-20,12h_prior,23.2213614809,1.4061121773
2026-03-20,24h_prior,23.3251931911,1.449583904
2026-03-20,6h_prior,23.5941274238,1.3193258252
2026-03-20,event_day_open,23.6102870231,1.3280982817
2026-03-21,12h_prior,24.4374545918,1.4756696514
2026-03-21,24h_prior,23.8565798966,1.4725569171
2026-03-21,6h_prior,24.1331180268,1.3349927252
2026-03-21,event_day_open,24.1242625257,1.3510891415
2026-03-22,12h_prior,25.3163245497,1.5040851511
2026-03-22,24h_prior,25.0514551211,1.5040541282
2026-03-22,6h_prior,25.320292964,1.3685199619
2026-03-22,event_day_open,25.2628688732,1.3858775832
2026-03-23,12h_prior,26.3547785715,1.5418805086
2026-03-23,24h_prior,26.178594723,1.5436139597
2026-03-23,6h_prior,26.5366996659,1.4103114957
2026-03-23,event_day_open,26.5015312442,1.419672594
2026-03-24,12h_prior,26.6211568097,1.550272904
2026-03-24,24h_prior,26.2427087351,1.549346593
2026-03-24,6h_prior,26.0211693789,1.3995841919
2026-03-24,event_day_open,25.9732920447,1.4128459656
2026-03-25,12h_prior,29.5051275372,1.5686658424
2026-03-25,24h_prior,28.7680488471,1.5916732355
2026-03-25,6h_prior,28.5942089085,1.4752047252
2026-03-25,event_day_open,28.6305539289,1.4719066217
2026-03-26,12h_prior,26.7027897622,1.5559820143
2026-03-26,24h_prior,26.1535623376,1.5548539822
2026-03-26,6h_prior,26.3422493949,1.4190031523
2026-03-26,event_day_open,26.3059565084,1.4298897258
2026-03-27,12h_prior,27.3785728306,1.5640008011
2026-03-27,24h_prior,26.3200235245,1.5620105434
2026-03-27,6h_prior,26.6463039566,1.4321323828
2026-03-27,event_day_open,26.6211444042,1.4405554775
2026-03-28,12h_prior,27.401855883,1.5649816431
2026-03-28,24h_prior,26.2741770668,1.5643911734
2026-03-28,6h_prior,27.0594347842,1.4472826112
2026-03-28,event_day_open,27.0500210062,1.4524046894
2026-03-29,12h_prior,26.6930600529,1.5609147937
2026-03-29,24h_prior,26.0311602541,1.56309321
2026-03-29,6h_prior,26.5180892027,1.4376497817
2026-03-29,event_day_open,26.4921907979,1.446567272
2026-03-30,12h_prior,27.1280264946,1.5650879341
2026-03-30,24h_prior,26.91885253,1.5801558543
2026-03-30,6h_prior,26.7304720792,1.4471473599
2026-03-30,event_day_open,26.7130193579,1.4540688013
2026-03-31,12h_prior,27.6643442263,1.5674901936
2026-03-31,24h_prior,27.4140885866,1.587511659
2026-03-31,6h_prior,27.2394854727,1.4626105295
2026-03-31,event_day_open,27.2407319602,1.4653770134
2026-04-01,12h_prior,28.7092636209,1.5686993544
2026-04-01,24h_prior,28.9518939145,1.5974776176
2026-04-01,6h_prior,28.1971903649,1.4843252407
2026-04-01,event_day_open,28.2294073371,1.480651974
2026-04-02,12h_prior,24.9230830529,1.5576551663
2026-04-02,24h_prior,25.0295036189,1.5650335083
2026-04-02,6h_prior,25.4164291144,1.4317899282
2026-04-02,event_day_open,25.3764669768,1.4462240387
2026-04-03,12h_prior,26.9854963883,1.5669672565
2026-04-03,24h_prior,26.6781195318,1.5852958025
2026-04-03,6h_prior,26.8412267586,1.4648907266
2026-04-03,event_day_open,26.833269034,1.4689931205
2026-04-04,12h_prior,25.7303098489,1.5634528865
2026-04-04,24h_prior,26.5171566014,1.5856143132
2026-04-04,6h_prior,26.0826822523,1.4541539598
2026-04-04,event_day_open,26.0540599127,1.4630317514
2026-04-05,12h_prior,26.1180881438,1.5656944188
2026-04-05,24h_prior,26.5552544227,1.5876993871
2026-04-05,6h_prior,25.4157296805,1.4466636522
2026-04-05,event_day_open,25.3781932914,1.4583778804
2026-04-06,12h_prior,27.8164256895,1.5686485969
2026-04-06,24h_prior,27.8437670631,1.5962970624
2026-04-06,6h_prior,27.1080652071,1.4793244271
2026-04-06,event_day_open,27.1121049944,1.4796866153
2026-04-07,12h_prior,29.1317463708,1.5688512811
2026-04-07,24h_prior,28.9548173633,1.5992977629
2026-04-07,6h_prior,29.0867020206,1.5062941964
2026-04-07,event_day_open,29.1387628163,1.4960973924
2026-04-08,12h_prior,26.0361915774,1.5673846221
2026-04-08,24h_prior,25.5317867962,1.586789687
2026-04-08,6h_prior,25.7811401064,1.4655596632
2026-04-08,event_day_open,25.7498968963,1.4725111616
2026-04-09,12h_prior,27.7264935474,1.5687603577
2026-04-09,24h_prior,27.5997177857,1.597188267
2026-04-09,6h_prior,27.3735686515,1.4909689041
2026-04-09,event_day_open,27.3879826965,1.4877336175
2026-04-10,12h_prior,28.3312772231,1.56884016
2026-04-10,24h_prior,28.4654215519,1.599267673
2026-04-10,6h_prior,27.8896827387,1.4989827531
2026-04-10,event_day_open,27.9186500598,1.4924680974
2026-04-11,12h_prior,27.9313631522,1.5688262564
2026-04-11,24h_prior,28.0595424977,1.5989334589
2026-04-11,6h_prior,27.7125903108,1.4989788224
2026-04-11,event_day_open,27.7371741934,1.4927366045
2026-04-12,12h_prior,28.5342504109,1.5688539961
2026-04-12,24h_prior,28.2848956979,1.5994422148
2026-04-12,6h_prior,28.2370370053,1.505418614
2026-04-12,event_day_open,28.2738376802,1.4963635503
2026-04-13,12h_prior,28.3346019853,1.5688533285
2026-04-13,24h_prior,28.6114660437,1.5998625152
2026-04-13,6h_prior,28.1555856558,1.5061371757
2026-04-13,event_day_open,28.1904686589,1.4969146005
2026-04-14,12h_prior,28.6357588915,1.5688578144
2026-04-14,24h_prior,28.8301504112,1.6000701913
2026-04-14,6h_prior,28.3789780595,1.5090132345
2026-04-14,event_day_open,28.4177610759,1.4985253062
2026-04-15,12h_prior,28.5360848968,1.5688580997
2026-04-15,24h_prior,28.8390594088,1.600138153
2026-04-15,6h_prior,28.7065324125,1.5120561954
2026-04-15,event_day_open,28.749758869,1.500150846
2026-04-16,12h_prior,28.0361036177,1.5688557136
2026-04-16,24h_prior,28.5381020644,1.6000863345
2026-04-16,6h_prior,28.2132180904,1.5101943952
2026-04-16,event_day_open,28.2479576776,1.4993701954
2026-04-17,12h_prior,28.8369573573,1.5688596082
2026-04-17,24h_prior,28.5464307639,1.6001519896
2026-04-17,6h_prior,28.4333907256,1.5124176198
2026-04-17,event_day_open,28.4712089833,1.5005252221
2026-04-18,12h_prior,29.937562936,1.5688599802
2026-04-18,24h_prior,29.2698845746,1.6003379345
2026-04-18,6h_prior,30.6544919356,1.5201686708
2026-04-18,event_day_open,30.698177625,1.5041366757
2026-04-19,12h_prior,28.9373180384,1.5688598667
2026-04-19,24h_prior,29.478289858,1.6003719035
2026-04-19,6h_prior,28.3653740992,1.5138190063
2026-04-19,event_day_open,28.4005346312,1.5013458224
2026-04-20,12h_prior,28.5373174793,1.5688597507
2026-04-20,24h_prior,27.9574467108,1.6001391936
2026-04-20,6h_prior,28.3810621113,1.514664489
2026-04-20,event_day_open,28.4155673592,1.5017935874
2026-04-21,12h_prior,27.4375275898,1.568857975
2026-04-21,24h_prior,29.0792403467,1.6003658895
2026-04-21,6h_prior,27.6089275149,1.5122663109
2026-04-21,event_day_open,27.6282820453,1.5008880738
2026-04-22,12h_prior,29.0375718406,1.5688599657
2026-04-22,24h_prior,28.9815612275,1.6003708666
2026-04-22,6h_prior,28.9176058787,1.5176457308
2026-04-22,event_day_open,28.9559147544,1.5031528216
2026-04-23,12h_prior,28.3375577287,1.5688598819
2026-04-23,24h_prior,27.4721431812,1.6001825716
2026-04-23,6h_prior,27.9286757042,1.5152190909
2026-04-23,event_day_open,27.9530633779,1.5022486965
2026-04-24,12h_prior,22.3569066492,1.5688370347
2026-04-24,24h_prior,22.8958614813,1.5992593654
2026-04-24,6h_prior,22.1582723073,1.4998617481
2026-04-24,event_day_open,22.0082620194,1.4901326634
2026-04-25,12h_prior,26.7380950508,1.5688588807
