event_date,empirical_period,contract_key,12h_prior,24h_prior,6h_prior,event_day_open,contract_complete,taec_date_eligible
2026-03-18,market_development,110474255066493490332588316800377380653285496596456220682434262080826926516690,0.035,,0.002,0.0025,False,False
2026-03-18,market_development,12268222159614728738434981709516892438897395269600915350011382182854202444351,0.125,,0.09,0.175,False,False
2026-03-18,market_development,12656638109055951261831148616722371673366233304846545884747086856267391003970,0.22,,0.2,0.465,False,False
2026-03-18,market_development,14905800807098121335450400627311466522885081603036629837583273111730697417676,0.11,,0.06,0.0155,False,False
2026-03-18,market_development,22145438231607492786248212827857227280720837366678546698439731971698231574617,0.06,,0.0245,0.01,False,False
2026-03-18,market_development,22934479917760701215287278315472904846214466137533312331227437532354462195085,0.08,,0.045,0.012,False,False
2026-03-18,market_development,37360368221043859735577577762103864480884668984172010078154389162590441254438,0.045,,0.0025,0.003,False,False
2026-03-18,market_development,38643976793577449599167113728084786609484981080463675275750414431860275832645,0.095,,0.1,0.07,False,False
2026-03-18,market_development,49564577024420605914456724618800305233138629860131859992441195347379033049612,0.205,,0.16,0.275,False,False
2026-03-18,market_development,55799776111437449950755224612061328454593820669968373633248129469898230341057,0.1,,0.205,0.13,False,False
2026-03-18,market_development,65325550865731780765945673249095015807109286488076063591627840343472326859602,0.225,,0.11,0.275,False,False
2026-03-19,market_development,111327742962296719107191162056033180829045697164415206391456323781676603034973,0.0035,0.01,0.0035,0.003,True,True
2026-03-19,market_development,11857229487982202063200562415296796289271555091000987698268878301801826678005,0.32,0.21,0.29,0.31,True,True
2026-03-19,market_development,15431830448012691091108550077442519840908831304557557953827441407855696839787,0.085,0.23,0.011,0.0075,True,True
2026-03-19,market_development,24762042096779966601488432413643803930851179036897482337508583017551372623713,0.25,0.175,0.3,0.27,True,True
2026-03-19,market_development,33331969367428365469801839917865236033975877132756792676749966476776128222554,0.02,0.1025,0.004,0.0035,True,True
2026-03-19,market_development,49876605515183080888328511221418524643937427572367378711874446294155620015523,0.105,0.225,0.096,0.01,True,True
2026-03-19,market_development,53037367002185492159295706167922652040897401640235496432151791691138525055341,0.02,0.145,0.0035,0.0035,True,True
