event_date,empirical_period,model,positions,yes_positions,no_positions,net_pnl,entry_capital,mean_gap_closed_fraction,target_hit_positions,forced_open_positions,strategy,active
2026-03-19,market_development,raw,9,1,8,0.03849999999999998,6.9925,0.18857161158031602,0,9,taec11,True
2026-03-19,market_development,static,9,3,6,1.198,5.5425,1.4108169969330575,6,3,taec11,True
2026-03-19,market_development,rbf,8,2,6,0.31749999999999995,5.4325,-0.1052014125891372,5,3,taec11,True
2026-03-19,market_development,matern32,8,2,6,0.31749999999999995,5.4325,-0.3555357801989635,4,4,taec11,True
2026-03-21,market_development,raw,7,1,6,-0.17649999999999996,5.1045,-0.12980636904862058,0,7,taec11,True
2026-03-21,market_development,static,4,2,2,-0.18449999999999994,1.5494999999999999,-0.3473175759434728,0,4,taec11,True
2026-03-21,market_development,rbf,5,2,3,-0.16949999999999993,2.5115,0.01917263896711612,1,4,taec11,True
2026-03-21,market_development,matern32,5,2,3,-0.16949999999999993,2.5115,0.016813440514234966,1,4,taec11,True
2026-03-22,market_development,raw,6,1,5,0.26299999999999996,4.41,0.1366396392058677,0,6,taec11,True
2026-03-22,market_development,static,6,2,4,-0.40700000000000003,3.7,-1.4212851307098686,2,4,taec11,True
2026-03-22,market_development,rbf,5,2,3,0.49599999999999994,2.66,2.33550660650586,5,0,taec11,True
2026-03-22,market_development,matern32,4,2,2,0.44599999999999995,1.7750000000000001,2.517360688043589,4,0,taec11,True
2026-03-23,market_development,raw,6,1,5,-0.617,4.547,-0.10880974976810516,0,6,taec11,True
2026-03-23,market_development,static,5,2,3,0.38899999999999996,3.037,1.6521231941840848,5,0,taec11,True
2026-03-23,market_development,rbf,5,2,3,-0.1315,2.48,-0.1122613519954057,2,3,taec11,True
2026-03-23,market_development,matern32,5,2,3,-0.1315,2.48,-0.17221539237084724,2,3,taec11,True
2026-03-24,market_development,raw,7,1,6,-0.21749999999999997,5.394,0.2581411825623002,0,7,taec11,True
2026-03-24,market_development,static,6,2,4,-0.040000000000000036,3.8845,0.9072791743227713,4,2,taec11,True
2026-03-24,market_development,rbf,6,3,3,-0.08000000000000002,2.8760000000000003,0.36891205732222926,2,4,taec11,True
2026-03-24,market_development,matern32,6,3,3,-0.08000000000000002,2.8760000000000003,0.359317976141857,2,4,taec11,True
2026-03-25,market_development,raw,6,1,5,0.12000000000000009,4.348,0.4062758873956578,0,6,taec11,True
2026-03-25,market_development,static,6,1,5,0.12049999999999995,5.048,0.4440954796966003,2,4,taec11,True
2026-03-25,market_development,rbf,6,1,5,0.3399999999999999,5.048,1.3889707994099176,4,2,taec11,True
2026-03-25,market_development,matern32,4,1,3,0.2794999999999999,3.2905,1.1528094505091246,3,1,taec11,True
2026-03-26,market_development,raw,5,1,4,0.00999999999999994,3.205,0.029910376840254847,0,5,taec11,True
2026-03-26,market_development,static,4,2,2,0.671,1.665,4.122551609939895,3,1,taec11,True
2026-03-26,market_development,rbf,6,4,2,0.585,1.765,1.6783783056384662,2,4,taec11,True
2026-03-26,market_development,matern32,6,4,2,0.585,1.765,1.6757366006810608,2,4,taec11,True
2026-03-27,market_development,raw,6,1,5,-0.37550000000000006,4.282,-0.34800541498376497,0,6,taec11,True
2026-03-27,market_development,static,4,2,2,-0.15799999999999997,1.675,-1.1150682602777637,1,3,taec11,True
2026-03-27,market_development,rbf,7,4,3,-0.7030000000000001,2.645,-1.154707411783635,1,6,taec11,True
2026-03-27,market_development,matern32,7,4,3,-0.7030000000000001,2.645,-1.141538775080786,1,6,taec11,True
2026-03-28,market_development,raw,5,1,4,-0.07200000000000004,3.202,0.133332292346807,0,5,taec11,True
2026-03-28,market_development,static,5,3,2,-0.07800000000000003,1.738,-0.029559991313912716,1,4,taec11,True
2026-03-28,market_development,rbf,6,3,3,0.03499999999999999,2.3215,0.2518594511528695,1,5,taec11,True
2026-03-28,market_development,matern32,6,3,3,0.03499999999999999,2.3215,0.24662754598918055,1,5,taec11,True
2026-03-29,market_development,raw,5,1,4,0.03749999999999991,3.1475,0.13162307425888625,0,5,taec11,True
2026-03-29,market_development,static,7,4,3,-0.20200000000000007,2.6145,-0.5334542095962426,0,7,taec11,True
2026-03-29,market_development,rbf,7,4,3,-0.20200000000000007,2.6145,-0.7117756374902375,0,7,taec11,True
2026-03-29,market_development,matern32,6,3,3,-0.07700000000000008,2.3845,0.03423957704319875,0,6,taec11,True
2026-04-01,market_development,raw,7,1,6,-0.18800000000000008,5.6455,0.010383366939225005,0,7,taec11,True
2026-04-01,market_development,static,7,2,5,-0.438,4.3425,-0.396154200231705,1,6,taec11,True
2026-04-01,market_development,rbf,7,2,5,-0.438,4.3425,-0.49127027582071303,1,6,taec11,True
2026-04-01,market_development,matern32,7,2,5,-0.438,4.3425,-0.5840550315932863,1,6,taec11,True
2026-04-02,market_development,raw,6,1,5,-0.2849999999999999,4.235,-0.09958910278059209,0,6,taec11,True
2026-04-02,market_development,static,5,3,2,-0.054499999999999965,1.9085,0.39382566143815456,2,3,taec11,True
2026-04-02,market_development,rbf,5,3,2,-0.054499999999999965,1.9085,0.4883632588024966,1,4,taec11,True
2026-04-02,market_development,matern32,5,3,2,-0.054499999999999965,1.9085,0.5664733701421258,1,4,taec11,True
2026-04-03,market_development,raw,6,1,5,0.2645,4.1295,0.4056648435309574,0,6,taec11,True
2026-04-03,market_development,static,6,2,4,0.29450000000000004,3.185,1.821800947867868,4,2,taec11,True
2026-04-03,market_development,rbf,6,2,4,0.28,3.185,0.8094367463070608,3,3,taec11,True
2026-04-03,market_development,matern32,6,2,4,0.28,3.185,0.7289672212711679,3,3,taec11,True
2026-04-04,market_development,raw,7,1,6,-0.354,5.52,-0.007044404870491796,0,7,taec11,True
2026-04-04,market_development,static,4,2,2,0.09599999999999997,1.79,0.026220889001063785,2,2,taec11,True
2026-04-04,market_development,rbf,3,0,3,0.27499999999999997,2.375,3.0184909636678783,3,0,taec11,True
2026-04-04,market_development,matern32,2,0,2,0.20499999999999996,1.5050000000000001,2.4465274866563984,2,0,taec11,True
2026-04-05,market_development,raw,7,1,6,0.006500000000000006,5.3105,0.167035772530278,0,7,taec11,True
2026-04-05,market_development,static,4,2,2,-0.15199999999999997,1.435,-0.40888391268255986,0,4,taec11,True
2026-04-05,market_development,rbf,5,3,2,-0.09349999999999999,1.6115,0.046076699671967106,1,4,taec11,True
2026-04-05,market_development,matern32,5,3,2,-0.09349999999999999,1.6115,0.038940700505522244,1,4,taec11,True
2026-04-06,market_development,raw,6,1,5,-0.163,4.3775,0.1569948935758396,0,6,taec11,True
2026-04-06,market_development,static,4,1,3,-0.08000000000000002,2.275,0.15289285285355517,1,3,taec11,True
2026-04-06,market_development,rbf,5,2,3,-0.032000000000000015,2.3475,0.3517942321190862,2,3,taec11,True
2026-04-06,market_development,matern32,6,2,4,0.00799999999999998,3.2625,1.0763881276960994,3,3,taec11,True
2026-04-07,market_development,raw,6,1,5,-0.36549999999999994,4.379,0.013455776369925196,0,6,taec11,True
2026-04-07,market_development,static,3,1,2,0.22849999999999998,1.8399999999999999,1.7451001292368948,2,1,taec11,True
2026-04-07,market_development,rbf,3,1,2,0.22849999999999998,1.8399999999999999,2.6577745841601716,2,1,taec11,True
2026-04-07,market_development,matern32,2,1,1,0.11849999999999998,1.015,0.9617910302254661,1,1,taec11,True
2026-04-08,market_development,raw,6,1,5,-0.1705,4.17,0.018530547718436777,0,6,taec11,True
2026-04-08,market_development,static,8,5,3,-0.21700000000000003,2.9865,0.0028257311571621632,1,7,taec11,True
2026-04-08,market_development,rbf,7,4,3,-0.24200000000000005,2.7765,-0.30678419668706874,0,7,taec11,True
2026-04-08,market_development,matern32,7,4,3,-0.24200000000000005,2.7765,-0.30906815567219,0,7,taec11,True
2026-04-09,market_development,raw,5,1,4,-0.09000000000000008,3.0495,0.21694709553052705,0,5,taec11,True
2026-04-09,market_development,static,5,2,3,-0.07200000000000004,2.1205,0.4102624394200676,2,3,taec11,True
2026-04-09,market_development,rbf,6,3,3,-0.26350000000000007,2.145,0.13699048406920547,1,5,taec11,True
2026-04-09,market_development,matern32,6,3,3,-0.26350000000000007,2.145,0.17675074562587811,1,5,taec11,True
2026-04-10,market_development,raw,4,1,3,-0.22000000000000003,2.195,-0.2132795209538088,0,4,taec11,True
2026-04-10,market_development,static,6,3,3,-0.19650000000000006,2.239,-1.6629575415210278,2,4,taec11,True
2026-04-10,market_development,rbf,6,3,3,-0.19650000000000006,2.239,-1.1172515133676124,1,5,taec11,True
2026-04-10,market_development,matern32,6,3,3,-0.19650000000000006,2.239,-0.8151267670378558,1,5,taec11,True
2026-04-11,market_development,raw,5,1,4,-0.08350000000000009,3.14,-0.020992565593688374,0,5,taec11,True
2026-04-11,market_development,static,6,3,3,-0.06950000000000009,2.3275,-0.10555217367372795,1,5,taec11,True
2026-04-11,market_development,rbf,6,3,3,-0.06950000000000009,2.3275,-0.0803277538720854,1,5,taec11,True
2026-04-11,market_development,matern32,7,4,3,-0.05650000000000009,2.343,-0.0283110946551345,1,6,taec11,True
2026-04-12,market_development,raw,5,1,4,0.16650000000000004,3.1765,0.016621484480431836,0,5,taec11,True
2026-04-12,market_development,static,6,3,3,0.15300000000000002,2.25,-0.36723513417122117,2,4,taec11,True
2026-04-12,market_development,rbf,6,3,3,0.15300000000000002,2.25,-0.2791182252901528,2,4,taec11,True
2026-04-12,market_development,matern32,6,3,3,0.15300000000000002,2.25,-0.23153214784751563,2,4,taec11,True
2026-04-13,market_development,raw,6,1,5,-0.18549999999999994,4.298,0.17124142545289625,0,6,taec11,True
2026-04-13,market_development,static,5,3,2,-0.30999999999999994,1.5715,-0.23630826215821665,1,4,taec11,True
2026-04-13,market_development,rbf,5,3,2,-0.30999999999999994,1.5715,-0.26937176267199764,1,4,taec11,True
2026-04-13,market_development,matern32,5,3,2,-0.30999999999999994,1.5715,-0.3043971501019148,0,5,taec11,True
2026-04-15,market_development,raw,5,1,4,-0.14750000000000008,3.1310000000000002,0.1254414428166855,0,5,taec11,True
2026-04-15,market_development,static,5,2,3,-0.15850000000000009,2.1790000000000003,0.014469965349087132,1,4,taec11,True
2026-04-15,market_development,rbf,6,3,3,-0.18300000000000008,2.1950000000000003,-0.08169814446531132,1,5,taec11,True
2026-04-15,market_development,matern32,6,3,3,-0.18300000000000008,2.1950000000000003,-0.1817352609678166,1,5,taec11,True
2026-04-19,market_development,raw,6,1,5,0.06849999999999995,4.584,0.3213463061394,0,6,taec11,True
2026-04-19,market_development,static,4,2,2,-0.3145,1.5995,-0.9181790106650748,0,4,taec11,True
2026-04-19,market_development,rbf,4,2,2,-0.3145,1.5995,-0.9206446096107005,0,4,taec11,True
2026-04-19,market_development,matern32,5,3,2,-0.35350000000000004,1.6360000000000001,-0.9884887830845811,0,5,taec11,True
2026-04-20,market_development,raw,6,1,5,-0.2995,4.2669999999999995,0.030401311721686086,0,6,taec11,True
2026-04-20,market_development,static,4,2,2,-0.1505,1.5145,0.020366066000080882,1,3,taec11,True
2026-04-20,market_development,rbf,5,3,2,-0.174,1.5295,-0.015549545094228045,1,4,taec11,True
2026-04-20,market_development,matern32,5,3,2,-0.174,1.5295,0.03531294539486446,1,4,taec11,True
2026-04-21,market_development,raw,6,1,5,0.46099999999999997,4.2595,0.3001370578793074,0,6,taec11,True
2026-04-21,market_development,static,4,2,2,0.048500000000000015,1.4255,0.15757854269655636,1,3,taec11,True
2026-04-21,market_development,rbf,4,2,2,0.048500000000000015,1.4255,0.13871687622543255,1,3,taec11,True
2026-04-21,market_development,matern32,7,4,3,0.10099999999999998,2.416,0.6759561622621273,3,4,taec11,True
2026-04-22,market_development,raw,5,1,4,-0.17150000000000004,3.1725,0.10553953904497382,0,5,taec11,True
2026-04-22,market_development,static,5,3,2,-0.35800000000000004,1.5225,-0.8214728993364984,0,5,taec11,True
2026-04-22,market_development,rbf,5,3,2,-0.35800000000000004,1.5225,-0.7849801295421717,0,5,taec11,True
2026-04-22,market_development,matern32,5,3,2,-0.35800000000000004,1.5225,-0.678463527735975,0,5,taec11,True
2026-04-23,market_development,raw,6,1,5,-0.17099999999999999,4.533,0.34069661966813275,0,6,taec11,True
2026-04-23,market_development,static,6,3,3,-0.137,2.312,0.5969085426289138,3,3,taec11,True
2026-04-23,market_development,rbf,6,3,3,-0.137,2.312,0.612634727541061,3,3,taec11,True
2026-04-23,market_development,matern32,6,3,3,-0.137,2.312,0.7886884870776084,3,3,taec11,True
2026-04-24,market_development,raw,6,1,5,-0.123,4.142,0.1870718680350473,0,6,taec11,True
2026-04-24,market_development,static,7,3,4,-0.26,3.231,0.20427544177664128,2,5,taec11,True
2026-04-24,market_development,rbf,7,3,4,-0.275,3.231,0.12448466431013797,2,5,taec11,True
2026-04-24,market_development,matern32,7,3,4,-0.275,3.231,0.12376152460557956,2,5,taec11,True
2026-04-25,market_development,raw,5,1,4,0.2915,3.665,0.28011416503978226,0,5,taec11,True
2026-04-25,market_development,static,6,3,3,-0.3505,2.4155,-0.5874381055008583,1,5,taec11,True
2026-04-25,market_development,rbf,6,3,3,-0.3505,2.4155,-0.6244845114388359,1,5,taec11,True
2026-04-25,market_development,matern32,6,3,3,-0.3505,2.4155,-0.7160878367652601,1,5,taec11,True
2026-04-26,market_development,raw,6,1,5,-0.171,4.1195,0.07099603021793596,0,6,taec11,True
2026-04-26,market_development,static,7,3,4,-0.37450000000000006,3.4175,-0.27412526273877486,1,6,taec11,True
2026-04-26,market_development,rbf,7,3,4,-0.37450000000000006,3.4175,-0.2725826677721518,1,6,taec11,True
2026-04-26,market_development,matern32,7,3,4,-0.37450000000000006,3.4175,-0.2587791407146933,1,6,taec11,True
2026-04-27,market_development,raw,5,1,4,-0.23950000000000005,3.226,0.008691832273492395,0,5,taec11,True
2026-04-27,market_development,static,7,4,3,-0.23850000000000005,2.3080000000000003,0.007006489984995027,2,5,taec11,True
2026-04-27,market_development,rbf,7,4,3,-0.29350000000000004,2.3080000000000003,-0.09951527387172025,1,6,taec11,True
2026-04-27,market_development,matern32,7,4,3,-0.29350000000000004,2.3080000000000003,-0.10218514327484791,1,6,taec11,True
2026-04-28,market_development,raw,7,1,6,-0.015499999999999955,5.1055,0.4284327632475485,0,7,taec11,True
2026-04-28,market_development,static,5,3,2,-0.25249999999999995,1.4465000000000001,-0.9266955828543926,0,5,taec11,True
2026-04-28,market_development,rbf,5,3,2,-0.25249999999999995,1.4465000000000001,-0.8880612339421073,0,5,taec11,True
2026-04-28,market_development,matern32,6,4,2,-0.27499999999999997,1.4605000000000001,-0.8244555124140386,0,6,taec11,True
2026-04-29,market_development,raw,4,1,3,-0.24549999999999997,2.31,-0.18082930740354436,0,4,taec11,True
2026-04-29,market_development,static,6,4,2,-0.23349999999999999,1.458,-0.15702225860763888,0,6,taec11,True
2026-04-29,market_development,rbf,6,4,2,-0.23349999999999999,1.458,-0.15943808129041379,0,6,taec11,True
2026-04-29,market_development,matern32,6,4,2,-0.23349999999999999,1.458,-0.15080599424821278,0,6,taec11,True
2026-05-01,market_development,raw,7,1,6,-0.13150000000000003,5.0795,0.16550612838600784,0,7,taec11,True
2026-05-01,market_development,static,8,4,4,0.07499999999999998,3.458,0.42439330264990877,3,5,taec11,True
2026-05-01,market_development,rbf,8,4,4,0.07499999999999998,3.458,0.4402565599041044,3,5,taec11,True
2026-05-01,market_development,matern32,8,4,4,0.07499999999999998,3.458,0.4478730584908085,3,5,taec11,True
2026-05-02,market_development,raw,6,1,5,-0.1834999999999999,4.1465,0.130314269493374,0,6,taec11,True
2026-05-02,market_development,static,5,3,2,-0.11249999999999993,1.492,0.20756325594799652,1,4,taec11,True
2026-05-02,market_development,rbf,5,3,2,-0.11249999999999993,1.492,0.1898272061471027,1,4,taec11,True
2026-05-02,market_development,matern32,5,3,2,-0.11249999999999993,1.492,0.25117195464359704,1,4,taec11,True
2026-05-03,market_development,raw,5,1,4,0.19699999999999995,3.67,0.2853696530889513,0,5,taec11,True
2026-05-03,market_development,static,4,2,2,-0.23699999999999993,1.4,-0.24127297628331923,0,4,taec11,True
2026-05-03,market_development,rbf,4,2,2,-0.23699999999999993,1.4,-0.23993277850317657,0,4,taec11,True
2026-05-03,market_development,matern32,4,2,2,-0.23699999999999993,1.4,-0.24745707316439697,0,4,taec11,True
2026-05-04,market_development,raw,3,1,2,0.02000000000000005,1.165,-0.08009193590753876,0,3,taec11,True
2026-05-04,market_development,static,4,3,1,0.15800000000000006,0.43499999999999994,0.4383598300829499,1,3,taec11,True
2026-05-04,market_development,rbf,4,3,1,0.15800000000000006,0.43499999999999994,0.435433885224638,1,3,taec11,True
2026-05-04,market_development,matern32,4,3,1,0.15800000000000006,0.43499999999999994,0.4260112148944879,1,3,taec11,True
2026-05-05,market_development,raw,6,1,5,0.17349999999999993,4.5205,0.1775080456952313,0,6,taec11,True
2026-05-05,market_development,static,5,2,3,-0.061000000000000054,2.2665,-0.19294984718570538,1,4,taec11,True
2026-05-05,market_development,rbf,5,2,3,-0.061000000000000054,2.2665,-0.1506662201689861,1,4,taec11,True
2026-05-05,market_development,matern32,6,3,3,-0.11100000000000006,2.311,-0.3527632457113097,1,5,taec11,True
2026-05-07,market_development,raw,5,1,4,0.49850000000000005,3.4545000000000003,0.07723422612011388,0,5,taec11,True
2026-05-07,market_development,static,6,4,2,0.352,1.5650000000000002,0.8126380646509435,4,2,taec11,True
2026-05-07,market_development,rbf,6,4,2,0.352,1.5650000000000002,0.7848251281586555,4,2,taec11,True
2026-05-07,market_development,matern32,5,3,2,0.4505,1.4700000000000002,1.564651522850727,4,1,taec11,True
2026-05-08,market_development,raw,6,1,5,-0.5125,4.6075,-0.34811178471075505,0,6,taec11,True
2026-05-08,market_development,static,5,3,2,0.2865,1.6360000000000001,0.6830440023627314,2,3,taec11,True
2026-05-08,market_development,rbf,4,2,2,0.2765,1.401,0.5230499294643175,1,3,taec11,True
2026-05-08,market_development,matern32,4,2,2,0.2765,1.401,0.5295461961872442,1,3,taec11,True
2026-05-09,market_development,raw,5,1,4,-0.44899999999999995,3.422,-0.17763425253991283,0,5,taec11,True
