empirical_period,strategy,model,temperature_step_c,baseline_total_net_pnl,pnl_plus,pnl_minus,full_policy_pnl_delta_per_c,full_policy_pnl_gamma_per_c2
external_validation,fixed_settlement,matern32,0.25,2.451,2.527,2.281,0.492,-1.5039999999999978
external_validation,fixed_settlement,matern32,0.5,2.451,1.6715,1.1534999999999997,0.5180000000000002,-8.308000000000002
external_validation,fixed_settlement,matern32,1.0,2.451,-0.4725,0.5799999999999997,-0.5262499999999999,-4.7945
external_validation,fixed_settlement,raw,0.25,0.3970000000000003,1.5029999999999997,-1.689,6.3839999999999995,-15.680000000000016
external_validation,fixed_settlement,raw,0.5,0.3970000000000003,3.935999999999999,-1.7395,5.6754999999999995,5.609999999999994
external_validation,fixed_settlement,raw,1.0,0.3970000000000003,3.3989999999999996,-2.099,2.7489999999999997,0.5059999999999989
external_validation,fixed_settlement,rbf,0.25,2.281,2.527,1.2185000000000001,2.617,-13.064
external_validation,fixed_settlement,rbf,0.5,2.281,1.6715,1.1109999999999998,0.5605000000000002,-7.118000000000002
external_validation,fixed_settlement,rbf,1.0,2.281,-0.4475,0.5799999999999997,-0.5137499999999999,-4.4295
external_validation,fixed_settlement,static,0.25,2.281,2.451,2.096,0.71,-0.240000000000002
external_validation,fixed_settlement,static,0.5,2.281,1.6715,0.9114999999999998,0.7600000000000002,-7.916000000000002
external_validation,fixed_settlement,static,1.0,2.281,-0.6695,0.545,-0.6072500000000001,-4.6865000000000006
external_validation,taec11,matern32,0.25,-5.355,-5.3675000000000015,-5.4495000000000005,0.16399999999999793,-1.7120000000000175
external_validation,taec11,matern32,0.5,-5.355,-4.614000000000001,-6.179500000000001,1.5655000000000001,-0.3340000000000032
external_validation,taec11,matern32,1.0,-5.355,-4.842500000000001,-7.219000000000001,1.18825,-1.3515000000000015
external_validation,taec11,raw,0.25,-6.261,-5.774,-7.290500000000001,3.0330000000000013,-8.680000000000007
external_validation,taec11,raw,0.5,-6.261,-5.888999999999999,-6.968,1.0790000000000006,-1.3399999999999963
external_validation,taec11,raw,1.0,-6.261,-6.635,-8.1265,0.7457500000000001,-2.2394999999999996
external_validation,taec11,rbf,0.25,-6.0335,-5.224500000000001,-5.530500000000002,0.6120000000000019,20.991999999999962
external_validation,taec11,rbf,0.5,-6.0335,-4.0840000000000005,-6.273000000000001,2.189,6.839999999999996
external_validation,taec11,rbf,1.0,-6.0335,-4.4645,-7.304,1.41975,0.29849999999999977
external_validation,taec11,static,0.25,-5.349500000000001,-5.1645,-5.910000000000001,1.4910000000000014,-6.007999999999996
external_validation,taec11,static,0.5,-5.349500000000001,-4.317500000000001,-6.133000000000001,1.8155000000000001,0.9939999999999998
external_validation,taec11,static,1.0,-5.349500000000001,-4.384000000000001,-7.427000000000001,1.5215,-1.112000000000001
market_development,fixed_settlement,matern32,0.25,2.4715,2.4615,0.6569999999999999,3.609,-29.191999999999993
market_development,fixed_settlement,matern32,0.5,2.4715,1.6784999999999997,-1.609,3.2874999999999996,-19.494
market_development,fixed_settlement,matern32,1.0,2.4715,1.6769999999999998,-0.2809999999999998,0.9789999999999999,-3.5469999999999997
market_development,fixed_settlement,raw,0.25,-8.2065,-4.0685,-4.4165,0.6959999999999997,126.848
market_development,fixed_settlement,raw,0.5,-8.2065,0.27850000000000025,-3.0510000000000006,3.329500000000001,54.562000000000005
market_development,fixed_settlement,raw,1.0,-8.2065,7.498,-2.2845000000000004,4.89125,21.6265
market_development,fixed_settlement,rbf,0.25,2.4909999999999997,3.291499999999999,1.7485,3.0859999999999985,0.9279999999999973
market_development,fixed_settlement,rbf,0.5,2.4909999999999997,1.6329999999999998,-0.5495,2.1824999999999997,-15.593999999999998
market_development,fixed_settlement,rbf,1.0,2.4909999999999997,1.517,-0.22449999999999987,0.8707499999999999,-3.6894999999999993
market_development,fixed_settlement,static,0.25,2.0060000000000002,2.9439999999999995,2.1904999999999997,1.5069999999999997,17.95999999999998
market_development,fixed_settlement,static,0.5,2.0060000000000002,1.898,0.4765,1.4215,-6.550000000000003
market_development,fixed_settlement,static,1.0,2.0060000000000002,0.742,-1.3174999999999997,1.02975,-4.5875
market_development,taec11,matern32,0.25,-5.296500000000002,-3.592500000000001,-8.3085,9.431999999999999,-20.92799999999997
market_development,taec11,matern32,0.5,-5.296500000000002,-3.6495000000000006,-10.904000000000002,7.254500000000001,-15.841999999999995
market_development,taec11,matern32,1.0,-5.296500000000002,-2.4905000000000004,-14.687000000000001,6.09825,-6.5844999999999985
market_development,taec11,raw,0.25,-11.664000000000001,-9.502,-11.7995,4.594999999999999,32.424000000000035
market_development,taec11,raw,0.5,-11.664000000000001,-6.788,-11.669000000000002,4.881000000000002,19.484
market_development,taec11,raw,1.0,-11.664000000000001,-8.888,-11.924,1.5179999999999998,2.5160000000000036
market_development,taec11,rbf,0.25,-5.308000000000001,-3.998500000000001,-8.465500000000002,8.934000000000003,-29.568000000000026
market_development,taec11,rbf,0.5,-5.308000000000001,-3.731,-11.001000000000001,7.270000000000001,-16.464
market_development,taec11,rbf,1.0,-5.308000000000001,-2.809500000000002,-14.636999999999999,5.9137499999999985,-6.830499999999999
market_development,taec11,static,0.25,-4.216000000000001,-3.724,-7.070000000000002,6.692000000000004,-37.792
market_development,taec11,static,0.5,-4.216000000000001,-3.548,-9.201,5.6530000000000005,-17.267999999999994
market_development,taec11,static,1.0,-4.216000000000001,-4.029000000000001,-12.3045,4.1377500000000005,-7.9014999999999995
